name,birthday,genetic_background,alias,nickname,line_building_stage,transgene_base_code,allele_nickname,zygosity,created_by,description
,8/16/24,casper,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),F1,pDQM005,301,unknown,,
,8/16/24,casper,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 302),F1,pDQM005,302,unknown,,
,11/25/24,casper,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tandem mem:mStayGold,F1,pDQM005,302,unknown,,
,8/16/24,casper,,ef1a:2xLynk:tdmSG(J) (F1 of allele 304),F1,pDQM005,304,unknown,,
,8/16/24,casper,,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),F1,pDQM005,308,unknown,,
,10/1/24,casper,,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),F1,pDQM034,309,unknown,,
,10/1/24,casper,,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),F1,pDQM034,310,unknown,,
,11/20/24,casper,,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),F1,pDQM063,313,unknown,,
,12/22/24,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdm:mChilada,F1,pDQM082,315,unknown,,
,12/22/24,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),F1,pDQM082,315,unknown,,
,12/22/24,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),mem:tdmChilada,F1,pDQM082,315,unknown,,
,12/22/24,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),membrane mChilada,F1,pDQM082,315,unknown,,
,10/1/24,casper,Chris (F1 of allele 317),Chris (F1 of allele 317),F1,pDQM034,317,unknown,,
,10/1/24,casper,Chris (F1 of allele 317),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),F1,pDQM034,317,unknown,,
,,casper,,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),F1,pDQM133,324,unknown,,
,,casper,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),F1,pDQM136,325,unknown,,
,,casper,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),memrane tdmScarlet3S2 (F1 of allele 325),F1,pDQM136,325,unknown,,
,,casper,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),tdmScarlet3S2 (F1 of allele 325),F1,pDQM136,325,unknown,,
,,casper,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),tdmScarlet3S2 (F2 of allele 325),F1,pDQM136,325,unknown,,
,10/21/25,casper,,MGCO35 (F1 of allele 336),F1,MGCO-35,336,unknown,,
,11/12/24,casper,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),F2,pDQM005,301,unknown,,
,11/25/24,casper,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),F2,pDQM005,302,unknown,,
,10/1/24,casper,,Abe (F2 of allele 309),F2,pDQM034,309,unknown,,
,10/1/24,casper,,Ben (F2 of allele 310),F2,pDQM034,310,unknown,,
,11/20/24,casper,,Isaac (F2 of allele 314),F2,pDQM063,314,unknown,,
,2/25/25,casper,,Jim (F2 of allele 316),F2,pDQM059,316,unknown,,
,10/1/24,casper,,Dennis (F2 of allele 318),F2,pDQM036,318,unknown,,
,2/25/25,casper,,Ken (F2 of allele 320),F2,pDQM059,320,unknown,,
,11/3/24,casper,,Liam (F2 of allele 321),F2,pDQM059,321,unknown,,
,2/24/25,casper,,csp/pIGLET 14a,stable,pIGLET 14a,,unknown,,
,12/19/24,casper,,casper/rnf,stable,,,unknown,,
,,casper,,ef1a:2xLynk:tdm:Halo,,,,unknown,,
,,casper,,ef1a:2xLynk:tdm:mHalo,,,,unknown,,
,,casper,,ef1a:H2B:Halo,,,,unknown,,
,,casper,,from Swinburne lab - tank ID 344 (F1 of allele 45385),,,,unknown,,
,,casper,,heatshock PhiC,,,,unknown,,
,,casper,,membrane Halo,,,,unknown,,
,,casper,,tandem mem:mStayGold; tdmChilada(MAGPV):Histone,,,,unknown,,
,,casper,,tandem mem:mStayGold; tdmChilada:Histone,,,,unknown,,
