plasmid_code,plasmid_name,n_fluors_per_plasmid,fluor,tag,tag_pos
pDQM001,CMV-SP6-mSG(J) IDT opt,1,mSG,,
pDQM002,CMV-SP6-mSG(J) IDT opt,1,mSG,,
pDQM005,ef1a-tdmSG(J),1,tdmSG,,
pDQM006,ef1a-tdmSG-syntrons(J),1,tdmSG,,
pDQM007,ef1a-tdmSG-syntrons(J),1,tdmSG,,
pDQM008,ef1a-tdmSG-syntrons(J),1,tdmSG,,
pDQM009,skittles2.0-4FP,5,mScarlet,,
pDQM009,skittles2.0-4FP,5,mKate2,,
pDQM009,skittles2.0-4FP,5,Electra2,,
pDQM009,skittles2.0-4FP,5,mKOK,,
pDQM009,skittles2.0-4FP,5,mTFP1,,
pDQM010,skittles2.0-4FP,5,mScarlet,,
pDQM010,skittles2.0-4FP,5,mKate2,,
pDQM010,skittles2.0-4FP,5,Electra2,,
pDQM010,skittles2.0-4FP,5,mKOK,,
pDQM010,skittles2.0-4FP,5,mTFP1,,
pDQM011,pCM268_ccdB-Electra2,1,Electra2,,
pDQM012,pCM268_ccdB-Electra2,1,Electra2,,
pDQM013,pCM268_ccdB-mKOK,1,mKOK,,
pDQM014,pCM268_ccdB-mKate2,1,mKate2,,
pDQM015,pCM268_ccdB-mKate2,1,mKate2,,
pDQM016,pCM268_ccdB-mTFP1,1,mTFP1,,
pDQM017,pCM268_ccdB-mTFP1,1,mTFP1,,
pDQM018,pCM268_ccdB-miRFP670-2,1,miRFP670,,
pDQM019,pCM268_ccdB-miRFP670-2,1,miRFP670,,
pDQM020,pCM268_ccdB-mLychee,1,mLychee,,
pDQM021,pCM268_ccdB-mLychee,1,mLychee,,
pDQM022,pCM268_ccdB-mChilada,1,mChilada,,
pDQM023,pCM268_ccdB-mChilada,1,mChilada,,
pDQM024,skittles2.0-5FP-mutation,5,mScarlet,,
pDQM024,skittles2.0-5FP-mutation,5,mKate2,,
pDQM024,skittles2.0-5FP-mutation,5,Electra2,,
pDQM024,skittles2.0-5FP-mutation,5,mKOK,,
pDQM024,skittles2.0-5FP-mutation,5,mTFP1,,
pDQM025,skittles2.0-5FP-mutation,5,mScarlet,,
pDQM025,skittles2.0-5FP-mutation,5,mKate2,,
pDQM025,skittles2.0-5FP-mutation,5,Electra2,,
pDQM025,skittles2.0-5FP-mutation,5,mKOK,,
pDQM025,skittles2.0-5FP-mutation,5,mTFP1,,
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmSG,dhb,N
pDQM026,pCM268_ccdB-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmChilada,pcna,C
pDQM027,pTwist-SP6-2xLynk:mSG(J)-iCodon,1,mSG,2xLynk,N
pDQM028,pTwist-SP6-2xLynk:mSG(B)-iCodon,1,mSG,2xLynk,N
pDQM029,pTwist-SP6-2xLynk:mBaoJin-iCodon,1,mBaoJin,2xLynk,N
pDQM030,pTwist-SP6-2xLynk:mYongHong-iCodon,1,mYongHong,2xLynk,N
pDQM031,pTwist-SP6-2xLynk:mYongHong-iCodon,1,mYongHong,2xLynk,N
pDQM032,pCM268_ccdB-mYongHong,1,mYongHong,,
pDQM033,pCM268_ccdB-mYongHong,1,mYongHong,,
pDQM034,skittles2.0-5FP,5,mKate2,,
pDQM034,skittles2.0-5FP,5,mCitrine,,
pDQM034,skittles2.0-5FP,5,Electra2,,
pDQM034,skittles2.0-5FP,5,mKOK,,
pDQM034,skittles2.0-5FP,5,mTFP1,,
pDQM035,skittles2.0-5FP,5,mKate2,,
pDQM035,skittles2.0-5FP,5,mCitrine,,
pDQM035,skittles2.0-5FP,5,Electra2,,
pDQM035,skittles2.0-5FP,5,mKOK,,
pDQM035,skittles2.0-5FP,5,mTFP1,,
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmSG,dhb,N
pDQM037,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmChilada,pcna,C
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmSG,dhb,N
pDQM038,ef1a:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmChilada,pcna,C
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmSG,dhb,N
pDQM039,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmChilada,pcna,C
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmSG,dhb,N
pDQM040,hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmChilada,pcna,C
pDQM041,sox10:mChilada (pCM268),1,mChilada,,
pDQM042,sox10:mChilada (pCM268),1,mChilada,,
pDQM043,pCM268_ccdB-mCitrine,1,mCitrine,,
pDQM044,pCM268_ccdB-mCitrine,1,mCitrine,,
pDQM045,pTwist-SP6:2xLynk:mScarlet3,1,mScarlet3,2xLynk,N
pDQM046,pTwist-SP6:2xLynk:mScarlet3,1,mScarlet3,2xLynk,N
pDQM047,pTwist-SP6-2xLynk:mSG(J)-iCodon,1,mSG,2xLynk,N
pDQM048,pTwist-SP6-2xLynk:mSG(J)-iCodon,1,mSG,2xLynk,N
pDQM049,pTwist-SP6-2xLynk:mSG(B)-iCodon,1,mSG,2xLynk,N
pDQM050,pTwist-SP6-2xLynk:mSG(B)-iCodon,1,mSG,2xLynk,N
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM051,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM052,ef1a:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmSG,dhb,N
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmChilada,pcna,C
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmSG,dhb,N
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmChilada,pcna,C
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmSG,dhb,N
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),2,tdmChilada,pcna,C
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,dhb,N
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM059,skittles3.1-4FP (exorh:GFP),1,gfp,,
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmSG,2xLynk,N
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),2,tdmChilada,h2b,C
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmSG,dhb,N
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmChilada,pcna,C
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmSG,dhb,N
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,2,tdmChilada,pcna,C
pDQM063,exorh skittles 2.0 5FP,6,GFP,,
pDQM063,exorh skittles 2.0 5FP,6,mKate2,,
pDQM063,exorh skittles 2.0 5FP,6,Electra2,,
pDQM063,exorh skittles 2.0 5FP,6,mCitrine,,
pDQM063,exorh skittles 2.0 5FP,6,mKoK,,
pDQM063,exorh skittles 2.0 5FP,6,mTFP1,,
pDQM064,exorh skittles 2.0 5FP,6,GFP,,
pDQM064,exorh skittles 2.0 5FP,6,mKate2,,
pDQM064,exorh skittles 2.0 5FP,6,Electra2,,
pDQM064,exorh skittles 2.0 5FP,6,mCitrine,,
pDQM064,exorh skittles 2.0 5FP,6,mKoK,,
pDQM064,exorh skittles 2.0 5FP,6,mTFP1,,
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmSG,2xLynk,N
pDQM065,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmChilada,h2b,C
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmSG,2xLynk,N
pDQM066,tol2-ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmChilada,h2b,C
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),2,tdmSG,2xLynk,N
pDQM067,ef1a:2xLynk-tdmSG-tPT2A-tdmYH-h2b (pCM268),2,tdmYH,h2b,C
pDQM068,ef1a:2xLynk-tdmSG,1,tdmSG,2xLynk,N
pDQM069,ef1a:2xLynk-tdmSG,1,tdmSG,2xLynk,N
pDQM070,ef1a:2xLynk-tdmSG(introns),1,tdmSG,2xLynk,N
pDQM071,ef1a:2xLynk-tdmSG(introns),1,tdmSG,2xLynk,N
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmSG,2xLynk,N
pDQM072,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmChilada,h2b,C
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmSG,2xLynk,N
pDQM073,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b,2,tdmChilada,h2b,C
pDQM074,ef1a:2xLynk-tdmSG(introns),1,tdmSG,2xLynk,N
pDQM075,ef1a:2xLynk-tdmSG(introns),1,tdmSG,2xLynk,N
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),2,tdmSG,dhb,N
pDQM076,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),2,tdmChilada,h2b,C
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),2,tdmSG,dhb,N
pDQM077,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pRL093),2,tdmChilada,h2b,C
pDQM078,ef1a:2xLynk-tdmSG,1,tdmSG,2xLynk,N
