plasmid_code,nickname,resistance,notes
pDQM001,CMV-SP6-mSG(J) IDT opt,Amp,"IDT optimized, for mRNA production with SP6 - clone 2"
pDQM002,CMV-SP6-mSG(J) IDT opt,Amp,"IDT optimized, for mRNA production with SP6 - clone 5"
pDQM005,ef1a-tdmSG(J),Amp,iCodon optimized for tol2 insertions - clone 4
pDQM006,ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 6
pDQM007,ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 3
pDQM008,ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 8
pDQM009,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1
pDQM010,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK4
pDQM011,pCM268_ccdB-Electra2,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM012,pCM268_ccdB-Electra2,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM013,pCM268_ccdB-mKOK,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM014,pCM268_ccdB-mKate2,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM015,pCM268_ccdB-mKate2,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM016,pCM268_ccdB-mTFP1,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM017,pCM268_ccdB-mTFP1,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM018,pCM268_ccdB-miRFP670-2,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM019,pCM268_ccdB-miRFP670-2,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM020,pCM268_ccdB-mLychee,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM021,pCM268_ccdB-mLychee,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM022,pCM268_ccdB-mChilada,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM023,pCM268_ccdB-mChilada,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival)
pDQM024,skittles2.0-5FP-mutation,Amp,single base change (frame shift) in mKate2
pDQM025,skittles2.0-5FP-mutation,Amp,single deletion (frame shift) in mTFP1
