rna_code,rna_name,n_fluors_per_rna,fluor,tag,tag_pos,token
RNA(MGCO-01),ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2,1,mStayGold,2Xcox8A,N,2Xcox8A::mStayGold
RNA(MGCO-02),ef1a-2Xcox8A-linker-mChilada-SV40-attb-tol2,1,mChilada,2Xcox8A,N,2Xcox8A::mChilada
RNA(MGCO-03),ef1a-2Xcox8A-linker-Halo-SV40-attb-tol2,1,Halo,2Xcox8A,N,2Xcox8A::Halo
RNA(MGCO-04),ef1a-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,1,mStayGold,sec61b,N,mStayGold::sec61b
RNA(MGCO-05),ef1a-linker-mChilada-C4linker-sec61b-SV40-attb-tol2,1,mChilada,sec61b,N,mChilada::sec61b
RNA(MGCO-06),ef1a-linker-Halo-sec61b-SV40-attb-tol2,1,Halo,sec61b,N,Halo::sec61b
RNA(MGCO-07),ef1a-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-08),ef1a-linker-mChilada-C4linker-GM130-SV40-attb-tol2,1,mChilada,,,mChilada
RNA(MGCO-09),ef1a-linker-Halo-GM130-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-10),ef1a-TGN46-linker-mStayGold-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-11),ef1a-TGN46-linker-mChilada-SV40-attb-tol2,1,mChilada,,,mChilada
RNA(MGCO-12),ef1a-TGN46-linker-Halo-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-13),ef1a-linker-mStayGold-C4linker-rab5a-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-14),ef1a-linker-Halo-rab5a-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-15),ef1a-LAMP1-linker-mStayGold-SV40-attb-tol2,1,mStayGold,LAMP1,N,LAMP1::mStayGold
RNA(MGCO-16),ef1a-LAMP1-linker-mChilada-SV40-attb-tol2,1,mChilada,LAMP1,N,LAMP1::mChilada
RNA(MGCO-17),ef1a-Arl13b-linker-mStayGold-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-18),ef1a-Arl13b-linker-Halo-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-19),ef1a-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-20),ef1a-linker-Halo-linker-alphatubulin-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-21),ef1a-vimentin-linker-mStayGold-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-22),ef1a-vimentin-linker-Halo-linker-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-23),ef1a-lifeact-linker-mStayGold-SV40-attb-tol2,1,mStayGold,lifeact,N,lifeact::mStayGold
RNA(MGCO-24),ef1a-lifeact-linker-Halo-linker-SV40-attb-tol2,1,Halo,lifeact,N,lifeact::Halo
RNA(MGCO-25),ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,2,mStayGold,,,mStayGold
RNA(MGCO-25),ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,2,mYH,,,mYH
RNA(MGCO-26),ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,2,mChilada,,,mChilada
RNA(MGCO-26),ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,2,mYH,,,mYH
RNA(MGCO-27),ef1a-extended-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,1,mStayGold,sec61b,N,mStayGold::sec61b
RNA(MGCO-28),ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2,1,mStayGold,2Xcox8A,N,2Xcox8A::mStayGold
RNA(MGCO-29),ef1a-extended-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-30),ef1a-extended-TGN46-linker-mStayGold-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-31),ef1a-extended-LAMP1-linker-mStayGold-SV40-attb-tol2,1,mStayGold,LAMP1,N,LAMP1::mStayGold
RNA(MGCO-32),ef1a-extended-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-33),ef1a-extended-vimentin-linker-mStayGold-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-34),ef1a-extended-lifeact-linker-mStayGold-SV40-attb-tol2,1,mStayGold,lifeact,N,lifeact::mStayGold
RNA(MGCO-35),ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2,1,mScarlet3S2,2Xcox8A,N,2Xcox8A::mScarlet3S2
RNA(MGCO-36),ef1a-extended-linker-mScarlet3S2-sec61b-SV40-attb-tol2,1,mScarlet3S2,sec61b,N,mScarlet3S2::sec61b
RNA(MGCO-37),ef1a-extended-LAMP1-linker-mScarlet3S2-SV40-attb-tol2,1,mScarlet3S2,LAMP1,N,LAMP1::mScarlet3S2
RNA(MGCO-38),ef1a-extended-linker-mStayGold-C4linker-MyosinII-SV40-attb-tol2,1,mStayGold,,,mStayGold
RNA(MGCO-39),ef1a-extended-2Xcox8A-linker-Halo-SV40-attb-tol2,1,Halo,2Xcox8A,N,2Xcox8A::Halo
RNA(MGCO-40),ef1a-extended-linker-Halo-sec61b-SV40-attb-tol2,1,Halo,sec61b,N,Halo::sec61b
RNA(MGCO-41),ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,1,mScarlet3S2,,,mScarlet3S2
RNA(MGCO-42),ef1a-extended-linker-Halo-GM130-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-43),ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,1,mScarlet3S2,,,mScarlet3S2
RNA(MGCO-44),ef1a-extended-TGN46-linker-Halo-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-45),ef1a-extended-linker-Halo-linker-alphatubulin-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-46),ef1a-extended-vimentin-linker-Halo-linker-SV40-attb-tol2,1,Halo,,,Halo
RNA(MGCO-47),ef1a-extended-lifeact-linker-Halo-linker-SV40-attb-tol2,1,Halo,lifeact,N,lifeact::Halo
RNA(MGCO-48),ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,1,mScarlet3S2,,,mScarlet3S2
HC-9,HC-9 Lifeact:mStayGold,1,mStayGold,lifeact,N,Lifeact::mStayGold
