date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,mem_histone,172.0,4/28/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,pDQM005,301,pDQM005,301,,pDQM117
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,mem_histone,172.0,4/28/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,pDQM005,301,pDQM005,301,,pDQM117
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,mem_cytosol,171.0,4/29/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,pDQM005,301,pDQM005,301,pDQM140,
