plasmid_code,nickname,resistance,supports_invitro_rna,notes,fusion_name
pDQM001,CMV-SP6-mSG(J) IDT opt,Amp,FALSE,"IDT optimized, for mRNA production with SP6 - clone 2",mSG
pDQM002,CMV-SP6-mSG(J) IDT opt,Amp,FALSE,"IDT optimized, for mRNA production with SP6 - clone 5",mSG
pDQM005,ef1a-tdmSG(J),Amp,FALSE,iCodon optimized for tol2 insertions - clone 4,tdmSG
pDQM006,ef1a-tdmSG-syntrons(J),Amp,FALSE,each mStayGold contains a 51bp syntron to boost expression - clone 6,tdmSG
pDQM007,ef1a-tdmSG-syntrons(J),Amp,FALSE,each mStayGold contains a 51bp syntron to boost expression - clone 3,tdmSG
pDQM008,ef1a-tdmSG-syntrons(J),Amp,FALSE,each mStayGold contains a 51bp syntron to boost expression - clone 8,tdmSG
pDQM009,skittles2.0-4FP,Amp,FALSE,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,mScarlet|mKate2|Electra2|mKOK|mTFP1
pDQM010,skittles2.0-4FP,Amp,FALSE,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK4,mScarlet|mKate2|Electra2|mKOK|mTFP1
pDQM011,pCM268_ccdB-Electra2,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),Electra2
pDQM012,pCM268_ccdB-Electra2,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),Electra2
pDQM013,pCM268_ccdB-mKOK,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mKOK
pDQM014,pCM268_ccdB-mKate2,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mKate2
pDQM015,pCM268_ccdB-mKate2,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mKate2
pDQM016,pCM268_ccdB-mTFP1,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mTFP1
pDQM017,pCM268_ccdB-mTFP1,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mTFP1
pDQM018,pCM268_ccdB-miRFP670-2,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),miRFP670
pDQM019,pCM268_ccdB-miRFP670-2,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),miRFP670
pDQM020,pCM268_ccdB-mLychee,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mLychee
pDQM021,pCM268_ccdB-mLychee,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mLychee
pDQM022,pCM268_ccdB-mChilada,Amp,FALSE,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mChilada
pDQM023,pCM268_ccdB-mChilada,Amp,FALSE,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),mChilada
pDQM024,skittles2.0-5FP-mutation,Amp,FALSE,single base change (frame shift) in mKate2,mScarlet|mKate2|Electra2|mKOK|mTFP1
pDQM025,skittles2.0-5FP-mutation,Amp,FALSE,single deletion (frame shift) in mTFP1,mScarlet|mKate2|Electra2|mKOK|mTFP1
