fluor_name,excitation_nm,emission_nm,alt_names,notes
E2Crimson,,,,
Electra2,503,516,,
GFP,488,510,,
Halo,,,,
mBaoJin,,,,
mBeRFP,,,,
mCardinal,604,659,,
mChilada,587,610,,
mCitrine,,,,
mGold2s,,,,
mGold2t,,,,
miRFP670,,,,
mKOK,588,633,,
mKate2,,,,
mLychee,569,594,,
mScarlet,,,,
mScarlet3,,,,
mScarlet3S2,506,550,,
mStayGold,462,492,,
mTFP1,,,,
mYH,,,,
mYongHong,,,,
miRFP670,,,,
tagbfp2,,,,
tdmChilada,,,,
tdmSG,,,tdmStayGold,
tdmSc3S2,,,,
tdmScarlet3,,,,
tdmScarlet3S2,,,,
tdmYH,,,,
