fusion_nickname,fluor,tag,tag_location
2xcox8a-halo,Halo,2Xcox8A,n_terminal
2xcox8a-mchilada,mChilada,2Xcox8A,n_terminal
2xcox8a-mscarlet3s2,mScarlet3S2,2Xcox8A,n_terminal
2xcox8a-mstaygold,mStayGold,2Xcox8A,n_terminal
2xlynk-mbaojin,mBaoJin,2xLynk,n_terminal
2xlynk-mchialda,mChialda,2xLynk,n_terminal
2xlynk-mgold2s,mGold2s,2xLynk,n_terminal
2xlynk-mgold2t,mGold2t,2xLynk,n_terminal
2xlynk-mscarlet3,mScarlet3,2xLynk,n_terminal
2xlynk-mscarlet3s2,mScarlet3S2,2xLynk,n_terminal
2xlynk-msg,mSG,2xLynk,n_terminal
2xlynk-myonghong,mYongHong,2xLynk,n_terminal
2xlynk-tdmchilada,tdmChilada,2xLynk,n_terminal
2xlynk-tdmsc3s2,tdmSc3S2,2xLynk,n_terminal
2xlynk-tdmscarlet3,tdmScarlet3,2xLynk,n_terminal
2xlynk-tdmsg,tdmSG,2xLynk,n_terminal
dhb-tdmsg,tdmSG,DHB,n_terminal
e2crimson,E2Crimson,,
electra2,Electra2,,
gfp,GFP,,
gfp,gfp,,
halo,Halo,,
halo-sec61b,Halo,sec61b,c_terminal
lamp1-mchilada,mChilada,LAMP1,n_terminal
lamp1-mscarlet3s2,mScarlet3S2,LAMP1,n_terminal
lamp1-mstaygold,mStayGold,LAMP1,n_terminal
lifeact-halo,Halo,lifeact,n_terminal
lifeact-mstaygold,mStayGold,lifeact,n_terminal
mberfp,mBeRFP,,
mberfp-h2b,mBeRFP,H2B,c_terminal
mcardinal,mCardinal,,
mchialda,mChialda,,
mchilada,mChilada,,
mchilada-sec61b,mChilada,sec61b,c_terminal
mcitrine,mCitrine,,
mgold2s,mGold2s,,
mgold2t,mGold2t,,
mirfp670,miRFP670,,
mkate2,mKate2,,
mkok,mKOK,,
mlychee,mLychee,,
mscarlet,mScarlet,,
mscarlet3,mScarlet3,,
mscarlet3s2,mScarlet3S2,,
mscarlet3s2-h2b,mScarlet3S2,H2B,c_terminal
mscarlet3s2-sec61b,mScarlet3S2,sec61b,c_terminal
msg,mSG,,
msg-h2b,mSG,H2B,c_terminal
mstaygold,mStayGold,,
mstaygold-sec61b,mStayGold,sec61b,c_terminal
mtfp1,mTFP1,,
myh,mYH,,
myh-h2b,mYH,H2B,c_terminal
myonghong,mYongHong,,
tagbfp2,tagbfp2,,
tdmchilada-h2b,tdmChilada,H2B,c_terminal
tdmchilada-pcna,tdmChilada,pcna,c_terminal
tdmscarlet3,tdmScarlet3,,
tdmscarlet3s2,tdmScarlet3S2,,
tdmsg,tdmSG,,
tdmyh-h2b,tdmYH,H2B,c_terminal
