plasmid_code,plasmid_name,nickname,fusion_name,fluor_name,tag_name,fluors,tag_description,resistance,notes,supports_invitro_rna
pDQM001,CMV-SP6-mSG(J) IDT opt,,,mSG,,mStayGold(J),,Amp,"IDT optimized, for mRNA production with SP6 - clone 2",0
pDQM002,CMV-SP6-mSG(J) IDT opt,,,mSG,,mStayGold(J),,Amp,"IDT optimized, for mRNA production with SP6 - clone 5",0
pDQM005,ef1a-tdmSG(J),,,mSG|tdmSG,,tandem mStayGold(J) iCodon opt,,Amp,iCodon optimized for tol2 insertions - clone 4,0
pDQM006,ef1a-tdmSG-syntrons(J),,,mSG|tdmSG,,tandem mStayGold(J) iCodon opt,,Amp,each mStayGold contains a 51bp syntron to boost expression - clone 6,0
pDQM007,ef1a-tdmSG-syntrons(J),,,mSG|tdmSG,,tandem mStayGold(J) iCodon opt,,Amp,each mStayGold contains a 51bp syntron to boost expression - clone 3,0
pDQM008,ef1a-tdmSG-syntrons(J),,,mSG|tdmSG,,tandem mStayGold(J) iCodon opt,,Amp,each mStayGold contains a 51bp syntron to boost expression - clone 8,0
pDQM009,skittles2.0-4FP,,,,,cryaa:mScarlet before recombination,,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,0
pDQM010,skittles2.0-4FP,,,,,cryaa:mScarlet before recombination,,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK4,0
pDQM011,pCM268_ccdB-Electra2,,,Electra|Electra2,,Electra2 (iCodon),,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM012,pCM268_ccdB-Electra2,,,Electra|Electra2,,Electra2 (iCodon),,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM013,pCM268_ccdB-mKOK,,,mKOK,,mKOK (iCodon),,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM014,pCM268_ccdB-mKate2,,,mKate2,,mKate2 (iCodon),,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM015,pCM268_ccdB-mKate2,,,mKate2,,mKate2 (iCodon),,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM016,pCM268_ccdB-mTFP1,,,mTFP1,,mTFP1 (iCodon),,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM017,pCM268_ccdB-mTFP1,,,mTFP1,,mTFP1 (iCodon),,Amp,Clone 2 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
pDQM018,pCM268_ccdB-miRFP670-2,,,miRFP670,,miRFP670-2 (iCodon),,Amp,Clone 1 - pIGLET backbone in NEB Turbo cells (for ccdB survival),0
