legacy_pair_id,cross_run_code,dataset,clutch_code,clutch_date,n_embryos,notes
7d535825-55ab-4786-8c7d-38a592d5f6a7,LEGACY:korra:Ken_(F2_of_allele_320)xIsaac_(F2_of_allele_314),korra,LEGACY:korra:Ken_(F2_of_allele_320)xIsaac_(F2_of_allele_314):clutch:6/24/25,6/24/25,,
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:8/28/25,8/28/25,,
bb2a9aea-98a0-43c5-b990-a45c557478c4,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/19/25,9/19/25,,
4fd0f90e-cc6d-4975-8fac-877e84047e82,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309),korra,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:6/5/25,6/5/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/15/25,10/15/25,,
fdfbdd9d-f724-4cd3-a659-42b94a1b0577,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,korra,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/29/25,10/29/25,,
a62b4a8b-e21c-482e-8591-0c283f0a8d2b,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al,aang,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/27/25,10/27/25,,
069af4a2-47a4-4f77-b395-012410322af2,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310),korra,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310):clutch:5/29/25,5/29/25,,
be3b29cb-a4c2-4e2b-8e7c-08a6914fcb4d,LEGACY:korra:Ben_(F2_of_allele_310)xAbe_(F2_of_allele_309),korra,LEGACY:korra:Ben_(F2_of_allele_310)xAbe_(F2_of_allele_309):clutch:6/18/25,6/18/25,,
8c15816f-0a64-4bf9-909c-7306330a969c,LEGACY:korra:NaNxNaN,korra,LEGACY:korra:NaNxNaN:clutch:5/13/25,5/13/25,,
8c15816f-0a64-4bf9-909c-7306330a969c,LEGACY:korra:NaNxNaN,korra,LEGACY:korra:NaNxNaN:clutch:5/22/25,5/22/25,,
ac61d244-2899-400c-949e-6db7273d86eb,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325),aang,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325):clutch:9/22/25,9/22/25,,
