legacy_pair_id,cross_run_code,dataset,female_legacy_label,male_legacy_label,notes
72a4146d-555f-4764-947b-e51fc891d513,LEGACY:aang:casper/rnfxcasper/rnf,aang,casper/rnf,casper/rnf,
137f4804-aa49-4ca0-a613-aab3214cb31b,LEGACY:aang:casper/rnfxef1a-extended:2xLynk:tdmScarlet3,aang,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),
a4d495b0-bd80-40b1-8df6-e2423a6e8b42,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al,aang,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),
23f2a174-0828-4b90-af39-d17dbc36b3fe,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344,aang,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),
5289a823-30b2-4758-a70e-40cf8e449d80,LEGACY:aang:casper/rnfxmem:tdmChilada,aang,casper/rnf,mem:tdmChilada,
da6b5c4f-5e98-4862-8353-dfcbab6f3862,LEGACY:aang:casper/rnfxmemrane_tdmScarlet3S2_(F1_of_all,aang,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),
ac61d244-2899-400c-949e-6db7273d86eb,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325),aang,casper/rnf,tdmScarlet3S2 (F1 of allele 325),
2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al,aang,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),
c8c0cf48-3905-43a6-aef6-5e9d03796ff3,LEGACY:aang:ef1a:2xLynk:tdm:mChiladaxef1a:2xLynk:tdm:mChilada,aang,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,
21790f58-fdca-4657-a113-754eac017bb8,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf,aang,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,
