fish_code,birthday,genetic_background,line_building_stage,nickname,notes
FSH_LEGACY_korra_fish10_roi2,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish10_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish2_48hpf_roi3,11/4/25,,,mem-mito,legacy dataset=korra; legacy_fish_label=fish2_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_24hpf_roi2,8/18/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_24hpf_roi2; imaging_nickname=mem-histone
FSH_LEGACY_korra_fish2_24hpf_mem_mito_msc3_er_halo,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish2_24hpf_mem_mito_msc3_er_halo; imaging_nickname=mem_organelle
FSH_LEGACY_aang_fish2_24hpf_roi1,10/27/25,,,mem-halo_er-mSG,legacy dataset=aang; legacy_fish_label=fish2_24hpf_roi1; imaging_nickname=mem-halo_er-mSG
FSH_LEGACY_aang_fish4_24hpf_mem_mchilada_mito_mSG,8/7/25,,,mem_organelle,legacy dataset=aang; legacy_fish_label=fish4_24hpf_mem-mchilada_mito-mSG; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish1_roi3,6/26/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish1_roi3; imaging_nickname=skittlez
FSH_LEGACY_aang_fish1_48hpf_roi3,8/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_48hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish1_48hpf_roi2,11/4/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_48hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish3_72hpf_roi3,9/12/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi3; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish5,5/12/25,,,mem_histone,legacy dataset=korra; legacy_fish_label=fish5; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish5_24hpf_roi3,8/27/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish5_24hpf_roi3; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish3_48hpf_roi4,7/21/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_48hpf_roi4; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish2_48hpf_roi3,10/8/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi3; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish1_48hpf_xscan_roi5_spine_muscle_tail,9/30/25,,,mem_tester,legacy dataset=aang; legacy_fish_label=fish1_48hpf_xscan_roi5_spine_muscle_tail; imaging_nickname=mem_tester
FSH_LEGACY_aang_fish2_48hpf_roi5,7/21/25,,,mem_histone,legacy dataset=aang; legacy_fish_label=fish2_48hpf_roi5; imaging_nickname=mem_histone
FSH_LEGACY_aang_fish3_72hpf_roi9,9/15/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish3_72hpf_roi9; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish6_24hpf_roi1,10/20/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish6_24hpf_roi1; imaging_nickname=mem-mito
FSH_LEGACY_aang_fish5_24hpf_roi2,10/8/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish5_24hpf_roi2; imaging_nickname=mem-mito
FSH_LEGACY_korra_fish9_roi1,6/17/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish9_roi1; imaging_nickname=skittlez
FSH_LEGACY_korra_fish4_roi2,6/26/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish4_roi2; imaging_nickname=skittlez
FSH_LEGACY_korra_fish6_48hpf_mem_mito_halo_er_msc2,7/14/25,,,mem_organelle,legacy dataset=korra; legacy_fish_label=fish6_48hpf_mem_mito_halo_er_msc2; imaging_nickname=mem_organelle
FSH_LEGACY_korra_fish11_roi1,6/4/25,,,skittlez,legacy dataset=korra; legacy_fish_label=fish11_roi1; imaging_nickname=skittlez
FSH_LEGACY_aang_fish1_72hpf_roi4,9/19/25,,,mem-histone,legacy dataset=aang; legacy_fish_label=fish1_72hpf_roi4; imaging_nickname=mem-histone
FSH_LEGACY_aang_fish1_48hpf_roi4,9/24/25,,,mem-mito,legacy dataset=aang; legacy_fish_label=fish1_48hpf_roi4; imaging_nickname=mem-mito
