genotype_code,transgene_base_code,allele_number,allele_nickname,zygosity,notes
GT_LEGACY_tandem_mem_mStayGold,pDQM005,,301,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_302,pDQM005,,302,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmChilada_F1_of_allele_315,pDQM082,,315,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_F1_of_allele_325,pDQM136,,325,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_mChilada,pDQM082,,315,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_membrane_mChilada,pDQM082,,315,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_membrane_Halo,Swinburne,,Swinburne,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F2_of_allele_301,pDQM005,,301,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_H2B_Halo,Swinburne,,Swinburne,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_mHalo,Swinburne,,Swinburne,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F2_of_allele_302,pDQM005,,302,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Dennis_F2_of_allele_318,pDQM036,,381,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Jim_F2_of_allele_316,pDQM059,,316,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Ben_F2_of_allele_310,pDQM034,,310,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Ken_F2_of_allele_320,pDQM059,,320,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Liam_F2_of_allele_321,pDQM059,,321,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_MGCO35_F1_of_allele_336,MGCO-35,,336,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_301,pDQM005,,301,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_310,pDQM034,,310,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_309,pDQM034,,310,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_H2B_tol2_F1_of_allele_324,pDQM133,,324,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_memrane_tdmScarlet3S2_F1_of_allele_325,pDQM136,,325,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_from_Swinburne_lab_tank_ID_344_F1_of_allele_45385,Swinburne,,Swinburne,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_Halo,Swinburne,,Swinburne,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_F2_of_allele_325,pDQM136,,325,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_mem_tdmChilada,pDQM082,,315,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_extended_2xLynk_tdmScarlet3_S2_tol2_F1_of_allele_325,pDQM136,,325,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_305,pDQM005,,305,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_308,pDQM005,,308,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_memrane_tdmScarlet3S2_F1_of_allele_327,pDQM136,,327,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_exorh_GFP_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_313,pDQM036,,313,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Abe_F2_of_allele_309,pDQM034,,309,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Isaac_F2_of_allele_314,pDQM064,,314,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Chris_F1_of_allele_317,pDQM034,,317,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_304,pDQM005,,304,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_317,pDQM034,,317,,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tandem_mem_mStayGold_tdmChilada_Histone,"pDQM005, pDQM104",,"301, n/a",,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tandem_mem_mStayGold_tdmChilada_MAGPV_Histone,"pDQM005, pDQM104",,"301, n/a",,from Unique_parent_names__mom_dad_combined__preview_.csv
