plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
korra_20250605_skittlez_skittlez,fish10_roi2,fish10_roi2,1,fish10_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi2,6/5/25,
korra_20251112_mem_mito_mem_mito,fish2_48hpf_roi3,fish2_48hpf_roi3,2,fish2_48hpf_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20251112_mem-mito/fish2_48hpf_roi3,11/5/25,
aang_20251001_mem_histone_mem_histone,fish1_24hpf_roi2,fish1_24hpf_roi2,13,fish1_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi2,10/1/25,
korra_20250715_mem_organelle_mem_organelle,fish2_24hpf_mem_mito_msc3_er_halo,roi1_eye,1,roi1_eye,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish2_24hpf_mem_mito_msc3_er_halo/roi1_eye,7/15/25,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish2_24hpf_roi1,fish2_24hpf_roi1,1,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1,9/8/25,
aang_20250808_mem_organelle_mem_organelle,fish4_24hpf_mem_mchilada_mito_mSG,roi3,3,roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish4_24hpf_mem-mchilada_mito-mSG/roi3,8/8/25,
korra_20250529_skittlez_skittlez,fish1_roi3,fish1_roi3,1,fish1_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish1_roi3,6/27/25,
aang_20250911_mem_mito_mem_mito,fish1_48hpf_roi3,fish1_48hpf_roi3,2,fish1_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi3,9/26/25,
aang_20250925_mem_mito_mem_mito,fish1_48hpf_roi2,fish1_48hpf_roi2,4,fish1_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish1_48hpf_roi2,9/25/25,
aang_20250918_mem_mito_mem_mito,fish3_72hpf_roi3,fish3_72hpf_roi3,3,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi3,9/18/25,
korra_20250523_mem_histone_mem_histone,fish5,roi1,10,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish5/roi1,5/23/25,
aang_20251001_mem_histone_mem_histone,fish5_24hpf_roi3,fish5_24hpf_roi3,4,fish5_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi3,9/8/25,
aang_20251009_mem_mito_mem_mito,fish3_48hpf_roi4,fish3_48hpf_roi4,5,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,9/26/25,
aang_20251007_mem_histone_mem_histone,fish2_48hpf_roi3,fish2_48hpf_roi3,4,fish2_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi3,10/10/25,
aang_20251003_mem_tester_mem_tester,fish1_48hpf_xscan_roi5_spine_muscle_tail,fish1_48hpf_xscan_roi5_spine_muscle_tail,1,fish1_48hpf_xscan_roi5_spine_muscle_tail,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi5_spine_muscle_tail,10/1/25,
aang_20251007_mem_histone_mem_histone,fish2_48hpf_roi5,fish2_48hpf_roi5,2,fish2_48hpf_roi5,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi5,7/22/25,
aang_20250918_mem_mito_mem_mito,fish3_72hpf_roi9,fish3_72hpf_roi9,2,fish3_72hpf_roi9,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi9,9/18/25,
aang_20251021_mem_mito_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,8,fish6_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251021_mem-mito/fish6_24hpf_roi1,10/21/25,
aang_20250908_mem_mito_mem_mito,fish5_24hpf_roi2,fish5_24hpf_roi2,3,fish5_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250908_mem-mito/fish5_24hpf_roi2,9/8/25,
korra_20250625_skittlez_skittlez,fish9_roi1,fish9_roi1,7,fish9_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250625_skittlez/fish9_roi1,6/6/25,
korra_20250627_skittlez_skittlez,fish4_roi2,fish4_roi2,2,fish4_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250627_skittlez/fish4_roi2,6/27/25,
