schema,table,size,row_est,scans,iud_total,n_pk,n_fk_out,n_fk_in,suggested_role
public,allele_nicknames,16 kB,0,1,0,1,0,0,core
public,clutch_containers,64 kB,0,7,0,1,0,0,core
public,clutch_genotype_options,32 kB,0,3,0,1,0,0,core
public,clutch_instance_treatments,32 kB,0,4,0,1,1,0,core
public,clutch_instances,56 kB,0,6,0,1,0,2,core
public,clutch_plan_treatments,24 kB,0,2,0,1,0,0,core
public,clutch_plans,24 kB,0,2,0,1,0,0,core
public,clutch_treatments,24 kB,0,2,0,1,0,0,core
public,clutches,96 kB,0,12,0,1,1,0,core
public,container_status_history,32 kB,0,3,0,1,0,0,core
public,containers,56 kB,0,6,0,1,0,0,core
public,cross_instances,96 kB,0,11,0,1,0,0,core
public,cross_plan_genotype_alleles,40 kB,0,6,0,1,2,0,core
public,cross_plan_runs,80 kB,0,10,0,1,1,1,core
public,cross_plan_treatments,64 kB,0,10,0,1,2,0,core
public,cross_plans,136 kB,0,16,0,1,0,3,core
public,crosses,56 kB,0,6,0,1,0,0,core
public,fish,152 kB,120,783,122,1,0,2,core
public,fish_code_audit,16 kB,0,1,0,1,0,0,core
public,fish_pairs,48 kB,0,5,0,1,0,1,core
public,fish_seed_batches,24 kB,0,2,0,1,0,0,core
public,fish_seed_batches_map,56 kB,0,6,0,1,0,0,core
public,fish_tank_memberships,136 kB,120,371,120,1,2,0,core
public,fish_transgene_alleles,200 kB,119,256,242,1,1,0,core
public,fish_year_counters,56 kB,1,121,120,1,0,0,core
public,injected_plasmid_treatments,32 kB,0,3,0,1,0,0,core
public,injected_rna_treatments,48 kB,0,5,0,1,0,0,core
public,label_items,64 kB,0,7,0,1,0,0,core
public,label_jobs,48 kB,0,5,0,1,0,0,core
public,load_log_fish,32 kB,0,3,0,1,0,0,core
public,mounts,40 kB,0,5,0,1,1,0,core
public,planned_crosses,120 kB,0,14,0,1,0,0,core
public,plasmid_fusions,32 kB,0,3,0,1,1,0,core
public,plasmid_registry,32 kB,0,3,0,1,0,1,core
public,plasmids,40 kB,0,4,0,1,0,1,core
public,selection_labels,24 kB,0,2,0,1,0,0,core
public,tank_pair_counters,16 kB,0,1,0,1,0,0,core
public,tank_pairs,32 kB,0,4,0,1,1,0,core
public,tank_requests,24 kB,0,2,0,1,0,0,core
public,tank_status_history,16 kB,0,1,0,1,0,0,core
public,tank_year_counters,8192 bytes,0,1,0,1,0,0,core
public,tanks,128 kB,120,611,120,1,1,1,core
public,tp_run_counters,16 kB,0,1,0,1,0,0,core
public,transgene_allele_counters,16 kB,0,1,0,1,0,0,core
public,transgene_allele_registry,72 kB,0,8,0,1,0,0,core
public,transgene_alleles,128 kB,72,381,72,1,1,2,core
public,transgenes,32 kB,24,145,24,1,0,1,core
