table,size,row_est,scans,iud_total,n_pk,n_fk_out,n_fk_in,suggested_role,suggested_name,rename_reason
allele_nicknames,16 kB,0,1,0,1,0,0,keep,allele_nicknames,""
clutch_containers,64 kB,0,7,0,1,0,0,keep,clutch_containers,""
clutch_genotype_options,32 kB,0,3,0,1,0,0,keep,clutch_genotype_options,""
clutch_instance_treatments,32 kB,0,4,0,1,1,0,keep,clutch_instance_treatments,""
clutch_instances,56 kB,0,6,0,1,0,2,keep,clutch_instances,""
clutch_plan_treatments,24 kB,0,2,0,1,0,0,keep,clutch_plan_treatments,""
clutch_plans,24 kB,0,2,0,1,0,0,keep,clutch_plans,""
clutch_treatments,24 kB,0,2,0,1,0,0,keep,clutch_treatments,""
clutches,96 kB,0,12,0,1,1,0,keep,clutches,""
container_status_history,32 kB,0,3,0,1,0,0,keep,container_status_history,""
containers,56 kB,0,6,0,1,0,0,keep,containers,""
cross_instances,96 kB,0,11,0,1,0,0,keep,cross_instances,""
cross_plan_genotype_alleles,40 kB,0,6,0,1,2,0,keep,cross_plan_genotype_alleles,""
cross_plan_runs,80 kB,0,10,0,1,1,1,keep,cross_plan_runs,""
cross_plan_treatments,64 kB,0,10,0,1,2,0,keep,cross_plan_treatments,""
cross_plans,136 kB,0,16,0,1,0,3,keep,cross_plans,""
crosses,56 kB,0,6,0,1,0,0,keep,crosses,""
fish,152 kB,120,783,122,1,0,2,keep,fish,""
fish_code_audit,16 kB,0,1,0,1,0,0,keep,fish_code_audit,""
fish_pairs,48 kB,0,5,0,1,0,1,keep,fish_pairs,""
fish_seed_batches,24 kB,0,2,0,1,0,0,keep,fish_seed_batches,""
fish_seed_batches_map,56 kB,0,6,0,1,0,0,keep,fish_seed_batches_map,""
fish_tank_memberships,136 kB,120,371,120,1,2,0,keep,fish_tank_memberships,""
fish_transgene_alleles,200 kB,119,256,242,1,1,0,keep,fish_transgene_alleles,""
fish_year_counters,56 kB,1,121,120,1,0,0,keep,fish_year_counters,""
injected_plasmid_treatments,32 kB,0,3,0,1,0,0,keep,injected_plasmid_treatments,""
injected_rna_treatments,48 kB,0,5,0,1,0,0,keep,injected_rna_treatments,""
label_items,64 kB,0,7,0,1,0,0,keep,label_items,""
label_jobs,48 kB,0,5,0,1,0,0,keep,label_jobs,""
load_log_fish,32 kB,0,3,0,1,0,0,keep,load_log_fish,""
mounts,40 kB,0,5,0,1,1,0,keep,mounts,""
planned_crosses,120 kB,0,14,0,1,0,0,keep,planned_crosses,""
plasmid_fusions,32 kB,0,3,0,1,1,0,keep,plasmid_fusions,""
plasmid_registry,32 kB,0,3,0,1,0,1,keep,plasmid_registry,""
plasmids,40 kB,0,4,0,1,0,1,keep,plasmids,""
selection_labels,24 kB,0,2,0,1,0,0,keep,selection_labels,""
tank_pair_counters,16 kB,0,1,0,1,0,0,keep,tank_pair_counters,""
tank_pairs,32 kB,0,4,0,1,1,0,keep,tank_pairs,""
tank_requests,24 kB,0,2,0,1,0,0,keep,tank_requests,""
tank_status_history,16 kB,0,1,0,1,0,0,keep,tank_status_history,""
tank_year_counters,8192 bytes,0,1,0,1,0,0,keep,tank_year_counters,""
tanks,128 kB,120,611,120,1,1,1,keep,tanks,""
tp_run_counters,16 kB,0,1,0,1,0,0,keep,tp_run_counters,""
transgene_allele_counters,16 kB,0,1,0,1,0,0,keep,transgene_allele_counters,""
transgene_allele_registry,72 kB,0,8,0,1,0,0,keep,transgene_allele_registry,""
transgene_alleles,128 kB,72,381,72,1,1,2,keep,transgene_alleles,""
transgenes,32 kB,24,145,24,1,0,1,keep,transgenes,""
