_realtime	tenants	broadcast_adapter	'gen_rpc'::character varying
_realtime	tenants	max_bytes_per_second	100000
_realtime	tenants	max_channels_per_client	100
_realtime	tenants	max_concurrent_users	200
_realtime	tenants	max_events_per_second	100
_realtime	tenants	max_joins_per_second	500
_realtime	tenants	max_payload_size_in_kb	3000
_realtime	tenants	max_presence_events_per_second	10000
_realtime	tenants	migrations_ran	0
_realtime	tenants	notify_private_alpha	false
_realtime	tenants	postgres_cdc_default	'postgres_cdc_rls'::text
_realtime	tenants	private_only	false
_realtime	tenants	suspend	false
auth	audit_log_entries	ip_address	''::character varying
auth	identities	email	lower(identity_data ->> 'email'::text)
auth	identities	id	gen_random_uuid()
auth	oauth_authorizations	created_at	now()
auth	oauth_authorizations	expires_at	now() + '00:03:00'::interval
auth	oauth_authorizations	response_type	'code'::auth.oauth_response_type
auth	oauth_authorizations	status	'pending'::auth.oauth_authorization_status
auth	oauth_clients	client_type	'confidential'::auth.oauth_client_type
auth	oauth_clients	created_at	now()
auth	oauth_clients	updated_at	now()
auth	oauth_consents	granted_at	now()
auth	one_time_tokens	created_at	now()
auth	one_time_tokens	updated_at	now()
auth	refresh_tokens	id	nextval('auth.refresh_tokens_id_seq'::regclass)
auth	users	confirmed_at	LEAST(email_confirmed_at, phone_confirmed_at)
auth	users	email_change_confirm_status	0
auth	users	email_change_token_current	''::character varying
auth	users	is_anonymous	false
auth	users	is_sso_user	false
auth	users	phone	NULL::character varying
auth	users	phone_change	''::character varying
auth	users	phone_change_token	''::character varying
auth	users	reauthentication_token	''::character varying
net	_http_response	created	now()
net	http_request_queue	id	nextval('net.http_request_queue_id_seq'::regclass)
public	annotations	created_at	now()
public	annotations	id	gen_random_uuid()
public	annotations	value_kind	'numeric'::text
public	clutch_expected_genotypes	created_at	now()
public	clutch_expected_genotypes	id	gen_random_uuid()
public	clutch_instances	created_at	now()
public	clutch_instances	id	gen_random_uuid()
public	crispr_knockins	created_at	now()
public	crispr_knockins	id	gen_random_uuid()
public	crosses	created_at	now()
public	crosses	id	gen_random_uuid()
public	dyes	created_at	now()
public	dyes	id	gen_random_uuid()
public	fish	created_at	now()
public	fish	id	gen_random_uuid()
public	fluors	created_at	now()
public	fluors	id	gen_random_uuid()
public	fusions	created_at	now()
public	fusions	id	gen_random_uuid()
public	join_aliases	alias_norm	lower(btrim(alias))
public	join_aliases	created_at	now()
public	join_aliases	id	gen_random_uuid()
public	join_annotations	created_at	now()
public	join_annotations	id	gen_random_uuid()
public	join_clutch_treatments	created_at	now()
public	join_crispr_fusions	created_at	now()
public	join_fish_fluorescent_treatments	created_at	now()
public	join_fish_transgene_alleles	created_at	now()
public	join_plasmid_fusions	created_at	now()
public	join_rna_fusions	created_at	now()
public	join_treatment_dyes	created_at	now()
public	join_treatment_dyes	id	gen_random_uuid()
public	locations	created_at	now()
public	locations	id	gen_random_uuid()
public	plasmids	created_at	now()
public	plasmids	id	gen_random_uuid()
public	plate_slots	created_at	now()
public	plate_slots	id	gen_random_uuid()
public	plates	created_at	now()
public	plates	id	gen_random_uuid()
public	rnas	created_at	now()
public	rnas	id	gen_random_uuid()
public	tags	created_at	now()
public	tags	id	gen_random_uuid()
public	tank_pairs	created_at	now()
public	tank_pairs	id	gen_random_uuid()
public	tanks	created_at	now()
public	tanks	id	gen_random_uuid()
public	transgene_alleles	created_at	now()
public	transgenes	created_at	now()
public	treated_clutches	created_at	now()
public	treated_clutches	id	gen_random_uuid()
public	treatments	created_at	now()
public	treatments	id	gen_random_uuid()
realtime	messages	id	gen_random_uuid()
realtime	messages	inserted_at	now()
realtime	messages	private	false
realtime	messages	updated_at	now()
realtime	messages_2025_11_12	id	gen_random_uuid()
realtime	messages_2025_11_12	inserted_at	now()
realtime	messages_2025_11_12	private	false
realtime	messages_2025_11_12	updated_at	now()
realtime	messages_2025_11_13	id	gen_random_uuid()
realtime	messages_2025_11_13	inserted_at	now()
realtime	messages_2025_11_13	private	false
realtime	messages_2025_11_13	updated_at	now()
realtime	messages_2025_11_14	id	gen_random_uuid()
realtime	messages_2025_11_14	inserted_at	now()
realtime	messages_2025_11_14	private	false
realtime	messages_2025_11_14	updated_at	now()
realtime	messages_2025_11_15	id	gen_random_uuid()
realtime	messages_2025_11_15	inserted_at	now()
realtime	messages_2025_11_15	private	false
realtime	messages_2025_11_15	updated_at	now()
realtime	messages_2025_11_16	id	gen_random_uuid()
realtime	messages_2025_11_16	inserted_at	now()
realtime	messages_2025_11_16	private	false
realtime	messages_2025_11_16	updated_at	now()
realtime	subscription	claims_role	realtime.to_regrole(claims ->> 'role'::text)
realtime	subscription	created_at	timezone('utc'::text, now())
realtime	subscription	filters	'{}'::realtime.user_defined_filter[]
storage	buckets	avif_autodetection	false
storage	buckets	created_at	now()
storage	buckets	public	false
storage	buckets	type	'STANDARD'::storage.buckettype
storage	buckets	updated_at	now()
storage	buckets_analytics	created_at	now()
storage	buckets_analytics	format	'ICEBERG'::text
storage	buckets_analytics	type	'ANALYTICS'::storage.buckettype
storage	buckets_analytics	updated_at	now()
storage	iceberg_namespaces	created_at	now()
storage	iceberg_namespaces	id	gen_random_uuid()
storage	iceberg_namespaces	updated_at	now()
storage	iceberg_tables	created_at	now()
storage	iceberg_tables	id	gen_random_uuid()
storage	iceberg_tables	updated_at	now()
storage	migrations	executed_at	CURRENT_TIMESTAMP
storage	objects	created_at	now()
storage	objects	id	gen_random_uuid()
storage	objects	last_accessed_at	now()
storage	objects	path_tokens	string_to_array(name, '/'::text)
storage	objects	updated_at	now()
storage	prefixes	created_at	now()
storage	prefixes	level	storage.get_level(name)
storage	prefixes	updated_at	now()
storage	s3_multipart_uploads	created_at	now()
storage	s3_multipart_uploads	in_progress_size	0
storage	s3_multipart_uploads_parts	created_at	now()
storage	s3_multipart_uploads_parts	id	gen_random_uuid()
storage	s3_multipart_uploads_parts	size	0
supabase_functions	hooks	created_at	now()
supabase_functions	hooks	id	nextval('supabase_functions.hooks_id_seq'::regclass)
supabase_functions	migrations	inserted_at	now()
trash_carp	clutch_materials	created_at	now()
trash_carp	clutch_materials	id	gen_random_uuid()
trash_carp	containers	created_at	now()
trash_carp	containers	id	gen_random_uuid()
trash_carp	join_fish_tanks	id	gen_random_uuid()
trash_carp	join_fish_tanks	since	now()
trash_carp	label_items	created_at	now()
trash_carp	label_items	id	gen_random_uuid()
trash_carp	label_jobs	created_at	now()
trash_carp	label_jobs	id	gen_random_uuid()
trash_carp	transgene_allele_registry	id	gen_random_uuid()
trash_carp	transgene_allele_registry	issued_at	now()
vault	secrets	created_at	CURRENT_TIMESTAMP
vault	secrets	description	''::text
vault	secrets	id	gen_random_uuid()
vault	secrets	nonce	vault._crypto_aead_det_noncegen()
vault	secrets	updated_at	CURRENT_TIMESTAMP
