rna_base_code,nickname,notes
MGCO-01,ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2,
MGCO-02,ef1a-2Xcox8A-linker-mChilada-SV40-attb-tol2,
MGCO-03,ef1a-2Xcox8A-linker-Halo-SV40-attb-tol2,
MGCO-04,ef1a-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,
MGCO-05,ef1a-linker-mChilada-C4linker-sec61b-SV40-attb-tol2,
MGCO-06,ef1a-linker-Halo-sec61b-SV40-attb-tol2,
MGCO-07,ef1a-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,
MGCO-08,ef1a-linker-mChilada-C4linker-GM130-SV40-attb-tol2,
MGCO-09,ef1a-linker-Halo-GM130-SV40-attb-tol2,
MGCO-10,ef1a-TGN46-linker-mStayGold-SV40-attb-tol2,
MGCO-11,ef1a-TGN46-linker-mChilada-SV40-attb-tol2,
MGCO-12,ef1a-TGN46-linker-Halo-SV40-attb-tol2,
MGCO-13,ef1a-linker-mStayGold-C4linker-rab5a-SV40-attb-tol2,
MGCO-14,ef1a-linker-Halo-rab5a-SV40-attb-tol2,
MGCO-15,ef1a-LAMP1-linker-mStayGold-SV40-attb-tol2,
MGCO-16,ef1a-LAMP1-linker-mChilada-SV40-attb-tol2,
MGCO-17,ef1a-Arl13b-linker-mStayGold-SV40-attb-tol2,
MGCO-18,ef1a-Arl13b-linker-Halo-SV40-attb-tol2,
MGCO-19,ef1a-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,
MGCO-20,ef1a-linker-Halo-linker-alphatubulin-SV40-attb-tol2,
MGCO-21,ef1a-vimentin-linker-mStayGold-SV40-attb-tol2,
MGCO-22,ef1a-vimentin-linker-Halo-linker-SV40-attb-tol2,
MGCO-23,ef1a-lifeact-linker-mStayGold-SV40-attb-tol2,
MGCO-24,ef1a-lifeact-linker-Halo-linker-SV40-attb-tol2,
MGCO-25,ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,
MGCO-26,ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,
MGCO-27,ef1a-extended-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,
MGCO-28,ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2,
MGCO-29,ef1a-extended-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,
MGCO-30,ef1a-extended-TGN46-linker-mStayGold-SV40-attb-tol2,
MGCO-31,ef1a-extended-LAMP1-linker-mStayGold-SV40-attb-tol2,
MGCO-32,ef1a-extended-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,
MGCO-33,ef1a-extended-vimentin-linker-mStayGold-SV40-attb-tol2,
MGCO-34,ef1a-extended-lifeact-linker-mStayGold-SV40-attb-tol2,
MGCO-35,ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2,
MGCO-36,ef1a-extended-linker-mScarlet3S2-sec61b-SV40-attb-tol2,
MGCO-37,ef1a-extended-LAMP1-linker-mScarlet3S2-SV40-attb-tol2,
MGCO-38,ef1a-extended-linker-mStayGold-C4linker-MyosinII-SV40-attb-tol2,
MGCO-39,ef1a-extended-2Xcox8A-linker-Halo-SV40-attb-tol2,
MGCO-40,ef1a-extended-linker-Halo-sec61b-SV40-attb-tol2,
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,
MGCO-42,ef1a-extended-linker-Halo-GM130-SV40-attb-tol2,
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,
MGCO-44,ef1a-extended-TGN46-linker-Halo-SV40-attb-tol2,
MGCO-45,ef1a-extended-linker-Halo-linker-alphatubulin-SV40-attb-tol2,
MGCO-46,ef1a-extended-vimentin-linker-Halo-linker-SV40-attb-tol2,
MGCO-47,ef1a-extended-lifeact-linker-Halo-linker-SV40-attb-tol2,
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,
HC-9,HC-9 Lifeact:mStayGold,
