line_nickname,birthday,genetic_background,instance_stage,transgene_base_code,allele_nickname,zygosity,created_by,description
membrane tandem Halo (ef1a:2xLynk:tdHalo),8/21/24,casper,F1,pswin01,swinborne,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),11/12/24,casper,F1,pDQM005,301,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),11/25/24,casper,F1,pDQM005,302,unknown,dqm,tol2
skittlez 4 FP (ef1a:<cryaa:mSc>mKate2/Electra2/mKOK/mTFP1),2/26/25,casper,F1,pDQM036,318,unknown,dqm,tol2
skittlez 4 FP (ef1a:<cryaa:mSc>mKate2/Electra2/mKOK/mTFP1),2/26/25,casper,F1,pDQM036,319,unknown,dqm,tol2
membrane tandem mChilada (ef1a:2xLynk:tdmChilada),4/22/25,casper,F1,pDQM082,315,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (ef1a-ext:2x:Lynk:tdmScarlet3S2),4/27/25,casper,F1,pDQM136,325,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (ef1a-ext:2x:Lynk:tdmScarlet3S2),4/28/25,casper,F1,pDQM136,327,unknown,dqm,tol2
membrane tandem mScarlet3-S2 (p24b;ef1a-ext:2x:Lynk:tdmScarlet3S2),8/14/25,casper,F1,pJWL001,343,unknown,dqm,phiC; p24b
skittlez 5 FP (ef1a-ext:<mem:mSG>Halo/Electra2/mBeRFP/mScarlet3S2/mTFP1),9/2/25,casper,F1,pDQM137,337,unknown,dqm,Meganuclease
membrane tandem mScarlet3-S2 (A2UCOE-ef1a-ext:2x:Lynk:tdmScarlet3S2),10/20/25,casper,F1,pMNM002,342,unknown,dqm,tol2-nanos
Mito mScarlet3S2 (ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2),10/21/25,casper,F1,MGCO-35,336,unknown,dqm,tol2
mStayGold CDT1 (G0/G1 Fucci marker) (ef1a-ext:mSG:CDT1),10/28/25,casper,F1,pDQM151,340,unknown,dqm,tol2
mStayGold CDT1 (G0/G1 Fucci marker) (ef1a-ext:mSG:CDT1),10/28/25,casper,F1,pDQM151,341,unknown,dqm,tol2
ef1a:2xLynk:tdmSG(J) (F1 of allele 301),8/16/24,casper,F1,pDQM005,301,unknown,,from imaging worksheet
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),8/16/24,casper,F1,pDQM005,302,unknown,,from imaging worksheet
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),11/25/24,casper,F1,pDQM005,302,unknown,,from imaging worksheet
ef1a:2xLynk:tdmSG(J) (F1 of allele 304),8/16/24,casper,F1,pDQM005,304,unknown,,from imaging worksheet
ef1a:2xLynk:tdmSG(J) (F1 of allele 308),8/16/24,casper,F1,pDQM005,308,unknown,,from imaging worksheet
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),10/1/24,casper,F1,pDQM034,309,unknown,,from imaging worksheet
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),10/1/24,casper,F1,pDQM034,310,unknown,,from imaging worksheet
ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),11/20/24,casper,F1,pDQM063,313,unknown,,from imaging worksheet
ef1a:2xLynk:tdmChilada (F1 of allele 315),12/22/24,casper,F1,pDQM082,315,unknown,,from imaging worksheet
ef1a:2xLynk:tdmChilada (F1 of allele 315),12/22/24,casper,F1,pDQM082,315,unknown,,from imaging worksheet
ef1a:2xLynk:tdmChilada (F1 of allele 315),12/22/24,casper,F1,pDQM082,315,unknown,,from imaging worksheet
ef1a:2xLynk:tdmChilada (F1 of allele 315),12/22/24,casper,F1,pDQM082,315,unknown,,from imaging worksheet
Chris (F1 of allele 317),10/1/24,casper,F1,pDQM034,317,unknown,,from imaging worksheet
Chris (F1 of allele 317),10/1/24,casper,F1,pDQM034,317,unknown,,from imaging worksheet
tdmScarlet3S2:H2B-tol2 (F1 of allele 324),4/8/25,casper,F1,pDQM133,324,unknown,,from imaging worksheet
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),4/27/25,casper,F1,pDQM136,325,unknown,,from imaging worksheet
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),4/27/25,casper,F1,pDQM136,325,unknown,,from imaging worksheet
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),4/27/25,casper,F1,pDQM136,325,unknown,,from imaging worksheet
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),4/27/25,casper,F1,pDQM136,325,unknown,,from imaging worksheet
MGCO35 (F1 of allele 336),10/21/25,casper,F1,MGCO-35,336,unknown,,from imaging worksheet
mem-tdmSG-8m-F1,11/24/24,casper,F1,pDQM005,301,unknown,dqm,"multiple alleles, selected brightest"
mem-tdmSG-11m-F1,11/25/24,casper,F1,pDQM005,302,unknown,dqm,"multiple alleles, selected brightest"
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),3/3/25,casper,F2,pDQM005,302,unknown,dqm,tol2
membrane tandem mSG (ef1a:2xLynk:tdmStayGold),4/17/25,casper,F2,pDQM005,301,unknown,dqm,tol2
membrane tandem Halo (ef1a:2xLynk:tdHalo),4/29/25,casper,F2,pswin01,is01,unknown,dqm,tol2
membrane tandem mChilada (ef1a:2xLynk:tdmChilada),8/26/25,casper,F2,pDQM082,315,unknown,dqm,tol2
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),11/12/24,casper,F2,pDQM005,301,unknown,,from imaging worksheet
ef1a:2xLynk:tdmSG(J) (F2 of allele 302),11/25/24,casper,F2,pDQM005,302,unknown,,from imaging worksheet
Abe (F2 of allele 309),10/1/24,casper,F2,pDQM034,309,unknown,,from imaging worksheet
Ben (F2 of allele 310),10/1/24,casper,F2,pDQM034,310,unknown,,from imaging worksheet
