tank_code,fish_code,status,location,volume_l,role,tank_notes,import_batch_id
TANK-01MOFPXQ-01,FSH-01MOFPXQ,active,,3.0,stock,,seedkit_2025-11-15
TANK-025CYBC9-01,FSH-025CYBC9,active,,3.0,stock,,seedkit_2025-11-15
TANK-02YEWE3A-01,FSH-02YEWE3A,active,,3.0,stock,,seedkit_2025-11-15
TANK-03LO40CH-01,FSH-03LO40CH,active,,3.0,stock,,seedkit_2025-11-15
TANK-0L2H9WIY-01,FSH-0L2H9WIY,active,,3.0,stock,,seedkit_2025-11-15
TANK-0RPKJRMK-01,FSH-0RPKJRMK,active,,3.0,stock,,seedkit_2025-11-15
TANK-0TIC6Z05-01,FSH-0TIC6Z05,active,,3.0,stock,,seedkit_2025-11-15
TANK-0Y2DXG51-01,FSH-0Y2DXG51,active,,3.0,stock,,seedkit_2025-11-15
TANK-133YFV3C-01,FSH-133YFV3C,active,,3.0,stock,,seedkit_2025-11-15
TANK-1BT8WMDK-01,FSH-1BT8WMDK,active,,3.0,stock,,seedkit_2025-11-15
TANK-1KSGXC1T-01,FSH-1KSGXC1T,active,,3.0,stock,,seedkit_2025-11-15
TANK-1KUPKGZN-01,FSH-1KUPKGZN,active,,3.0,stock,,seedkit_2025-11-15
TANK-25SDATJV-01,FSH-25SDATJV,active,,3.0,stock,,seedkit_2025-11-15
TANK-2BE75VZN-01,FSH-2BE75VZN,active,,3.0,stock,,seedkit_2025-11-15
TANK-2MOXNST9-01,FSH-2MOXNST9,active,,3.0,stock,,seedkit_2025-11-15
TANK-2SR38TBR-01,FSH-2SR38TBR,active,,3.0,stock,,seedkit_2025-11-15
TANK-3BRU156C-01,FSH-3BRU156C,active,,3.0,stock,,seedkit_2025-11-15
TANK-3JO545WD-01,FSH-3JO545WD,active,,3.0,stock,,seedkit_2025-11-15
TANK-3L5ICI6Q-01,FSH-3L5ICI6Q,active,,3.0,stock,,seedkit_2025-11-15
TANK-3SYXWVHH-01,FSH-3SYXWVHH,active,,3.0,stock,,seedkit_2025-11-15
TANK-3WHWDSFG-01,FSH-3WHWDSFG,active,,3.0,stock,,seedkit_2025-11-15
TANK-3ZBF2EJT-01,FSH-3ZBF2EJT,active,,3.0,stock,,seedkit_2025-11-15
TANK-40Q34V18-01,FSH-40Q34V18,active,,3.0,stock,,seedkit_2025-11-15
TANK-42NZS07P-01,FSH-42NZS07P,active,,3.0,stock,,seedkit_2025-11-15
TANK-43GDWL6X-01,FSH-43GDWL6X,active,,3.0,stock,,seedkit_2025-11-15
TANK-44IAX4R7-01,FSH-44IAX4R7,active,,3.0,stock,,seedkit_2025-11-15
TANK-4AKK1MV8-01,FSH-4AKK1MV8,active,,3.0,stock,,seedkit_2025-11-15
TANK-4CHCUKVS-01,FSH-4CHCUKVS,active,,3.0,stock,,seedkit_2025-11-15
TANK-4LZDW7FK-01,FSH-4LZDW7FK,active,,3.0,stock,,seedkit_2025-11-15
TANK-4SH8CVX1-01,FSH-4SH8CVX1,active,,3.0,stock,,seedkit_2025-11-15
TANK-5BAMZ5CQ-01,FSH-5BAMZ5CQ,active,,3.0,stock,,seedkit_2025-11-15
TANK-5J8XY8NF-01,FSH-5J8XY8NF,active,,3.0,stock,,seedkit_2025-11-15
TANK-5Z7KV8DM-01,FSH-5Z7KV8DM,active,,3.0,stock,,seedkit_2025-11-15
TANK-609SY2J8-01,FSH-609SY2J8,active,,3.0,stock,,seedkit_2025-11-15
TANK-62LPYFH9-01,FSH-62LPYFH9,active,,3.0,stock,,seedkit_2025-11-15
TANK-64MO6C8M-01,FSH-64MO6C8M,active,,3.0,stock,,seedkit_2025-11-15
TANK-6K50T42C-01,FSH-6K50T42C,active,,3.0,stock,,seedkit_2025-11-15
TANK-6KJFP5DK-01,FSH-6KJFP5DK,active,,3.0,stock,,seedkit_2025-11-15
TANK-6M3FE6F4-01,FSH-6M3FE6F4,active,,3.0,stock,,seedkit_2025-11-15
TANK-6M4P1P4R-01,FSH-6M4P1P4R,active,,3.0,stock,,seedkit_2025-11-15
TANK-6OF6UL7M-01,FSH-6OF6UL7M,active,,3.0,stock,,seedkit_2025-11-15
TANK-7ETTZI0J-01,FSH-7ETTZI0J,active,,3.0,stock,,seedkit_2025-11-15
TANK-7LLE7TDW-01,FSH-7LLE7TDW,active,,3.0,stock,,seedkit_2025-11-15
TANK-7M6XALB1-01,FSH-7M6XALB1,active,,3.0,stock,,seedkit_2025-11-15
TANK-7N3EWDO1-01,FSH-7N3EWDO1,active,,3.0,stock,,seedkit_2025-11-15
TANK-7N57FKMK-01,FSH-7N57FKMK,active,,3.0,stock,,seedkit_2025-11-15
TANK-7S9IWN4T-01,FSH-7S9IWN4T,active,,3.0,stock,,seedkit_2025-11-15
TANK-7Y0OYWNF-01,FSH-7Y0OYWNF,active,,3.0,stock,,seedkit_2025-11-15
TANK-7ZD74LXA-01,FSH-7ZD74LXA,active,,3.0,stock,,seedkit_2025-11-15
TANK-80KC4TGM-01,FSH-80KC4TGM,active,,3.0,stock,,seedkit_2025-11-15
TANK-84Q968CQ-01,FSH-84Q968CQ,active,,3.0,stock,,seedkit_2025-11-15
TANK-8F88XNSR-01,FSH-8F88XNSR,active,,3.0,stock,,seedkit_2025-11-15
TANK-8JNZNQ66-01,FSH-8JNZNQ66,active,,3.0,stock,,seedkit_2025-11-15
TANK-8OU45679-01,FSH-8OU45679,active,,3.0,stock,,seedkit_2025-11-15
TANK-8SAGC60H-01,FSH-8SAGC60H,active,,3.0,stock,,seedkit_2025-11-15
TANK-8SERQ8WH-01,FSH-8SERQ8WH,active,,3.0,stock,,seedkit_2025-11-15
TANK-8T43YAEM-01,FSH-8T43YAEM,active,,3.0,stock,,seedkit_2025-11-15
TANK-914U2FHX-01,FSH-914U2FHX,active,,3.0,stock,,seedkit_2025-11-15
TANK-93PPRV7J-01,FSH-93PPRV7J,active,,3.0,stock,,seedkit_2025-11-15
TANK-97SSN0SK-01,FSH-97SSN0SK,active,,3.0,stock,,seedkit_2025-11-15
TANK-98K74NIL-01,FSH-98K74NIL,active,,3.0,stock,,seedkit_2025-11-15
TANK-9ACRAFRR-01,FSH-9ACRAFRR,active,,3.0,stock,,seedkit_2025-11-15
TANK-9LZ73YX6-01,FSH-9LZ73YX6,active,,3.0,stock,,seedkit_2025-11-15
TANK-9N5DKTVQ-01,FSH-9N5DKTVQ,active,,3.0,stock,,seedkit_2025-11-15
TANK-9OS2SKSE-01,FSH-9OS2SKSE,active,,3.0,stock,,seedkit_2025-11-15
TANK-9Q28NS9Q-01,FSH-9Q28NS9Q,active,,3.0,stock,,seedkit_2025-11-15
TANK-9WQZZAJT-01,FSH-9WQZZAJT,active,,3.0,stock,,seedkit_2025-11-15
TANK-9X5NSKAI-01,FSH-9X5NSKAI,active,,3.0,stock,,seedkit_2025-11-15
TANK-9XW9WKP0-01,FSH-9XW9WKP0,active,,3.0,stock,,seedkit_2025-11-15
TANK-A3Q5VE8S-01,FSH-A3Q5VE8S,active,,3.0,stock,,seedkit_2025-11-15
TANK-A4EX1LAF-01,FSH-A4EX1LAF,active,,3.0,stock,,seedkit_2025-11-15
TANK-A6IXUJJG-01,FSH-A6IXUJJG,active,,3.0,stock,,seedkit_2025-11-15
TANK-A8IJCP06-01,FSH-A8IJCP06,active,,3.0,stock,,seedkit_2025-11-15
TANK-ABACN297-01,FSH-ABACN297,active,,3.0,stock,,seedkit_2025-11-15
TANK-ACG83IWZ-01,FSH-ACG83IWZ,active,,3.0,stock,,seedkit_2025-11-15
TANK-ACQQV5YW-01,FSH-ACQQV5YW,active,,3.0,stock,,seedkit_2025-11-15
TANK-AH0RMYE5-01,FSH-AH0RMYE5,active,,3.0,stock,,seedkit_2025-11-15
TANK-AK7TCOXH-01,FSH-AK7TCOXH,active,,3.0,stock,,seedkit_2025-11-15
TANK-AUFKY7AF-01,FSH-AUFKY7AF,active,,3.0,stock,,seedkit_2025-11-15
TANK-AVPG324S-01,FSH-AVPG324S,active,,3.0,stock,,seedkit_2025-11-15
TANK-AVVGVYKG-01,FSH-AVVGVYKG,active,,3.0,stock,,seedkit_2025-11-15
TANK-AY4PLO35-01,FSH-AY4PLO35,active,,3.0,stock,,seedkit_2025-11-15
TANK-BAHRCK1Z-01,FSH-BAHRCK1Z,active,,3.0,stock,,seedkit_2025-11-15
TANK-BB9YSXUE-01,FSH-BB9YSXUE,active,,3.0,stock,,seedkit_2025-11-15
TANK-BDVERS7C-01,FSH-BDVERS7C,active,,3.0,stock,,seedkit_2025-11-15
TANK-BLLO870I-01,FSH-BLLO870I,active,,3.0,stock,,seedkit_2025-11-15
TANK-BOD3LP0Q-01,FSH-BOD3LP0Q,active,,3.0,stock,,seedkit_2025-11-15
TANK-C036J8V3-01,FSH-C036J8V3,active,,3.0,stock,,seedkit_2025-11-15
TANK-C96F09YR-01,FSH-C96F09YR,active,,3.0,stock,,seedkit_2025-11-15
TANK-CAN6B5SJ-01,FSH-CAN6B5SJ,active,,3.0,stock,,seedkit_2025-11-15
TANK-CES01IY9-01,FSH-CES01IY9,active,,3.0,stock,,seedkit_2025-11-15
TANK-CMP9A25Z-01,FSH-CMP9A25Z,active,,3.0,stock,,seedkit_2025-11-15
TANK-CP9T47XG-01,FSH-CP9T47XG,active,,3.0,stock,,seedkit_2025-11-15
TANK-CVXJSKDY-01,FSH-CVXJSKDY,active,,3.0,stock,,seedkit_2025-11-15
TANK-CYTYXMY8-01,FSH-CYTYXMY8,active,,3.0,stock,,seedkit_2025-11-15
TANK-DBQJ537N-01,FSH-DBQJ537N,active,,3.0,stock,,seedkit_2025-11-15
