treatment_code,treatment_name,mix_code,ingredient_type,ingredient_code,concentration
T-LEGACY-7e5d360a,Legacy v9 mix T-LEGACY-7e5d360a,M1,plasmid,mgco-1,
T-LEGACY-41411ed8,Legacy v9 mix T-LEGACY-41411ed8,M1,plasmid,mgco-28,
T-LEGACY-a6491de7,Legacy v9 mix T-LEGACY-a6491de7,M1,plasmid,mgco-35,
T-LEGACY-a6491de7,Legacy v9 mix T-LEGACY-a6491de7,M1,rna,mgco-40,
T-LEGACY-a6491de7,Legacy v9 mix T-LEGACY-a6491de7,M1,dye,JF-635,
T-LEGACY-85e02171,Legacy v9 mix T-LEGACY-85e02171,M1,plasmid,mgco-49,
T-LEGACY-49198c0f,Legacy v9 mix T-LEGACY-49198c0f,M1,plasmid,mgco-50,
T-LEGACY-49198c0f,Legacy v9 mix T-LEGACY-49198c0f,M1,plasmid,pdqm-147,
T-LEGACY-0a74f314,Legacy v9 mix T-LEGACY-0a74f314,M1,plasmid,mgco-52,
T-LEGACY-0a74f314,Legacy v9 mix T-LEGACY-0a74f314,M1,plasmid,pdqm-147,
T-LEGACY-dcfe02d7,Legacy v9 mix T-LEGACY-dcfe02d7,M1,plasmid,mgco-54,
T-LEGACY-dcfe02d7,Legacy v9 mix T-LEGACY-dcfe02d7,M1,plasmid,pdqm-147,
T-LEGACY-ceed92b3,Legacy v9 mix T-LEGACY-ceed92b3,M1,plasmid,pdqm-140,
T-LEGACY-ea901da2,Legacy v9 mix T-LEGACY-ea901da2,M1,rna,hc-9,
T-LEGACY-8a737124,Legacy v9 mix T-LEGACY-8a737124,M1,rna,mgco-1,
T-LEGACY-3e6d241a,Legacy v9 mix T-LEGACY-3e6d241a,M1,rna,mgco-23,
T-LEGACY-28f3c926,Legacy v9 mix T-LEGACY-28f3c926,M1,rna,mgco-4,
T-LEGACY-1e094db9,Legacy v9 mix T-LEGACY-1e094db9,M1,rna,mgco-4,
T-LEGACY-1e094db9,Legacy v9 mix T-LEGACY-1e094db9,M1,dye,JF-635,
T-LEGACY-16837cbf,Legacy v9 mix T-LEGACY-16837cbf,M1,rna,pdqm-104,
T-LEGACY-16837cbf,Legacy v9 mix T-LEGACY-16837cbf,M1,rna,pdqm-112,
T-LEGACY-16837cbf,Legacy v9 mix T-LEGACY-16837cbf,M1,rna,pdqm-47,
T-LEGACY-279fcf09,Legacy v9 mix T-LEGACY-279fcf09,M1,rna,pdqm-112,
T-LEGACY-279fcf09,Legacy v9 mix T-LEGACY-279fcf09,M1,rna,pdqm-47,
T-LEGACY-e6afb2de,Legacy v9 mix T-LEGACY-e6afb2de,M1,rna,pdqm-112,
T-LEGACY-8290f1c4,Legacy v9 mix T-LEGACY-8290f1c4,M1,rna,pdqm-117,
T-LEGACY-e3cb175f,Legacy v9 mix T-LEGACY-e3cb175f,M1,rna,pdqm-37,
