genotype_code,transgene_base_code,allele_nickname,zygosity
GT_STD_MGCO_35_336,MGCO-35,336,
GT_STD_pDQM005_301,pDQM005,301,
GT_STD_pDQM005_302,pDQM005,302,
GT_STD_pDQM005_303,pDQM005,303,
GT_STD_pDQM005_304,pDQM005,304,
GT_STD_pDQM005_305,pDQM005,305,
GT_STD_pDQM005_306,pDQM005,306,
GT_STD_pDQM005_308,pDQM005,308,
GT_STD_pDQM034_309,pDQM034,309,
GT_STD_pDQM034_310,pDQM034,310,
GT_STD_pDQM034_317,pDQM034,317,
GT_STD_pDQM036_318,pDQM036,318,
GT_STD_pDQM036_319,pDQM036,319,
GT_STD_pDQM059_316,pDQM059,316,
GT_STD_pDQM059_320,pDQM059,320,
GT_STD_pDQM059_321,pDQM059,321,
GT_STD_pDQM063_311,pDQM063,311,
GT_STD_pDQM063_312,pDQM063,312,
GT_STD_pDQM063_313,pDQM063,313,
GT_STD_pDQM063_314,pDQM063,314,
GT_STD_pDQM065_338,pDQM065,338,
GT_STD_pDQM082_315,pDQM082,315,
GT_STD_pDQM094_339,pDQM094,339,
GT_STD_pDQM112_322,pDQM112,322,
GT_STD_pDQM112_323,pDQM112,323,
GT_STD_pDQM133_324,pDQM133,324,
GT_STD_pDQM136_325,pDQM136,325,
GT_STD_pDQM136_327,pDQM136,327,
GT_STD_pDQM137_329,pDQM137,329,
GT_STD_pDQM137_330,pDQM137,330,
GT_STD_pDQM137_331,pDQM137,331,
GT_STD_pDQM137_332,pDQM137,332,
GT_STD_pDQM137_333,pDQM137,333,
GT_STD_pDQM137_337,pDQM137,337,
GT_STD_pDQM151_340,pDQM151,340,
GT_STD_pDQM151_341,pDQM151,341,
GT_STD_pJWL001_343,pJWL001,343,
GT_STD_pMNM002_342,pMNM002,342,
GT_STD_swin01_swinborne,swin01,swinborne,
