line_nickname,genetic_background,instance_stage,description,transgene_base_code,allele_nickname,zygosity,birthday,Stage 
pDQM155 tol2-N,casper,F1,,pDQM155,347,,9/12/25,Nursery
MGCO 28 tol2-N,casper,F1,,MGCO28,358,,8/20/25,Nursery
MNM002 male 1 F1 (342),casper,F1,,pMNM002,342,,10/20/25,Nursery
pDQM155 male 1 (347),casper,F1,,pDQM155,347,,11/7/25,Nursery
MGCO 35 tol2-N,casper,F1,,MGCO35,336,,10/21/25,Nursery
pDQM155 male 2 (348),casper,F1,,pDQM155,348,,11/7/25,Nursery
pDQM005(301) inj pDQM133 male 1,casper,F1,,pDQM133,324,,9/5/25,Nursery
pDQM005(301) inj pDQM133 male 1,casper,F1,,pDQM133,324,,9/5/25,Nursery
pDQM136 ix,casper,F1,,pDQM136,327,,11/13/25,Nursery
pDQM082 male F1,casper,F1,,pDQM082 ,315,,8/25/25,Nursery
pDQM137 male F1,casper,F1,,pDQM137,330,,9/2/25,Nursery
pDQM136 male 2 (327),casper,F1,,pDQM136,327,,8/26/25,Nursery
pDQM082 F1,casper,F1,,pDQM082 ,328,,8/25/25,Nursery
pDQM137 (332),casper,F1,,pDQM137,332,,8/25/25,Nursery
pDQM133 female 3 (332),casper,F1,,pDQM133,332,,9/24/25,Nursery
MGCO 28 tol2-N,casper,F1,,MGCO 28,332,,9/24/25,Nursery
pDQM082 male 1,casper,F1,,pDQM082,315,,9/24/25,Nursery
pDQM151 male 1 ,casper,F1,,pDQM151,341,,10/21/25,Nursery
pDQM151 male 3,casper,F1,,pDQM151,340,,10/21/25,Nursery
Piglet 24b pJWL001 female 1 ,Piglet24b,F1,,pJWL001,360,,10/28/25,Nursery
pDQM136 F1,casper,F1,,pDQM136,325,,10/1/25,Nursery
pDQM082 female 1 ,casper,F1,,pDQM082 ,328,,9/26/25,Nursery
pDQM082 female 2 ,casper,F1,,pDQM082,328,,9/26/25,Nursery
MGCO 27 tol2-N,casper,F1,,MGCO27,357,,9/16/25,Nursery
MGCO 28 tol2-N,casper,F1,,MGCO28,358,,9/15/25,Nursery
pDQM155 tol2-N,casper,F1,,pDQM155,348,,9/15/25,Nursery
pDQM151 tol2-N,casper,F1,,pDQM151,341,,9/15/25,Nursery
pDQM137 male 4,casper,F1,,pDQM137,331,,9/2/25,System
pDQM136 male 11 (++),casper,F1,,pDQM136,325,,8/19/25,System
pDQM136 (327),casper,F1,,pDQM136,327,,9/4/25,System
pDQM137 male 4 ,casper,F1,,pDQM137,331,,8/25/25,System
Piglet 14a,Piglet14a ,F1,,,,,8/26/25,System
pDQM136 (327),casper,F1,,pDQM136,327,,8/28/25,System
Piglet14a,Piglet14a,F1,,,,,1/8/25,System
Mem:tdm:Halo,casper,F1,,pSWIN01,299,,8/29/25,System
Mem:tdm:Halo,casper,F1,,pSWIN01,299,,4/29/25,System
pDQM065 male 1 ,casper,F1,,pDQM065,338,,7/23/25,Screening
Piglet 24b,Piglet24b,F1,,,,,8/28/25,System
pDQM094 male 3 (339),casper,F1,,pDQM094,339,,8/22/25,System
pDQM137 male 2 (329),casper,F1,,pDQM137,329,,8/25/25,System
pDQM137 female 2 (333),casper,F1,,pDQM137,333,,8/26/25,System
pDQM065 male 1 (338),casper,F1,,pDQM065,338,,8/22/25,System
Skittles 4 FP male 1 (319),casper,F1,,pDQM036,319,,4/7/25,System
Mem:tdm:Halo bright,casper,F1,,pSWIN01,299,,8/10/25,System
Mem:tdm:Halo ,casper,F1,,pSWIN01,299,,8/18/25,System
H2B:Halo x pDQM005(301),casper,F1,,pDQM005,301,,8/18/25,System
Skittles 5FP male 11 ,casper,F1,,pDQM034,310,,2/26/25,System
Skittles 4 FP male 1 (319),casper,F1,,pDQM036,319,,2/26/25,System
Skittles 4 FP male 1 (319),casper,F1,,pDQM036,319,,2/26/25,System
Skittles 5FP male 5(Abe) female 11 (Ben),casper,F1,,pDQM034,311,,2/11/25,System
Skittles 5FP male k (314),casper,F1,,pDQM063,314,,3/12/25,System
Skittles 5FP  female 1(312),casper,F1,,pDQM034,312,,3/19/25,System
Skittles 5FP male k (314),casper,F1,,pDQM063,314,,3/12/25,System
casper,casper,F1,,,,,8/27/24,System
pDQM137 iSce-1  (333),casper,F1,,pDQM137,333,,9/2/25,System
Mem:tdm:Halo,casper,F1,,pSWIN01,299,,8/13/25,System
Mem:tdm:Halo,casper,F1,,pSWIN01,299,,4/29/25,System
pDQM082,casper,F1,,pDQM082,315,,4/29/25,System
pDQM094 female 1 (326),casper,F1,,pDQM094,326,,4/22/25,System
pDQM082 female 4 (328),Casper/ AB,F1,,pDQM082,328,,7/29/25,System
pDQM082 female and male AB/hets,Casper/ AB,F1,,pDQM082,315,,4/22/24,System
pDQM082 AB/hets,Casper/ AB,F1,,pDQM082,325,,4/22/25,System
pDQM082 AB/hets (dim),Casper/ AB,F1,,pDQM082,325,,4/22/25,System
pDQM005 male 11 (302),casper,F1,,pDQM005,302,,4/17/25,System
pDQM005 male 11 (302),casper,F1,,pDQM005,302,,4/17/25,System
pDQM005(301),casper,F1,,pDQM005,301,,11/2/24,System
pDQM005(301),casper,F1,,pDQM005,301,,11/2/24,System
pDQM005(301),casper,F1,,pDQM005,301,,11/2/24,System
casper,casper,F1,,,,,8/27/25,System
casper,casper,F1,,,,,8/27/25,System
casper,casper,F1,,,,,8/27/25,System
casper,casper,F1,,,,,8/27/25,System
casper,casper,F1,,,,,8/27/25,System
casper,casper,F1,,,,,8/27/25,System
pDQM082 F2 male ,casper,F2,,pDQM082 ,315,,10/22/25,Nursery
pDQM082 AB/Csp,Casper/ AB,F2,,pDQM082,328,,9/23/25,Nursery
pDQM005(301),casper,F2,,pDQM005,301,,4/17/25,System
pDQM005(301),casper,F2,,pDQM005,301,,4/17/25,System
pDQM005(301),casper,F2,,pDQM005,301,,4/17/25,System
casper,casper,F2,,,,,7/29/25,System
Casper,casper,F3,,,,,11/7/25,Nursery
Casper,casper,F3,,,,,11/7/25,Nursery
Casper,casper,F3,,,,,9/5/25,Nursery
Casper,casper,F3,,,,,9/5/25,Nursery
Casper,casper,F3,,,,,8/25/25,Nursery
casper,casper,F3,,,,,11/12/25,Nursery
casper,casper,F3,,,,,9/9/25,Nursery
MGCO 27 tol2-N,casper,P0,,MGCO27,357,,7/23/25,System
pDQM137 male 4 weak founder ,casper,P0,,pDQM137,331,,4/22/25,System
pDQM154 female ,casper,P0,,pDQM154,352,,8/19/25,System
pDQM155 male 2 (348),casper,P0,,pDQM155,348,,8/10/25,System
pDQM155 male 1 (347),casper,P0,,pDQM155,347,,8/10/25,System
pDQM133 male 3 ,casper,P0,,pDQM133,324,,7/10/25,System
pDQM155 female 1 ,casper,P0,,pDQM155,346,,8/10/25,System
pDQM137 male 1 founder ,casper,P0,,pDQM137,330,,4/22/25,System
pDQM137 male,casper,P0,,pDQM137,331,,6/22/25,System
pDQM137 female 24,casper,P0,,pDQM137,333,,4/30/25,System
Skittles 3.0 male ,casper,P0,,pDQM036,318,,10/29/24,System
Skittles 5FP,casper,P0,,pDQM034,359,,10/1/24,System
Skittles 5FP  female 1,casper,P0,,pDQM034,358,,11/20/25,System
Skittles 2.0 male #5 (309),casper,P0,,pDQM034,309,,9/16/24,System
Skittles 4FP ,casper,P0,,pDQM036,316,,9/17/24,System
Skittles 5FP female 24 (311),casper,P0,,pDQM034,311,,11/25/24,System
Skittles 5FP female 3,casper,P0,,pDQM034,312,,11/20/24,System
Skittles 5FP founder 11,casper,P0,,pDQM034,310,,10/9/24,System
Skittles 4 FP male 1 (319),casper,P0,,pDQM036,319,,1/7/25,System
Skittles 5FP male 2 (317),casper,P0,,pDQM034,317,,11/20/25,System
Skittles 5FP male k (314),casper,P0,,pDQM063,314,,11/20/25,System
pDQM151 tol2-N male 3 (341),casper,P0,,pDQM151,341,,8/10/25,System
pDQM151 tol2-N male 1 (340),casper,P0,,pDQM151,340,,8/10/25,System
Piglet24b JWL001 male 2 phiC-N,Piglet24b,P0,,pJWL001,343,,7/31/25,System
Skittles 4 FP male 14 (318),casper,P0,,pDQM036,318,,3/4/25,System
Skittles 4 FP exorh male 3 (321),casper,P0,,pDQM059,321,,2/17/25,System
Skittles 5FP  exorh:GFP male c (313),casper,P0,,pDQM063,313,,3/19/25,System
Skittles 4 FP exorh male 6 (320),casper,P0,,pDQM059,320,,3/19/25,System
"Skittles 4 FP exorh male 7 (Jim,316)",casper,P0,,pDQM059,316,,2/26/25,System
pDQM094 female 1 (326),casper,P0,,pDQM094,326,,1/7/25,System
pDQM137 female (332),casper,P0,,pDQM137,332,,4/22/25,System
MGCO 35 male 1 (336) tol2-N,casper,P0,,MGCO35,336,,8/18/25,System
MGCO 28 male (358) tol2-N,casper,P0,,MGCO28,358,,7/23/25,System
pDQM132 male founder ,casper,P0,,pDQM132,361,,4/21/25,System
pDQM094 male 4,casper,P0,,pDQM094,339,,1/7/25,System
pMNM002 tol2-N founder (342),casper,P0,,pMNM002,342,,8/5/25,System
pDQM137 iSce-1 female founder (333),casper,P0,,pDQM137,333,,4/22/25,System
Mem:tdm:Halo,casper,P0,,pSWIN01,299,,3/20/24,System
Piglet24b pDQM079 founder,Piglet24b,P0,,pDQM079,362,,12/6/25,System
pDQM005 male 23 ,casper,P0,,pDQM005,304,,11/25/24,System
pDQM082 male 1 female 4,casper,P0,,pDQM082,315,,12/20/24,System
pDQM133 male founder (349),casper,P0,,pDQM133,349,,4/18/25,System
pDQM136 male 1 (325),casper,P0,,pDQM136,325,,4/29/25,System
pDQM133 female (332),casper,P0,,pDQM133,332,,4/18/25,System
pDQM136 male 2 (327),casper,P0,,pDQM136,327,,4/29/25,System
pDQM005 male 11 (302),casper,P0,,pDQM005,302,,8/16/24,System
pDQM133 female (344),casper,P0,,pDQM133,344,,4/18/25,System
pDQM133 founder (350),casper,P0,,pDQM133,345,,7/10/25,System
