line_nickname,genetic_background,instance_stage,description,treatment_basecode,transgene_basecode,allele_nickname,zygosity,birthday,Stage ,enzyme
Piglet14a pDQM156 phiC,Piglet14a,F0,,pDQM156,,,,10/16/25,Nursery,
MGCO 50 tol2-N,casper,F0,,MGCO50,,,,10/10/25,Nursery,
pDQM151 tol2-N,casper,F0,,pDQM151,,,,9/17/25,Nursery,
MGCO 32 tol2-N,casper,F0,,MGCO32,,,,9/17/25,Nursery,
pDQM154 tol2-N,casper,F0,,pDQM154,,,,9/17/25,Nursery,
Piglet14a pJWL001 phiC,Piglet14a,F0,,pJWL001,,,,9/18/25,Nursery,
MGCO36 tol2-N,casper,F0,,MGCO36,,,,9/18/25,Nursery,
MGCO38 tol2-N,casper,F0,,MGCO38,,,,9/18/25,Nursery,
pDQM164 meganuclease,casper,F0,,pDQM164,,,,10/3/25,Nursery,
MGCO 62 tol2-N,casper,F0,,MGCO62,,,,11/14/25,Nursery,
MGCO 60,casper,F0,,MGCO60,,,,11/10/25,Nursery,
Piglet14a pDQM157,Piglet14a,F0,,pDQM157,,,,8/24/25,Nursery,
Piglet14a pDQM156 phiC,Piglet14a,F0,,pDQM156,,,,8/26/25,Nursery,
MGCO 52 tol2-N,casper,F0,,MGCO 52,,,,10/29/25,Nursery,
pDQM167 SB,casper,F0,,pDQM167,,,,11/14/25,Nursery,
MGCO 27 tol2-N,casper,F0,,MGCO 27,,,,8/26/25,Nursery,
MGCO 56 tol2-N,casper,F0,,MGCO 56,,,,10/24/25,Nursery,
Piglet24b pDQM157 phiC,Piglet24b,F0,,pDQM157,,,,10/2/25,Nursery,
MGCO 59 tol2-N,casper,F0,,MGCO 59,,,,11/10/25,Nursery,
MGCO 53 tol2-N,casper,F0,,MGCO 53,,,,10/22/25,Nursery,
MGCO 51 tol2-N,casper,F0,,MGCO51,,,,10/22/25,Nursery,
MGCO 57 tol2-N,casper,F0,,MGCO57,,,,11/12/25,Nursery,
pDQM160 tol2-N,casper,F0,,pDQM160,,,,9/9/25,Nursery,
MGCO 55 tol2-N,casper,F0,,MGCO55,,,,10/29/25,Nursery,
pDQM167 SB,casper,F0,,pDQM167,,,,11/10/25,Nursery,
MGCO 49 tol2-N,casper,F0,,MGCO49,,,,10/27/25,Nursery,
Piglet24b JWL001 phiC,Piglet24b ,F0,,pJWL001,,,,9/11/25,Nursery,
pDQM164 meganuclease,casper,F0,,pDQM164,,,,10/3/25,Nursery,
MGCO 52 tol2-N,casper,F0,,MGCO 52 ,,,,10/27/25,Nursery,
MGCO 58 tol2-N,casper,F0,,MGCO 58 ,,,,11/12/25,Nursery,
pDQM153 tol2-N,casper,F0,,pDQM153,,,,8/23/25,Nursery,
Piglet14a pJWL002 phiC,piglet14a,F0,,pJWL002,,,,9/4/25,Nursery,
MGCO 54 tol2-N,casper,F0,,MGCO54,,,,10/16/25,Nursery,
MGCO 37 tol2-N,casper,F0,,MGCO37,,,,9/23/25,Nursery,
Piglet14a pDQM157 phiC,Piglet14a,F0,,pDQM157,,,,10/16/25,Nursery,
Piglet14a pDQM156 phiC,Piglet14a,F0,,pDQM156,,,,9/25/25,Screening,
MGCO 36 tol2-N,casper,F0,,MGCO36,,,,8/18/25,Screening,
MGCO 31 tol2-N,casper,F0,,MGCO31,,,,7/29/25,Screening,
MGCO 35 tol2-N,casper,F0,,MGCO35,,,,7/29/25,Screening,
Piglet14a pJWL002 phiC,Piglet14a,F0,,pJWL002,,,,8/13/25,Screening,
Piglet14a pDQM156 phiC,Piglet14a,F0,,pDQM156,,,,8/26/25,Screening,
MGCO 31 tol2-N,casper,F0,,MGCO31,,,,8/13/25,Screening,
MGCO 34 tol2-N,casper,F0,,MGCO34,,,,8/28/25,Screening,
Piglet24b JWL001 phiC,Piglet24b,F0,,pJWL001,,,,8/12/25,Screening,
MGCO 32 tol2-N,casper,F0,,MGCO32,,,,8/27/25,Screening,
pMNM002 tol2,casper,F0,,pMNM002,,,,7/15/25,Screening,
MGCO 32 tol2-N,casper,F0,,MGCO32,,,,8/13/25,Screening,
Piglet24b sox10m:Chilada ,Piglet24b,F0,,pDQM041,,,,3/18/25,Screening,
Piglet14a sox10m:Chilada ,Piglet14a,F0,,pDQM041,,,,2/7/25,Screening,
pDQM132 ,casper,F0,,pDQM132,,,,7/10/25,Screening,
pDQM125,casper,F0,,pDQM125,,,,7/10/25,Screening,
pDQM112,casper,F0,,pDQM112,,,,5/27/25,Screening,
pDQM137 iSce-1,casper,F0,,pDQM137,,,,5/18/25,Screening,
Piglet14a pDQM157 phiC,piglet14a,F0,,pDQM157,,,,9/25/25,Screening,
Piglet24b pDQM157 phiC,piglet24b,F0,,pDQM157,,,,8/28/25,Screening,
Piglet14a pJWL001 phiC,piglet14a,F0,,pJWL001,,,,8/13/25,Screening,
pDQM154 tol2-N,casper,F0,,pDQM154,,,,8/19/25,Screening,
Piglet 24b pDQM156 phiC-NLS,piglet24b,F0,,pDQM156,,,,8/28/25,Screening,
Piglet24b pJWL001 phiC-N,Piglet24b,F0,,pJWL001,,,,8/25/25,Screening,
MGCO 28 tol2-N,casper,F0,,MGCO28,,,,8/22/25,Screening,
pDQM152 tol2-N,casper,F0,,pDQM152,,,,8/19/25,Screening,
Piglet24b JWL001 phiC-N,Piglet24b,F0,,pJWL001,,,,8/12/25,Screening,
Piglet24b JWL001 phiC-N,Piglet24b,F0,,pJWL001,,,,7/31/25,Screening,
MGCO 36 tol2-N,casper,F0,,MGCO36,,,,7/29/25,Screening,
pMNM002 tol2,casper,F0,,pMNM002,,,,8/5/25,Screening,
pDQM155 ,casper,F0,,pDQM155,,,,8/10/25,Screening,
piglet24b pDQM072,Piglet24b,F0,,pDQM072,,,,12/6/24,Screening,
pDQM095 tol2,casper,F0,,pDQM095,,,,1/7/25,Screening,
Piglet14a pDQM078,Piglet14a,F0,,pDQM078,,,,12/5/24,Screening,
Piglet14a pDQM076,Piglet14a,F0,,pDQM076,,,,12/5/24,Screening,
Piglet14a pDQM079,Piglet14a ,F0,,pDQM079,,,,12/5/24,Screening,
Skittles 4 FP exorh,casper,F0,,pDQM059,,,,2/17/25,Screening,
Piglet24b pDQM079,Piglet24b,F0,,pDQM079,,,,12/6/25,Screening,
Piglet24b pDQM076,Piglet24b ,F0,,pDQM076,,,,12/6/24,Screening,
Piglet24b pDQM131,Piglet24b,F0,,pDQM131,,,,4/23/25,Screening,
Piglet14a pDQM068,Piglet14a,F0,,pDQM068,,,,12/5/24,Screening,
pDQM076 tol2,casper,F0,,pDQM076,,,,1/7/25,Screening,
pDQM137 tol2 ,casper,F0,,pDQM137,,,,5/23/25,Screening,
Piglet24b JWL002 phic-N,Piglet24b,F0,,pJWL002,,,,8/12/25,Screening,
Piglet14a efla:mSG test ,Piglet14a,F0,,pDQM005,,,,2/1/25,System,
pDQM157 tol2,casper,F0,,pDQM137,,,,4/21/25,Screening,
MGCO 33 tol2-N,casper,F0,,MGCO33,,,,9/16/25,Nursery,
