rna_base_code,name,notes
HC-10,HC-10 4x-Cox8:mStayGold,
HC-2,HC-2 2:NLS-mScarlet3,
HC-9,HC-9 Lifeact:mStayGold,
MGCO-1,2xCox8A:mSG,other injected labels: MGCO01
MGCO-10,TGN:mSG,
MGCO-15,LAMP1:mSG,"other injected labels: LAMP1:mSG,, 2xLynk:mChilada"
MGCO-15; pDQM136,"LAMP1:mSG,, 2xLynk:mScarlet3-S2",
MGCO-19,mSG:alpha-tub,
MGCO-22,"Vimentin:Halo,, 2xLynk:mScarlet3-S2",
MGCO-23,Lifeact:mSG,
MGCO-24,"2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo","other injected labels: Lifeact:Halo,, 2xLynk:mSG"
MGCO-25,mSG:MYH10,
MGCO-28,MGCO28,
MGCO-35,"2xCox8A:mSG,, 2xLynk:mChilada",other injected labels: 2xCox8A:mScarlet3S2
MGCO-36,ef1a-extended:mScarlet3S2:sec61b,other injected labels: mScarlet3S2:sec61b
MGCO-4,mSG:sec61b,
MGCO-40,ef1a-extended:Halo:sec61b,
PDQM-104,2xLynk:mSG; mChilada:H2B,"other injected labels: mChilada:H2B (80 and 120 pg); mChilada:H2B (80 pg); phiC-NLS,, 2xLynk:mSG,, mChilada:H2B"
PDQM-105,2xLynk:mSG; mYH:H2B,other injected labels: mYH:H2B; mYH:H2B (80 and 120 pg); mYH:H2B (80 pg)
PDQM-117,mScarlet3-S2:H2B,
PDQM-136,"Vimentin:Halo,, 2xLynk:mScarlet3-S2",
PDQM-172,pDQM172 SP6-2x-cox8A-mSG,
PDQM-37,tdmChilada:PCNA,
PDQM-47,"2xLynk:mChilada,, 2xLynk:mSG","other injected labels: 2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo; 2xLynk:mSG; mChilada:H2B; 2xLynk:mSG; mYH:H2B; Lifeact:Halo,, 2xLynk:mSG; phiC,, 2xLynk:mSG; phiC-NLS,, 2xLynk:mSG,, mChilada:H2B"
PDQM-92,"2xCox8A:mSG,, 2xLynk:mChilada","other injected labels: 2xLynk:mChilada,, 2xLynk:mSG; 2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo; LAMP1:mSG,, 2xLynk:mChilada"
nan,JF635 3uM,"other injected labels: nan; phiC; phiC mRNA (120 pg); phiC-NLS; phiC-NLS mRNA (120 pg); phiC-NLS,, 2xLynk:mSG; phiC-NLS,, phiC; tol2 mRNA (40 pg)"
plasmid_base_code,injected_rna,
