treatment_code,source_system,plasmid_base_codes,plasmid_tokens_raw,rna_tokens_raw,protein_tokens_raw,dye_tokens_raw,unmapped_plasmid_tokens,unmapped_rna_tokens
IMG_TRT_001,imaging_backfill,pDQM105,,2xLynk:mSG; mChilada:H2B; mYH:H2B,,,,2xLynk:mSG; mChilada:H2B
IMG_TRT_002,imaging_backfill,"pDQM087,pDQM089,pDQM106",Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,,,tol2 mRNA (40 pg)
IMG_TRT_003,imaging_backfill,"pDQM087,pDQM089,pDQM104,pDQM105,pDQM106",Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),mChilada:H2B (80 pg); mYH:H2B (80 pg); tol2 mRNA (40 pg),,,,tol2 mRNA (40 pg)
IMG_TRT_004,imaging_backfill,"pDQM104,pDQM105",,mChilada:H2B (80 pg); mYH:H2B (80 pg),,,,
IMG_TRT_005,imaging_backfill,pDQM104,,mChilada:H2B (80 pg),,,,
IMG_TRT_006,imaging_backfill,pDQM105,,mYH:H2B (80 and 120 pg),,,,
IMG_TRT_007,imaging_backfill,"pDQM104,pDQM105",,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),,,,
IMG_TRT_008,imaging_backfill,,,JF635 3uM,,,,JF635 3uM
IMG_TRT_009,imaging_backfill,pDQM105,,mYH:H2B,,,,
IMG_TRT_010,imaging_backfill,,,2xLynk:mSG; phiC,,,,2xLynk:mSG; phiC
IMG_TRT_011,imaging_backfill,"pDQM087,pDQM117,pDQM120",ef1a:mTFP1 and ef1a:mBeRFP,mScarlet3-S2:H2B,,,,
IMG_TRT_012,imaging_backfill,,,phiC,,,,phiC
IMG_TRT_013,imaging_backfill,pDQM117,,mScarlet3-S2:H2B,,,,
IMG_TRT_014,imaging_backfill,,,phiC; phiC-NLS,,,,phiC; phiC-NLS
IMG_TRT_015,imaging_backfill,"MGCO-01,MGCO-15",,2xCox8A:mSG; 2xLynk:mChilada; LAMP1:mSG,,,,2xLynk:mChilada
