legacy_parent_name,transgene_base_code,allele_nickname,zygosity,confidence,notes
tandem mem:mStayGold,PDQM-5,301,,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),PDQM-5,302,,,
casper/rnf,nan,nan,,,
ef1a:2xLynk:tdmChilada (F1 of allele 315),PDQM-82,315,,,
tdmScarlet3S2 (F1 of allele 325),PDQM-136,325,,,
ef1a:2xLynk:tdm:mChilada,PDQM-82,315,,,
membrane mChilada,PDQM-82,315,,,
membrane Halo,Swinburne,Swinburne,,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),PDQM-5,301,,,
ef1a:H2B:Halo,Swinburne,Swinburne,,,
ef1a:2xLynk:tdm:mHalo,Swinburne,Swinburne,,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 302),PDQM-5,302,,,
csp/pIGLET 14a,nan,nan,,,
Dennis (F2 of allele 318),nan,381,,,
Jim (F2 of allele 316),nan,316,,,
Ben (F2 of allele 310),nan,310,,,
Ken (F2 of allele 320),nan,320,,,
Liam (F2 of allele 321),nan,321,,,
MGCO35 (F1 of allele 336),MGCO-35,336,,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 301),PDQM-5,301,,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),PDQM-34,310,,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),PDQM-34,310,,,
heatshock PhiC,PDQM-112,nan,,,
tdmScarlet3S2:H2B-tol2 (F1 of allele 324),PDQM-133,324,,,
memrane tdmScarlet3S2 (F1 of allele 325),PDQM-136,325,,,
from Swinburne lab - tank ID 344 (F1 of allele 45385),Swinburne,Swinburne,,,
ef1a:2xLynk:tdm:Halo,Swinburne,Swinburne,,,
tdmScarlet3S2 (F2 of allele 325),PDQM-136,325,,,
mem:tdmChilada,PDQM-82,315,,,
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),PDQM-136,325,,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 305),PDQM-5,305,,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 308),PDQM-5,308,,,
memrane tdmScarlet3S2 (F1 of allele 327),PDQM-136,327,,,
ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),PDQM-36,313,,,
Abe (F2 of allele 309),PDQM-34,309,,,
Isaac (F2 of allele 314),PDQM-64,314,,,
Chris (F1 of allele 317),PDQM-34,317,,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 304),PDQM-5,304,,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),PDQM-34,317,,,
tandem mem:mStayGold; tdmChilada:Histone,"pDQM005, pDQM104","301, n/a",,,
tandem mem:mStayGold; tdmChilada(MAGPV):Histone,"pDQM005, pDQM104","301, n/a",,,
