roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_marker_fluor_codes,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250428-plate1,20250428-plate1-slot1,1.0,20250428-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",tdmSG,,tdmSG,,tdmSG,tdmSG,,pDQM117,mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"mScarlet3S2,tdmSG",20250428-plate1,20250428-plate1-slot1,2.0,20250428-plate1-slot1-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,1.0,20250501-plate1-slot1-roi01
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,2.0,20250501-plate1-slot1-roi02
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,3.0,20250501-plate1-slot1-roi03
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,4.0,20250501-plate1-slot1-roi04
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,5.0,20250501-plate1-slot1-roi05
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,6.0,20250501-plate1-slot1-roi06
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,7.0,20250501-plate1-slot1-roi07
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,membrane Halo,membrane Halo,membrane Halo x membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",Halo,,,,,,pDQM140,,mGold2s,,mGold2s,,mGold2s,mGold2s,"Halo,mGold2s",20250501-plate1,20250501-plate1-slot1,8.0,20250501-plate1-slot1-roi08
