clutch_code,roi_code,plate_id_filled,slot_id_filled,date_born,parent_female,parent_male,roi_dir
LCL-0047,20250428-plate1-slot1-roi01,20250428-plate1,20250428-plate1-slot1,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail
LCL-0047,20250428-plate1-slot1-roi02,20250428-plate1,20250428-plate1-slot1,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine
LCL-0057,20250501-plate1-slot1-roi01,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1
LCL-0057,20250501-plate1-slot1-roi02,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test
LCL-0057,20250501-plate1-slot1-roi03,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1
LCL-0057,20250501-plate1-slot1-roi04,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1
LCL-0057,20250501-plate1-slot1-roi05,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2
LCL-0057,20250501-plate1-slot1-roi06,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1
LCL-0057,20250501-plate1-slot1-roi07,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2
LCL-0057,20250501-plate1-slot1-roi08,20250501-plate1,20250501-plate1-slot1,2025-04-29,membrane Halo,membrane Halo,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3
