clutch_code,parent_female,parent_male,date_born,roi_count,legacy_clutch_group
LCL-0001,Ben (F2 of allele 310),Abe (F2 of allele 309),2025-06-17,23,Ben (F2 of allele 310)|Abe (F2 of allele 309)|2025-06-17
LCL-0002,Ben (F2 of allele 310),Abe (F2 of allele 309),2025-06-24,17,Ben (F2 of allele 310)|Abe (F2 of allele 309)|2025-06-24
LCL-0003,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-05-20,5,Dennis (F2 of allele 318)|Abe (F2 of allele 309)|2025-05-20
LCL-0004,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-04,21,Dennis (F2 of allele 318)|Abe (F2 of allele 309)|2025-06-04
LCL-0005,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-11,10,Dennis (F2 of allele 318)|Abe (F2 of allele 309)|2025-06-11
LCL-0006,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-18,8,Dennis (F2 of allele 318)|Abe (F2 of allele 309)|2025-06-18
LCL-0007,Jim (F2 of allele 316),Ben (F2 of allele 310),2025-05-28,22,Jim (F2 of allele 316)|Ben (F2 of allele 310)|2025-05-28
LCL-0008,Jim (F2 of allele 316),Ben (F2 of allele 310),2025-06-05,23,Jim (F2 of allele 316)|Ben (F2 of allele 310)|2025-06-05
LCL-0009,Jim (F2 of allele 316),Dennis (F2 of allele 318),2025-06-12,12,Jim (F2 of allele 316)|Dennis (F2 of allele 318)|2025-06-12
LCL-0010,Ken (F2 of allele 320),Isaac (F2 of allele 314),2025-06-23,5,Ken (F2 of allele 320)|Isaac (F2 of allele 314)|2025-06-23
LCL-0011,Liam (F2 of allele 321),Chris (F1 of allele 317),2025-06-02,18,Liam (F2 of allele 321)|Chris (F1 of allele 317)|2025-06-02
LCL-0012,casper/rnf,casper/rnf,2025-10-16,3,casper/rnf|casper/rnf|2025-10-16
LCL-0013,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),2025-09-03,5,casper/rnf|ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325)|2025-09-03
LCL-0014,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-08-25,5,casper/rnf|ef1a:2xLynk:tdmChilada (F1 of allele 315)|2025-08-25
LCL-0015,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-08-27,14,casper/rnf|ef1a:2xLynk:tdmChilada (F1 of allele 315)|2025-08-27
