date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_slug,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,parent_female,parent_male,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,date_born,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,plate_slot_roi_id,all_fluor_organelles
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,Korra_Foundation/20250428_mem_histone,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,,DT,2025-04-27 00:00:00,2025-04-28,12:30:00,14:30:00,,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),20250428-plate1,20250428-plate1-slot1,1.0,20250428-plate1-slot1-roi01,pDQM005,"pDQM005:301,pDQM005:301|301",,pDQM117,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmSG,,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),membrane|histone,20250428-plate1-slot1-roi1,tdmSG(membrane)|mScarlet3S2(histone)
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,Korra_Foundation/20250428_mem_histone,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,,DT,2025-04-27 00:00:00,2025-04-28,12:30:00,14:30:00,,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),20250428-plate1,20250428-plate1-slot1,2.0,20250428-plate1-slot1-roi02,pDQM005,"pDQM005:301,pDQM005:301|301",,pDQM117,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301) x ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmSG,,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),membrane|histone,20250428-plate1-slot1-roi2,tdmSG(membrane)|mScarlet3S2(histone)
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,1.0,20250501-plate1-slot1-roi01,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi1,mGold2s
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,2.0,20250501-plate1-slot1-roi02,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi2,mGold2s
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,3.0,20250501-plate1-slot1-roi03,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi3,mGold2s
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,4.0,20250501-plate1-slot1-roi04,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi4,mGold2s
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,5.0,20250501-plate1-slot1-roi05,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi5,mGold2s
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,6.0,20250501-plate1-slot1-roi06,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi6,mGold2s
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,7.0,20250501-plate1-slot1-roi07,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi7,mGold2s
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,Korra_Foundation/20250429_mem_cytosol,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,20250501-plate1,20250501-plate1-slot1,8.0,20250501-plate1-slot1-roi08,Swinburne|pSWIN01,"Swinburne:Swinburne,Swinburne:Swinburne|is01",pDQM140,,,membrane Halo x membrane Halo,Halo,,mGold2s,,"Halo,mGold2s",,,,,mGold2s,,mGold2s,mGold2s,,20250501-plate1-slot1-roi8,mGold2s
