roi_dir,date_experiment,fish,roi_name,date_born,parent_female_final,parent_male_final,genotype_base_codes,genotype_allele_codes,genotype_pretty_final,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,20250428_mem_histone,fish1_72hpf,roi1_tail,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",ef1a:2xLynk:tdmSG(J) (F2 of allele 301) × ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",ef1a:2xLynk:tdmSG(J) (F2 of allele 301) × ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,2025-04-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,20250429_mem_cytosol,fish1_24hpf,roi1,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,20250429_mem_cytosol,fish1_24hpf,roi1_test,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,20250429_mem_cytosol,fish2_48hpf,roi1,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,2025-04-29,membrane Halo,membrane Halo,Swinburne,"Swinburne:Swinburne,Swinburne:Swinburne",membrane Halo × membrane Halo,Halo,,pDQM140,,mGold2s,,"Halo,mGold2s",ef1a:mGold2s,,,,2025-04-29,membrane Halo,membrane Halo,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf
