date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,run_key,mount_key,date_mount,date_mount_yyyymmdd,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
20250723_mem-halo_ER-mSG,fish3_48hpf,roi1_mb,roi1_mb,65,/clusterfs/vast/abcabc/Korra_Foundation/20250723_mem-halo_ER-mSG/fish3_48hpf/roi1_mb,korra,Korra_Foundation/20250723_mem-halo_ER-mSG,roi1_mb,2025-02-05,20250205.0,20250205-plate1,20250205-plate1-slot3,1,20250205-plate1-slot3-roi01
20250808_mem_organelle,fish1_24hpf_mem-mchilada_lyso-mSG,roi1,roi1,108,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1,aang,Aang_Foundation/20250808_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,1,20250404-plate1-slot1-roi01
20250808_mem_organelle,fish2_24hpf_mem-mchilada_lyso-mSG,roi1,roi1,300,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi1,aang,Aang_Foundation/20250808_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,2,20250404-plate1-slot1-roi02
20250808_mem_organelle,fish3_24hpf_mem-mchilada_mito-mSG,roi1,roi1,300,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi1,aang,Aang_Foundation/20250808_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,3,20250404-plate1-slot1-roi03
20250808_mem_organelle,fish4_24hpf_mem-mchilada_mito-mSG,roi1,roi1,300,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish4_24hpf_mem-mchilada_mito-mSG/roi1,aang,Aang_Foundation/20250808_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,4,20250404-plate1-slot1-roi04
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,5,20250404-plate1-slot1-roi05
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,6,20250404-plate1-slot1-roi06
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,7,20250404-plate1-slot1-roi07
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,Korra_Foundation/20250429_mem_cytosol,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,8,20250404-plate1-slot1-roi08
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,9,20250404-plate1-slot1-roi09
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,10,20250404-plate1-slot1-roi10
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,11,20250404-plate1-slot1-roi11
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,Korra_Foundation/20250513_skittles,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,12,20250404-plate1-slot1-roi12
