genotype_code,genotype_name,genetic_background,source_system,notes
GT_LEGACY_tandem_mem_mStayGold,tandem mem:mStayGold,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_302,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_casper_rnf,casper/rnf,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmChilada_F1_of_allele_315,ef1a:2xLynk:tdmChilada (F1 of allele 315),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_F1_of_allele_325,tdmScarlet3S2 (F1 of allele 325),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_mChilada,ef1a:2xLynk:tdm:mChilada,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_membrane_mChilada,membrane mChilada,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_membrane_Halo,membrane Halo,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F2_of_allele_301,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_H2B_Halo,ef1a:H2B:Halo,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_mHalo,ef1a:2xLynk:tdm:mHalo,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F2_of_allele_302,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_csp_pIGLET_14a,csp/pIGLET 14a,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Dennis_F2_of_allele_318,Dennis (F2 of allele 318),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Jim_F2_of_allele_316,Jim (F2 of allele 316),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Ben_F2_of_allele_310,Ben (F2 of allele 310),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Ken_F2_of_allele_320,Ken (F2 of allele 320),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Liam_F2_of_allele_321,Liam (F2 of allele 321),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_MGCO35_F1_of_allele_336,MGCO35 (F1 of allele 336),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_301,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_310,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_309,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_heatshock_PhiC,heatshock PhiC,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_H2B_tol2_F1_of_allele_324,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_memrane_tdmScarlet3S2_F1_of_allele_325,memrane tdmScarlet3S2 (F1 of allele 325),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_from_Swinburne_lab_tank_ID_344_F1_of_allele_45385,from Swinburne lab - tank ID 344 (F1 of allele 45385),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdm_Halo,ef1a:2xLynk:tdm:Halo,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_tdmScarlet3S2_F2_of_allele_325,tdmScarlet3S2 (F2 of allele 325),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_mem_tdmChilada,mem:tdmChilada,,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_extended_2xLynk_tdmScarlet3_S2_tol2_F1_of_allele_325,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_305,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_308,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_memrane_tdmScarlet3S2_F1_of_allele_327,memrane tdmScarlet3S2 (F1 of allele 327),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_exorh_GFP_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_313,ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Abe_F2_of_allele_309,Abe (F2 of allele 309),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Isaac_F2_of_allele_314,Isaac (F2 of allele 314),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_Chris_F1_of_allele_317,Chris (F1 of allele 317),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_2xLynk_tdmSG_J_F1_of_allele_304,ef1a:2xLynk:tdmSG(J) (F1 of allele 304),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
GT_LEGACY_ef1a_cryaa_mSc_mKate2_mCitrine_Electra2_mKOK_mTFP1_F1_of_allele_317,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),,legacy,from Unique_parent_names__mom_dad_combined__preview_.csv
