clutch_code,clutch_date,mount_id,mom_genotype_text,dad_genotype_text,mom_genotype_code,dad_genotype_code,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
LG_CLUTCH_20250131_nan,2025-01-31,nan,casper/rnf,casper/rnf,,,nan,2xLynk:mSG; mChilada:H2B,nan,nan,spinal cord + muscle,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,nan
LG_CLUTCH_20250131_nan,2025-01-31,nan,casper/rnf,casper/rnf,,,nan,2xLynk:mSG; mYH:H2B,nan,nan,spinal cord + muscle,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,nan
LG_CLUTCH_20250204_nan,2025-02-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mChilada:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,nan
LG_CLUTCH_20250204_nan,2025-02-04,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,nan
LG_CLUTCH_20250205_nan,2025-02-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,nan
LG_CLUTCH_20250205_nan,2025-02-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,nan
LG_CLUTCH_20250205_nan,2025-02-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,nan
LG_CLUTCH_20250205_nan,2025-02-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,nan
LG_CLUTCH_20250206_nan,2025-02-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,nan
LG_CLUTCH_20250206_nan,2025-02-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mYH:H2B (80 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250206_nan,2025-02-06,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mChilada:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,nan
LG_CLUTCH_20250206_nan,2025-02-06,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mChilada:H2B (80 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,nan
LG_CLUTCH_20250207_nan,2025-02-07,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),,,nan,mChilada:H2B (80 pg),nan,nan,continuous AO test,nan,nan
LG_CLUTCH_20250210_nan,2025-02-10,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250210_nan,2025-02-10,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250210_nan,2025-02-10,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250210_nan,2025-02-10,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250211_nan,2025-02-11,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,nan
LG_CLUTCH_20250211_nan,2025-02-11,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mChilada:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250211_nan,2025-02-11,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mChilada:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,nan
LG_CLUTCH_20250211_nan,2025-02-11,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,nan
LG_CLUTCH_20250211_nan,2025-02-11,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mChilada:H2B (80 and 120 pg),nan,nan,spinal cord + muscle + skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,nan
LG_CLUTCH_20250212_nan,2025-02-12,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,muscle,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,nan
LG_CLUTCH_20250212_nan,2025-02-12,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,tail (other regions bad quality due to nonideal fish orientation),U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,nan
LG_CLUTCH_20250212_nan,2025-02-12,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mChilada:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250213_nan,2025-02-13,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,muscle+ neuromast+skin,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,nan
LG_CLUTCH_20250213_nan,2025-02-13,nan,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B (80 and 120 pg),nan,nan,nan,nan,nan
LG_CLUTCH_20250213_nan,2025-02-13,nan,nan,nan,,,nan,mYH:H2B (80 and 120 pg),nan,nan,hindbrain,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish9_10_24hpf_mYH,nan
