genotype_code,transgene_base_code,allele_nickname,zygosity
GT_LEG_MGCO_35_336,MGCO-35,336,nan
GT_LEG_PDQM_112_nan,PDQM-112,nan,nan
GT_LEG_PDQM_133_324,PDQM-133,324,nan
GT_LEG_PDQM_136_325,PDQM-136,325,nan
GT_LEG_PDQM_136_325,PDQM-136,325,nan
GT_LEG_PDQM_136_325,PDQM-136,325,nan
GT_LEG_PDQM_136_325,PDQM-136,325,nan
GT_LEG_PDQM_136_327,PDQM-136,327,nan
GT_LEG_PDQM_34_309,PDQM-34,309,nan
GT_LEG_PDQM_34_310,PDQM-34,310,nan
GT_LEG_PDQM_34_310,PDQM-34,310,nan
GT_LEG_PDQM_34_310,PDQM-34,310,nan
GT_LEG_PDQM_34_317,PDQM-34,317,nan
GT_LEG_PDQM_34_317,PDQM-34,317,nan
GT_LEG_PDQM_36_318,PDQM-36,318,nan
GT_LEG_PDQM_36_318,PDQM-36,318,nan
GT_LEG_PDQM_59_316,PDQM-59,316,nan
GT_LEG_PDQM_59_320,PDQM-59,320,nan
GT_LEG_PDQM_59_321,PDQM-59,321,nan
GT_LEG_PDQM_5_301,PDQM-5,301,nan
GT_LEG_PDQM_5_301,PDQM-5,301,nan
GT_LEG_PDQM_5_301,PDQM-5,301,nan
GT_LEG_PDQM_5_302,PDQM-5,302,nan
GT_LEG_PDQM_5_302,PDQM-5,302,nan
GT_LEG_PDQM_5_304,PDQM-5,304,nan
GT_LEG_PDQM_5_305,PDQM-5,305,nan
GT_LEG_PDQM_5_308,PDQM-5,308,nan
GT_LEG_PDQM_64_314,PDQM-64,314,nan
GT_LEG_PDQM_82_315,PDQM-82,315,nan
GT_LEG_PDQM_82_315,PDQM-82,315,nan
GT_LEG_PDQM_82_315,PDQM-82,315,nan
GT_LEG_PDQM_82_315,PDQM-82,315,nan
GT_LEG_Swinburne_Swinburne,Swinburne,Swinburne,nan
GT_LEG_Swinburne_Swinburne,Swinburne,Swinburne,nan
GT_LEG_Swinburne_Swinburne,Swinburne,Swinburne,nan
GT_LEG_Swinburne_Swinburne,Swinburne,Swinburne,nan
GT_LEG_Swinburne_Swinburne,Swinburne,Swinburne,nan
GT_LEG_nan_nan,nan,nan,nan
GT_LEG_nan_nan,nan,nan,nan
"GT_LEG_pDQM005, pDQM104_301, n/a","pDQM005, pDQM104","301, n/a",nan
"GT_LEG_pDQM005, pDQM104_301, n/a","pDQM005, pDQM104","301, n/a",nan
GT_LEG_plasmid_base_code_allele,plasmid_base_code,allele,nan
