plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang,20251028_peroxi,20251028_peroxi_1,1,roi1_560_10ms,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_10ms,,nan
aang,20251028_peroxi,20251028_peroxi_2,2,roi1_560_76ms,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_76ms,,nan
aang,20251029_mem-histone,20251029_mem-histone_1,1,fish1_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish1_roi1,,nan
aang,20251029_mem-histone,20251029_mem-histone_2,2,fish3_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish3_roi1,,nan
aang,20251029_mem-histone,20251029_mem-histone_3,3,fish4_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish4_roi1,,nan
aang,20251029_mem-histone,20251029_mem-histone_4,4,fish5_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi1,,nan
aang,20251029_mem-histone,20251029_mem-histone_5,5,fish5_roi2,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi2,,nan
aang,20251029_mem-histone,20251029_mem-histone_6,6,fish5_roi3,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi3,,nan
aang,20251029_peroxi,20251029_peroxi_1,1,fish1_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish1_roi1,,nan
aang,20251029_peroxi,20251029_peroxi_2,2,fish3_roi1,/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish3_roi1,,nan
aang,er_roi1,er_roi1_1,1,er_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,,nan
aang,er_roi2,er_roi2_1,1,er_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,,nan
aang,er_roi3,er_roi3_1,1,er_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,,nan
aang,fish10_24hpf_roi1,fish10_24hpf_roi1_1,1,fish10_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi1,,nan
aang,fish10_24hpf_roi2,fish10_24hpf_roi2_1,1,fish10_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi2,,nan
aang,fish11_24hpf_roi1,fish11_24hpf_roi1_1,1,fish11_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi1,,nan
aang,fish11_24hpf_roi2,fish11_24hpf_roi2_1,1,fish11_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi2,,nan
aang,fish11_24hpf_roi3,fish11_24hpf_roi3_1,1,fish11_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,,nan
aang,fish12_24hpf_roi1,fish12_24hpf_roi1_1,1,fish12_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1,,nan
aang,fish12_24hpf_roi2,fish12_24hpf_roi2_1,1,fish12_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi2,,nan
aang,fish12_24hpf_roi3,fish12_24hpf_roi3_1,1,fish12_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi3,,nan
aang,fish12_24hpf_roi4,fish12_24hpf_roi4_1,1,fish12_24hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi4,,nan
aang,fish1_120hpf_roi1,fish1_120hpf_roi1_1,1,fish1_120hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish1_120hpf_roi1,,nan
aang,fish1_120hpf_roi2,fish1_120hpf_roi2_1,1,fish1_120hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251027_mem-histone/fish1_120hpf_roi2,,nan
aang,fish1_24hpf_mem-mchilada_lyso-mSG,fish1_24hpf_mem-mchilada_lyso-mSG_1,1,roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1,,nan
aang,fish1_24hpf_mem-mchilada_lyso-mSG,fish1_24hpf_mem-mchilada_lyso-mSG_2,2,roi1_1,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_1,,nan
aang,fish1_24hpf_mem-mchilada_lyso-mSG,fish1_24hpf_mem-mchilada_lyso-mSG_3,3,roi1_test,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_test,,nan
