plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
aang,20251028_peroxi,20251028_peroxi,,,,
aang,20251029_mem-histone,20251029_mem-histone,,,,
aang,20251029_peroxi,20251029_peroxi,,,,
aang,er_roi1,er_roi1,,,,
aang,er_roi2,er_roi2,,,,
aang,er_roi3,er_roi3,,,,
aang,fish10_24hpf_roi1,fish10_24hpf_roi1,,,,
aang,fish10_24hpf_roi2,fish10_24hpf_roi2,,,,
aang,fish11_24hpf_roi1,fish11_24hpf_roi1,,,,
aang,fish11_24hpf_roi2,fish11_24hpf_roi2,,,,
aang,fish11_24hpf_roi3,fish11_24hpf_roi3,,,,
aang,fish12_24hpf_roi1,fish12_24hpf_roi1,,,,
aang,fish12_24hpf_roi2,fish12_24hpf_roi2,,,,
aang,fish12_24hpf_roi3,fish12_24hpf_roi3,,,,
aang,fish12_24hpf_roi4,fish12_24hpf_roi4,,,,
aang,fish1_120hpf_roi1,fish1_120hpf_roi1,,,,
aang,fish1_120hpf_roi2,fish1_120hpf_roi2,,,,
aang,fish1_24hpf_mem-mchilada_lyso-mSG,fish1_24hpf_mem-mchilada_lyso-mSG,,,,
aang,fish1_24hpf_roi1,fish1_24hpf_roi1,,,,
aang,fish1_24hpf_roi1-2,fish1_24hpf_roi1-2,,,,
aang,fish1_24hpf_roi1_test,fish1_24hpf_roi1_test,,,,
aang,fish1_24hpf_roi1_test_SIM,fish1_24hpf_roi1_test_SIM,,,,
aang,fish1_24hpf_roi2,fish1_24hpf_roi2,,,,
aang,fish1_24hpf_roi3,fish1_24hpf_roi3,,,,
aang,fish1_24hpf_roi3_2,fish1_24hpf_roi3_2,,,,
aang,fish1_24hpf_roi4,fish1_24hpf_roi4,,,,
aang,fish1_24hpf_roi5,fish1_24hpf_roi5,,,,
aang,fish1_24hpf_roi6,fish1_24hpf_roi6,,,,
aang,fish1_24hpf_roi7,fish1_24hpf_roi7,,,,
aang,fish1_24hpf_roi8,fish1_24hpf_roi8,,,,
aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,,,
aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,,,
aang,fish1_48hpf_roi3,fish1_48hpf_roi3,,,,
aang,fish1_48hpf_roi4,fish1_48hpf_roi4,,,,
aang,fish1_48hpf_roi5,fish1_48hpf_roi5,,,,
aang,fish1_48hpf_xscan_roi1_brain,fish1_48hpf_xscan_roi1_brain,,,,
aang,fish1_48hpf_xscan_roi2_spine_muscle,fish1_48hpf_xscan_roi2_spine_muscle,,,,
aang,fish1_48hpf_xscan_roi3_spine_muscle_tail,fish1_48hpf_xscan_roi3_spine_muscle_tail,,,,
aang,fish1_48hpf_xscan_roi4_spine_muscle_tail,fish1_48hpf_xscan_roi4_spine_muscle_tail,,,,
aang,fish1_48hpf_xscan_roi5_spine_muscle_tail,fish1_48hpf_xscan_roi5_spine_muscle_tail,,,,
aang,fish1_48hpf_xscan_roi6_spine_muscle_tail,fish1_48hpf_xscan_roi6_spine_muscle_tail,,,,
aang,fish1_48hpf_xscan_roi7_spine_muscle_tail,fish1_48hpf_xscan_roi7_spine_muscle_tail,,,,
aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,,,
aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,,,
aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,,,
aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,,,
aang,fish1_72hpf_roi5,fish1_72hpf_roi5,,,,
aang,fish1_72hpf_roi6,fish1_72hpf_roi6,,,,
aang,fish1_72hpf_roi7,fish1_72hpf_roi7,,,,
aang,fish1_72hpf_roi8,fish1_72hpf_roi8,,,,
aang,fish1_96hpf_roi1,fish1_96hpf_roi1,,,,
aang,fish1_96hpf_roi3,fish1_96hpf_roi3,,,,
aang,fish1_roi1,fish1_roi1,,,,
aang,fish1_roi2,fish1_roi2,,,,
aang,fish1_roi3,fish1_roi3,,,,
aang,fish2_24hpf_mem-mchilada_lyso-mSG,fish2_24hpf_mem-mchilada_lyso-mSG,,,,
aang,fish2_24hpf_roi1,fish2_24hpf_roi1,,,,
aang,fish2_24hpf_roi2,fish2_24hpf_roi2,,,,
aang,fish2_24hpf_roi2-2,fish2_24hpf_roi2-2,,,,
aang,fish2_24hpf_roi3,fish2_24hpf_roi3,,,,
aang,fish2_24hpf_roi4,fish2_24hpf_roi4,,,,
aang,fish2_48hpf_roi1,fish2_48hpf_roi1,,,,
aang,fish2_48hpf_roi2,fish2_48hpf_roi2,,,,
aang,fish2_48hpf_roi2_test,fish2_48hpf_roi2_test,,,,
aang,fish2_48hpf_roi3,fish2_48hpf_roi3,,,,
aang,fish2_48hpf_roi4,fish2_48hpf_roi4,,,,
aang,fish2_48hpf_roi5,fish2_48hpf_roi5,,,,
aang,fish2_72hpf_roi1,fish2_72hpf_roi1,,,,
aang,fish2_72hpf_roi2,fish2_72hpf_roi2,,,,
aang,fish2_72hpf_roi3,fish2_72hpf_roi3,,,,
aang,fish2_72hpf_roi4,fish2_72hpf_roi4,,,,
