plasmid_base_code,plasmid_code,nickname,notes
MGCO-27,MGCO27,ef1a-extended:mStayGold:sec61b,
MGCO-28,MGCO28,MGCO-28,other injected labels: ef1a-extended:2xCox8A:mStayGold
MGCO-30,MGCO30,ef1a-extended:TNG46:mStayGold,
MGCO-31,MGCO31,ef1a-extended:LAMP1:mStayGold,
MGCO-32,MGCO32,ef1a-extended:alphatubulin:mStayGold,
MGCO-34,MGCO34,MGCO34,
MGCO-35,MGCO35,ef1a-extended:2xCox8A:mScarlet3S2,
MGCO-36,MGCO36,ef1a-extended:mScarlet3S2:sec61b,
MGCO-39,MGCO39,ef1a-extended:2xCox8A:Halo,
MGCO-49,MGCO49,MGCO-49,
MGCO-50,MGCO50,MGCO50,
MGCO-51,MGCO51,MGCO-51,
MGCO-52,MGCO52,MGCO-52,
MGCO-53,MGCO53,MGCO-53,
MGCO-54,MGCO54,MGCO54,
MGCO-55,MGCO55,MGCO-55,
MGCO-56,MGCO56,MGCO-56,
PDQM-106,PDQM106,efa1:linker:miRFP670-2:linker-attB,Clone 2
PDQM-120,PDQM120,ef1a:linker:mBeRFP:linker-attB,Clone 1
PDQM-140,PDQM140,ef1a:linker:mGold2s:linker-attB (tol2),clones 1-3
PDQM-141,PDQM141,ef1a:linker:mGold2t:linker-attB (tol2),clones 2-3
PDQM-144,PDQM144,ef1a:E2Crimson (iCodon),Clones 1-4
PDQM-145,PDQM145,ef1a:mCardinal (iCodon),Clones 1-4
PDQM-85,PDQM85,ef1a:linker:mKate2:linker-attB,Clone 14-2
PDQM-87,PDQM87,ef1a:linker:mTFP1:linker-attB,Clone 16-1
PDQM-89,PDQM89,ef1a:linker:mChilada:linker-attB,Clone 23-3
plasmid_base_code,plasmid_base_code,injected_plasmid,
