legacy_clutch_id,legacy_pair_id,dataset,date_mount,clutch_code,created_at
0c62a192-e5ce-4bf0-b7fc-47e0fcc74b37,7d535825-55ab-4786-8c7d-38a592d5f6a7,korra,6/24/25,LEGACY:korra:Ken_(F2_of_allele_320)xIsaac_(F2_of_allele_314):clutch:6/24/25,2025-11-15 03:08:31.328432+00
15d04cdc-90ca-4d75-9ab6-74d0e8f39f55,a4d495b0-bd80-40b1-8df6-e2423a6e8b42,aang,8/28/25,LEGACY:aang:casper/rnfxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:8/28/25,2025-11-15 03:08:31.328432+00
16f558ca-d3e4-4835-98b0-37f2f82e6652,bb2a9aea-98a0-43c5-b990-a45c557478c4,aang,9/19/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/19/25,2025-11-15 03:08:31.328432+00
17bcd2ce-f293-48c2-8e0e-17c99d4cdbb3,4fd0f90e-cc6d-4975-8fac-877e84047e82,korra,6/5/25,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:6/5/25,2025-11-15 03:08:31.328432+00
1ac939b5-038e-4767-8e33-ccbd5d789af3,fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,10/15/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/15/25,2025-11-15 03:08:31.328432+00
27c4e066-d57f-4ba7-89f7-c8eae02946a7,fdfbdd9d-f724-4cd3-a659-42b94a1b0577,korra,10/29/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/29/25,2025-11-15 03:08:31.328432+00
2c942134-8291-44dc-88b4-3f34c541bdf2,a62b4a8b-e21c-482e-8591-0c283f0a8d2b,aang,10/27/25,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/27/25,2025-11-15 03:08:31.328432+00
2ea85b55-0f56-43d9-b042-d9adb61a1a37,069af4a2-47a4-4f77-b395-012410322af2,korra,5/29/25,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310):clutch:5/29/25,2025-11-15 03:08:31.328432+00
30ec4515-7ae2-4a93-b571-1613fb00cb89,be3b29cb-a4c2-4e2b-8e7c-08a6914fcb4d,korra,6/18/25,LEGACY:korra:Ben_(F2_of_allele_310)xAbe_(F2_of_allele_309):clutch:6/18/25,2025-11-15 03:08:31.328432+00
319d01b9-dec7-4b2e-be36-5313dbc29e59,8c15816f-0a64-4bf9-909c-7306330a969c,korra,5/13/25,LEGACY:korra:NaNxNaN:clutch:5/13/25,2025-11-15 03:08:31.328432+00
3284fe2b-cead-4da2-81df-afe23ae86775,8c15816f-0a64-4bf9-909c-7306330a969c,korra,5/22/25,LEGACY:korra:NaNxNaN:clutch:5/22/25,2025-11-15 03:08:31.328432+00
38601061-cd29-4f9d-8d20-d5b0f91fb0b6,ac61d244-2899-400c-949e-6db7273d86eb,aang,9/22/25,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325):clutch:9/22/25,2025-11-15 03:08:31.328432+00
3959eaaa-304d-4ac6-a946-4536988e6f23,3917aed2-f257-45d4-a287-f1e44e953efd,korra,5/28/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/28/25,2025-11-15 03:08:31.328432+00
