imaging_roi_id,fish_id,fish_label,roi_index,roi_name,roi_dir,dataset,experiment_name,data_location,mount_row_index_scored,mount_id,date_experiment,date_mount,raw_id,legacy_pair_id,legacy_clutch_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_proteins_injected,additonal_dye_and_chemicals,date_born,time_mounted,mounting_orientation,date_screened_initial_feedback,date_imaged
0011db40-b95b-45af-8743-fdadee0abcb0,,fish10_roi2,1,fish10_roi2,/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi2,korra,skittlez,X:\abcabc\Korra_Foundation\20250605_skittlez,140,NaN,20250605_skittlez,6/5/25,356ca1a0-b282-44d5-8793-2d1cdccd9f91,4fd0f90e-cc6d-4975-8fac-877e84047e82,17bcd2ce-f293-48c2-8e0e-17c99d4cdbb3,Dennis (F2 of allele 318),Abe (F2 of allele 309),NaN,"phiC-NLS, 2xLynk:mSG",,NaN,6/4/25,,,,6/5/25
006e680f-146c-404e-a58c-43abfdda416e,,fish2_48hpf_roi3,2,fish2_48hpf_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20251112_mem-mito/fish2_48hpf_roi3,korra,mem-mito,X:\abcabc\Korra_Foundation\20251112_mem-mito,0,1,20251112_mem-mito,11/12/25,00ce9340-5104-447b-8d20-47c068e09a79,81933a40-5a3c-455f-8df3-8f2cccaf67e5,49907f5f-c186-41b8-bd1d-98ff729f4f84,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),NaN,,NaN,11/4/25,11:00:00,DH,purposefully mixed orientations,11/5/25
00a3ea6a-046f-424c-9133-3fdb016d7fc9,,fish1_24hpf_roi2,13,fish1_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi2,aang,mem-histone,X:\abcabc\Aang_Foundation\20251001_mem-histone,51,2,20251001_mem-histone,10/1/25,39bc6e72-7b6a-4a28-b633-cfdd0fa52f26,be9ebd22-64f9-42f1-8a62-66e81d348ce0,dd6b71eb-dcf5-448c-8391-d2f5f896a259,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),NaN,NaN,NaN,NaN,9/30/25,11:00:00,DH,NaN,10/1/25
00d07dd5-8664-49bd-8115-378eaf674ddf,,fish2_24hpf_mem_mito_msc3_er_halo,1,roi1_eye,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish2_24hpf_mem_mito_msc3_er_halo/roi1_eye,korra,mem_organelle,X:\abcabc\Korra_Foundation\20250715_mem_organelle,122,NaN,20250715_mem_organelle,7/15/25,19a24e60-5513-4282-bb3e-4b45e71b2155,736e6a61-5c78-4c67-9546-f799ce548ec7,ae3d640e-6d82-4eab-8417-ff4fb262ed61,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,,JF 635,7/14/25,,,,7/15/25
00eee358-cb4c-48c2-b90f-87a9bbdb8345,,fish2_24hpf_roi1,1,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1,aang,mem-halo_er-mSG,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,118,NaN,20250722_mem-halo_er-mSG,7/22/25,21356ee6-eeef-4c78-b664-acda05136304,55b0933f-4d71-42f1-adfd-08f070a05478,9d4823bf-e072-4ddf-8ca4-2aa6db0d30f2,membrane Halo,membrane Halo,NaN,mSG:sec61b,,JF 635,9/5/25,9:00:00,LHR,purposefully mixed orientations,9/8/25
00fc39d8-af70-40c0-ba24-6c688375ed78,,fish4_24hpf_mem-mchilada_mito-mSG,3,roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish4_24hpf_mem-mchilada_mito-mSG/roi3,aang,mem_organelle,X:\abcabc\Aang_Foundation\20250808_mem_organelle,106,NaN,20250808_mem_organelle,8/8/25,119440df-077b-448b-982d-a65730687a37,085520c2-fe20-498c-9d12-9ec18a641001,415b0680-83a5-48fb-bc8d-a6f302693918,membrane mChilada,membrane mChilada,NaN,2xCox8A:mSG,,NaN,8/7/25,,DT,,8/8/25
01cb9889-6fcc-4e6c-9c8d-9c5a1b85f9e7,,fish1_roi3,1,fish1_roi3,/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish1_roi3,korra,skittlez,X:\abcabc\Korra_Foundation\20250529_skittlez,145,NaN,20250529_skittlez,5/29/25,7b08aa49-65f2-4a1b-a635-5cdd5413b609,069af4a2-47a4-4f77-b395-012410322af2,2ea85b55-0f56-43d9-b042-d9adb61a1a37,Jim (F2 of allele 316),Ben (F2 of allele 310),NaN,"phiC-NLS, 2xLynk:mSG, mChilada:H2B",,NaN,6/26/25,,,5/29/25 0:00,6/27/25
027182df-acc0-48af-ad53-b5efef93be0d,,fish1_48hpf_roi3,2,fish1_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi3,aang,mem-mito,X:\abcabc\Aang_Foundation\20250911_mem-mito,62,1,20250911_mem-mito,9/11/25,0eeceb23-6126-411e-aa87-e04682ba2f72,bb2a9aea-98a0-43c5-b990-a45c557478c4,57b4926a-5dc5-4359-8188-0440a7962bca,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),NaN,2xCox8A:mSG,,NaN,9/9/25,9:00:00,DH,,9/26/25
02ef4033-524e-48c8-9dc3-47a2bcebeccf,,fish1_48hpf_roi2,4,fish1_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish1_48hpf_roi2,aang,mem-mito,X:\abcabc\Aang_Foundation\20250925_mem-mito,53,2,20250925_mem-mito,9/25/25,04881198-6b05-4d9b-844d-b8df565e4984,23f2a174-0828-4b90-af39-d17dbc36b3fe,fcac0f9f-312e-4b10-bf30-110b75666ce9,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),NaN,2xCox8A:mSG,NaN,NaN,9/23/25,9:00:00,DH,NaN,9/25/25
03207b4d-69a9-47b5-b32d-f5a0cb9bf897,,fish3_72hpf_roi3,3,fish3_72hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi3,aang,mem-mito,X:\abcabc\Aang_Foundation\20250918_mem-mito,57,1,20250918_mem-mito,9/18/25,5b023bd0-9370-472f-b98f-589c7a4e7b56,bb2a9aea-98a0-43c5-b990-a45c557478c4,3ab84b32-b2ab-446e-ba3a-e3242530f93c,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),NaN,2xCox8A:mSG,,NaN,9/9/25,9:30:00,DH,,9/18/25
0402b9d2-62eb-446e-ad6f-551e44cdda03,,fish5,10,roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish5/roi1,korra,mem_histone,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,149,NaN,20250523_mem_histone,5/23/25,0cb5351b-71f7-4c5a-a736-a51d67cd1940,3917aed2-f257-45d4-a287-f1e44e953efd,feb5615a-8f7e-41a5-ab00-67158af4b7c6,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),NaN,mScarlet3-S2:H2B,,NaN,5/21/25,,VHUHE,5/22/25 0:00,5/23/25
044da309-6e4c-458f-9d06-ed94c450cd5b,,fish5_24hpf_roi3,4,fish5_24hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi3,aang,mem-histone,X:\abcabc\Aang_Foundation\20251001_mem-histone,51,2,20251001_mem-histone,10/1/25,65791d9e-02ab-44fb-bbab-c94a5dfca20d,be9ebd22-64f9-42f1-8a62-66e81d348ce0,dd6b71eb-dcf5-448c-8391-d2f5f896a259,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),NaN,NaN,,NaN,9/5/25,9:00:00,DH,,9/8/25
0451ade6-cc96-42e8-b12e-b1cc4f795dc0,,fish3_48hpf_roi4,5,fish3_48hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,aang,mem-mito,X:\abcabc\Aang_Foundation\20251010_mem-mito,36,1,20251009_mem-mito,10/9/25,4fe85e96-6494-42db-9957-bab449b72a6f,21790f58-fdca-4657-a113-754eac017bb8,a578be17-8184-4766-8fb3-f4a37f3dc9da,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),NaN,,NaN,9/24/25,9:00:00,DH,,9/26/25
04cb90a4-ac12-4087-ab56-792b662d5aab,,fish2_48hpf_roi3,4,fish2_48hpf_roi3,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi3,aang,mem_histone,X:\abcabc\Aang_Foundation\20251010_mem-mito,36,1,20251007_mem_histone,10/9/25,4c012560-6443-4ff1-a3f0-ab5bb7b66918,21790f58-fdca-4657-a113-754eac017bb8,a578be17-8184-4766-8fb3-f4a37f3dc9da,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),NaN,NaN,NaN,10/8/25,11:00:00,DH,NaN,10/10/25
