clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20251110_01,1,2025-11-10,casper,memrane tdmScarlet3S2 (F1 of allele 325),2025-11-12,1,X:\abcabc\Korra_Foundation\20251112_mem-mito,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251110_01,2,2025-11-10,casper,memrane tdmScarlet3S2 (F1 of allele 325),2025-11-12,2,X:\abcabc\Exploratory_fish\20251112_mem-moesin,MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,,,
IMG_CLT_20251108_01,3,2025-11-08,casper,memrane tdmScarlet3S2 (F1 of allele 325),2025-11-11,1,X:\abcabc\Aang_Foundation\20251107_mem-mito,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,
IMG_CLT_20251108_02,4,2025-11-08,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-11-10,1,X:\abcabc\Korra_Foundation\20251110_mem-histone,,,,
IMG_CLT_20251104_01,5,2025-11-04,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-11-06,1.1,X:\abcabc\Aang_Foundation\20251106_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20251104_01,6,2025-11-04,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-11-05,1,X:\abcabc\Aang_Foundation\20251105_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20251104_01,7,2025-11-04,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-11-05,1,X:\abcabc\Korra_Foundation\20251106_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20251028_01,8,2025-10-28,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-29,1,X:\abcabc\Korra_Foundation\20251029_mem-histone,,2xCox8A:mSG,,
IMG_CLT_20251027_01,9,2025-10-27,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-29,2,X:\abcabc\Aang_Foundation\20251029_peroxi,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,
IMG_CLT_20251027_01,10,2025-10-27,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-28,1,X:\abcabc\Aang_Foundation\20251028_mem-mito,,2xCox8A:mSG,,
IMG_CLT_20251027_01,11,2025-10-27,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-28,2,X:\abcabc\Aang_Foundation\20251028_mem-peroxi,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,
IMG_CLT_20251027_01,12,2025-10-27,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-28,3,X:\abcabc\Aang_Foundation\20251028_mem-peroxi2,MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,,,
IMG_CLT_20251021_02,13,2025-10-21,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-27,1,X:\abcabc\Korra_Foundation\20251027_mem-histone,,,,
IMG_CLT_20251021_02,14,2025-10-21,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-10-27,2,X:\abcabc\Aang_Foundation\20251027_mem-histone,,,,
IMG_CLT_20251022_01,15,2025-10-22,casper/rnf,casper/rnf,2025-10-24,1,X:\abcabc\Exploratory_fish\20251025_er,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,,,
