clutch_code,treatment_code
IMG_CLT_20250130_01,IMG_TRT_001
IMG_CLT_20250131_01,IMG_TRT_002
IMG_CLT_20250131_02,IMG_TRT_002
IMG_CLT_20250203_01,IMG_TRT_003
IMG_CLT_20250203_02,IMG_TRT_004
IMG_CLT_20250205_01,IMG_TRT_005
IMG_CLT_20250207_01,IMG_TRT_006
IMG_CLT_20250210_01,IMG_TRT_007
IMG_CLT_20250217_01,IMG_TRT_008
IMG_CLT_20250224_01,IMG_TRT_006
IMG_CLT_20250226_01,IMG_TRT_006
IMG_CLT_20250228_01,IMG_TRT_006
IMG_CLT_20250303_01,IMG_TRT_009
IMG_CLT_20250305_01,IMG_TRT_010
IMG_CLT_20250310_01,IMG_TRT_011
IMG_CLT_20250312_01,IMG_TRT_012
IMG_CLT_20250313_01,IMG_TRT_013
IMG_CLT_20250314_01,IMG_TRT_013
IMG_CLT_20250317_01,IMG_TRT_013
IMG_CLT_20250319_01,IMG_TRT_012
IMG_CLT_20250321_01,IMG_TRT_013
IMG_CLT_20250324_01,IMG_TRT_013
IMG_CLT_20250326_01,IMG_TRT_012
IMG_CLT_20250328_01,IMG_TRT_013
IMG_CLT_20250331_01,IMG_TRT_013
IMG_CLT_20250403_01,IMG_TRT_014
IMG_CLT_20250409_01,IMG_TRT_015
IMG_CLT_20250411_01,IMG_TRT_013
IMG_CLT_20250414_01,IMG_TRT_013
IMG_CLT_20250417_01,IMG_TRT_013
IMG_CLT_20250418_01,IMG_TRT_013
IMG_CLT_20250421_01,IMG_TRT_013
IMG_CLT_20250422_01,IMG_TRT_016
IMG_CLT_20250426_01,IMG_TRT_013
IMG_CLT_20250428_01,IMG_TRT_017
IMG_CLT_20250429_01,IMG_TRT_017
IMG_CLT_20250504_01,IMG_TRT_013
IMG_CLT_20250505_01,IMG_TRT_018
IMG_CLT_20250506_01,IMG_TRT_019
IMG_CLT_20250507_01,IMG_TRT_020
IMG_CLT_20250508_01,IMG_TRT_021
IMG_CLT_20250512_01,IMG_TRT_022
IMG_CLT_20250513_01,IMG_TRT_022
