clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250130_01,2025-01-30,2,imaging_backfill,casper/rnf,casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,2xLynk:mSG; mChilada:H2B; mYH:H2B,,
IMG_CLT_20250131_01,2025-01-31,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 304),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,304,pDQM005,pDQM005:304,pDQM005(304),pDQM005_304,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,
IMG_CLT_20250131_02,2025-01-31,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,,,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),tol2 mRNA (40 pg),,
IMG_CLT_20250203_01,2025-02-03,3,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,305,pDQM005,pDQM005:305,pDQM005(305),pDQM005_305,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),mChilada:H2B (80 pg); mYH:H2B (80 pg); tol2 mRNA (40 pg),,
IMG_CLT_20250203_02,2025-02-03,10,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,,,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B (80 pg); mChilada:H2B (80 pg),,
IMG_CLT_20250205_01,2025-02-05,7,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mChilada:H2B (80 pg),,
IMG_CLT_20250207_01,2025-02-07,4,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 308),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,308,pDQM005,pDQM005:308,pDQM005(308),pDQM005_308,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250210_01,2025-02-10,10,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B (80 and 120 pg); mChilada:H2B (80 and 120 pg),,
IMG_CLT_20250217_01,2025-02-17,4,imaging_backfill,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",Swinburne,Swinburne,pDQM005,301,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),Swinburne_301_Swinburne,,JF635 3uM,,
IMG_CLT_20250224_01,2025-02-24,8,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250226_01,2025-02-26,8,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250228_01,2025-02-28,3,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B (80 and 120 pg),,
IMG_CLT_20250303_01,2025-03-03,8,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,,mYH:H2B,,
IMG_CLT_20250305_01,2025-03-05,1,imaging_backfill,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM034,310,pDQM034,pDQM034:310,pDQM034(310),pDQM034_310,,phiC; 2xLynk:mSG,,
IMG_CLT_20250310_01,2025-03-10,8,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM005,301,pDQM005,pDQM005:301,pDQM005(301),pDQM005_301,ef1a:mTFP1 and ef1a:mBeRFP,mScarlet3-S2:H2B,,
IMG_CLT_20250312_01,2025-03-12,4,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,301,pDQM034,310,"pDQM005,pDQM034","pDQM005:301,pDQM034:310",pDQM005(301)/pDQM034(310),pDQM005_301_310,,phiC,,
