treat_code,treat_text
IMG_TRT_001,2xLynk:mSG; mChilada:H2B; mYH:H2B
IMG_TRT_002,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2)
IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2)
IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg)
IMG_TRT_005,mChilada:H2B (80 pg)
IMG_TRT_006,mYH:H2B (80 and 120 pg)
IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg)
IMG_TRT_008,JF635 3uM
IMG_TRT_009,mYH:H2B
IMG_TRT_010,2xLynk:mSG; phiC
IMG_TRT_011,ef1a:mTFP1 and ef1a:mBeRFP
IMG_TRT_012,phiC
IMG_TRT_013,mScarlet3-S2:H2B
IMG_TRT_014,phiC; phiC-NLS
IMG_TRT_016,ef1a:mGold2s; ef1a:mGold2t
IMG_TRT_017,ef1a:mGold2s
IMG_TRT_019,2xLynk:mSG; Lifeact:Halo
IMG_TRT_020,2xLynk:mChilada; 2xLynk:mSG
IMG_TRT_021,2xLynk:mChilada; 2xLynk:mSG; Lifeact:Halo
IMG_TRT_022,phiC-NLS
IMG_TRT_023,IMG_TRT_023
IMG_TRT_024,2xLynk:mSG; mChilada:H2B; phiC-NLS
IMG_TRT_025,2xLynk:mSG; phiC-NLS
IMG_TRT_026,2xLynk:mSG; phiC-NLS
IMG_TRT_027,2xLynk:mSG; phiC-NLS
IMG_TRT_029,mSG:sec61b
IMG_TRT_030,2xCox8A:mSG
IMG_TRT_031,mSG:sec61b
IMG_TRT_032,tdmChilada:PCNA
IMG_TRT_035,ef1a:linker:mKate2:linker-attB; ef1a:mCardinal (iCodon)
IMG_TRT_036,2xCox8A:mSG; mSG:sec61b
IMG_TRT_037,ef1a:mCardinal (iCodon)
IMG_TRT_042,MGCO34(lifeact-mStayGold)
IMG_TRT_044,HC-2 2:NLS-mScarlet3
IMG_TRT_045,MGCO01
IMG_TRT_047,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2)
IMG_TRT_048,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold); MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold)
IMG_TRT_049,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold
IMG_TRT_050,MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin
IMG_TRT_051,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL; MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold
IMG_TRT_052,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2)
IMG_TRT_053,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2); MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin
