treat_code,treat_text,female_parents,male_parents
IMG_TRT_001,2xLynk:mSG; mChilada:H2B; mYH:H2B,casper/rnf,casper/rnf
IMG_TRT_002,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf; ef1a:2xLynk:tdmSG(J) (F1 of allele 304)
IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305)
IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf
IMG_TRT_005,mChilada:H2B (80 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301)
IMG_TRT_006,mYH:H2B (80 and 120 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 308); ef1a:2xLynk:tdmSG(J) (F2 of allele 301)
IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301)
IMG_TRT_008,JF635 3uM,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301)
IMG_TRT_009,mYH:H2B,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301)
IMG_TRT_010,2xLynk:mSG; phiC,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309)
IMG_TRT_011,ef1a:mTFP1 and ef1a:mBeRFP,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301)
IMG_TRT_012,phiC,casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313)
IMG_TRT_013,mScarlet3-S2:H2B,casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302),casper/rnf; ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 308); ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302)
IMG_TRT_014,phiC; phiC-NLS,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313)
IMG_TRT_016,ef1a:mGold2s; ef1a:mGold2t,casper/rnf,casper/rnf
IMG_TRT_017,ef1a:mGold2s,ef1a:2xLynk:tdmSG(J) (F2 of allele 301); membrane Halo,ef1a:2xLynk:tdmSG(J) (F2 of allele 301); membrane Halo
IMG_TRT_019,2xLynk:mSG; Lifeact:Halo,casper/rnf,casper/rnf
IMG_TRT_020,2xLynk:mChilada; 2xLynk:mSG,casper/rnf,casper/rnf
IMG_TRT_021,2xLynk:mChilada; 2xLynk:mSG; Lifeact:Halo,casper/rnf,casper/rnf
IMG_TRT_022,phiC-NLS,Dennis (F2 of allele 318),Abe (F2 of allele 309)
IMG_TRT_023,IMG_TRT_023,casper/rnf; ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310); ef1a:2xLynk:tdmChilada (F1 of allele 315); ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 302); MGCO35 (F1 of allele 336); tandem mem:mStayGold,casper/rnf; ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309); ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317); ef1a:2xLynk:tdmSG(J) (F1 of allele 304); ef1a:2xLynk:tdmSG(J) (F2 of allele 301); ef1a:2xLynk:tdmSG(J) (F2 of allele 302); tandem mem:mStayGold; tdmChilada:Histone; tandem mem:mStayGold; tdmChilada(MAGPV):Histone; tdmScarlet3S2 (F1 of allele 325); tdmScarlet3S2 (F2 of allele 325); tdmScarlet3S2:H2B-tol2 (F1 of allele 324)
IMG_TRT_024,2xLynk:mSG; mChilada:H2B; phiC-NLS,Jim (F2 of allele 316),Ben (F2 of allele 310)
IMG_TRT_025,2xLynk:mSG; phiC-NLS,Ben (F2 of allele 310); Dennis (F2 of allele 318); Jim (F2 of allele 316); Ken (F2 of allele 320); Liam (F2 of allele 321),Abe (F2 of allele 309); Ben (F2 of allele 310); Chris (F1 of allele 317); Isaac (F2 of allele 314)
IMG_TRT_026,2xLynk:mSG; phiC-NLS,Jim (F2 of allele 316),Dennis (F2 of allele 318)
IMG_TRT_027,2xLynk:mSG; phiC-NLS,Ben (F2 of allele 310),Abe (F2 of allele 309)
IMG_TRT_029,mSG:sec61b,membrane Halo,membrane Halo
IMG_TRT_030,2xCox8A:mSG,casper; casper/rnf; ef1a:2xLynk:tdm:mChilada; ef1a:2xLynk:tdmChilada (F1 of allele 315); ef1a:2xLynk:tdmSG(J) (F1 of allele 302); membrane mChilada; tdmScarlet3S2 (F1 of allele 325),casper/rnf; ef1a:2xLynk:tdm:Halo; ef1a:2xLynk:tdm:mChilada; ef1a:2xLynk:tdmChilada (F1 of allele 315); from Swinburne lab - tank ID 344 (F1 of allele 45385); membrane mChilada; tdmScarlet3S2 (F1 of allele 325); tdmScarlet3S2:H2B-tol2 (F1 of allele 324)
IMG_TRT_031,mSG:sec61b,membrane mChilada,membrane mChilada
IMG_TRT_032,tdmChilada:PCNA,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301)
IMG_TRT_035,ef1a:linker:mKate2:linker-attB; ef1a:mCardinal (iCodon),tandem mem:mStayGold,tandem mem:mStayGold
IMG_TRT_036,2xCox8A:mSG; mSG:sec61b,casper/rnf,mem:tdmChilada
IMG_TRT_037,ef1a:mCardinal (iCodon),casper/rnf,casper/rnf
IMG_TRT_042,MGCO34(lifeact-mStayGold),csp/pIGLET 14a,csp/pIGLET 14a
IMG_TRT_044,HC-2 2:NLS-mScarlet3,casper/rnf,tandem mem:mStayGold
IMG_TRT_045,MGCO01,casper/rnf,tdmScarlet3S2 (F1 of allele 325)
IMG_TRT_047,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf
IMG_TRT_048,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold); MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),casper/rnf,casper/rnf
IMG_TRT_049,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,casper/rnf,casper/rnf
IMG_TRT_050,MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin,casper/rnf,tdmScarlet3S2 (F1 of allele 325)
IMG_TRT_051,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL; MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325)
IMG_TRT_052,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),casper,memrane tdmScarlet3S2 (F1 of allele 325)
IMG_TRT_053,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2); MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,casper,memrane tdmScarlet3S2 (F1 of allele 325)
