treat_code,treat_text,female_parents,male_parents,auto_suggested_base_codes
IMG_TRT_001,2xLynk:mSG; mChilada:H2B; mYH:H2B,casper/rnf,casper/rnf,"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168,pDQM022,pDQM023,pDQM041,pDQM042,pDQM089,pDQM090,pDQM091,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM076,pDQM077,pDQM105,pDQM117,pDQM118,pDQM119,pDQM131,MGCO-25"
IMG_TRT_002,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),casper/rnf; ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf; ef1a:2xLynk:tdmSG(J) (F1 of allele 304),"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM009,pDQM010,pDQM016,pDQM017,pDQM024,pDQM025,pDQM034,pDQM035,pDQM063,pDQM064,pDQM097,pDQM022,pDQM023,pDQM041,pDQM042,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM106,pDQM107,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 305),"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM009,pDQM010,pDQM016,pDQM017,pDQM024,pDQM025,pDQM034,pDQM035,pDQM063,pDQM064,pDQM097,pDQM022,pDQM023,pDQM041,pDQM042,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM106,pDQM107,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM065,pDQM066,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM053,pDQM054,pDQM055,pDQM056,pDQM057,pDQM058,pDQM061,pDQM062,pDQM076,pDQM077,pDQM131,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,"pDQM022,pDQM023,pDQM041,pDQM042,pDQM081,pDQM089,pDQM090,pDQM091,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM105,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM095,pDQM096,pDQM114,pDQM150,MGCO-25,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM101,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_005,mChilada:H2B (80 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"pDQM022,pDQM023,pDQM041,pDQM042,pDQM081,pDQM089,pDQM090,pDQM091,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM105,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_006,mYH:H2B (80 and 120 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301); ef1a:2xLynk:tdmSG(J) (F1 of allele 308); ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"pDQM095,pDQM096,pDQM105,pDQM114,pDQM150,MGCO-25,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM101,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_007,mChilada:H2B (80 and 120 pg); mYH:H2B (80 and 120 pg),casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"pDQM022,pDQM023,pDQM041,pDQM042,pDQM081,pDQM089,pDQM090,pDQM091,pDQM092,pDQM093,pDQM104,pDQM108,pDQM109,MGCO-02,MGCO-05,MGCO-08,MGCO-11,MGCO-16,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM105,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM095,pDQM096,pDQM114,pDQM150,MGCO-25,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM101,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_008,JF635 3uM,ef1a:H2B:Halo,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),"pDQM037,pDQM038,pDQM051,pDQM052,pDQM060,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM094,pDQM095,pDQM096,pDQM101,pDQM114,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM125,pDQM126,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM053,pDQM054,pDQM058,pDQM065,pDQM066,pDQM076,pDQM077,pDQM105,pDQM117,pDQM118,pDQM119,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM149,MGCO-03,MGCO-06,MGCO-09,MGCO-12,MGCO-14,MGCO-18,MGCO-20,MGCO-22,MGCO-24,MGCO-39,MGCO-40,MGCO-42,MGCO-44,MGCO-45,MGCO-46,MGCO-47,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_009,mYH:H2B,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),"pDQM095,pDQM096,pDQM105,pDQM114,pDQM150,MGCO-25,MGCO-26,pDQM051,pDQM052,pDQM053,pDQM054,pDQM058,pDQM060,pDQM065,pDQM066,pDQM067,pDQM072,pDQM073,pDQM076,pDQM077,pDQM094,pDQM117,pDQM118,pDQM119,pDQM125,pDQM126,pDQM131,pDQM161,pDQM162,pDQM167,pDQM168,pDQM037,pDQM038,pDQM068,pDQM069,pDQM070,pDQM071,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM101,pDQM120,pDQM121,pDQM122,pDQM123,pDQM124,pDQM127,pDQM137,pDQM140,pDQM141,pDQM144,pDQM145,pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM092,pDQM093,pDQM115,pDQM116,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM005,pDQM006,pDQM007,pDQM008,pDQM026,pDQM039,pDQM040,pDQM055,pDQM056,pDQM057,pDQM061,pDQM062,pDQM142,pDQM153,pDQM155,pDQM159,pDQM001,pDQM002,pDQM102,pDQM103"
IMG_TRT_010,2xLynk:mSG; phiC,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),"pDQM027,pDQM028,pDQM029,pDQM030,pDQM031,pDQM045,pDQM046,pDQM047,pDQM048,pDQM049,pDQM050,pDQM060,pDQM065,pDQM066,pDQM067,pDQM068,pDQM069,pDQM070,pDQM071,pDQM072,pDQM073,pDQM074,pDQM075,pDQM078,pDQM079,pDQM080,pDQM081,pDQM082,pDQM092,pDQM093,pDQM094,pDQM115,pDQM116,pDQM121,pDQM122,pDQM123,pDQM125,pDQM126,pDQM127,pDQM128,pDQM129,pDQM132,pDQM134,pDQM135,pDQM136,pDQM137,pDQM138,pDQM139,pDQM152,pDQM156,pDQM157,pDQM164,pDQM166,pDQM001,pDQM002,pDQM095,pDQM096,pDQM114,pDQM150,pDQM151,pDQM161,pDQM162,pDQM167,pDQM168,pDQM097,pDQM098,pDQM099,pDQM100,pDQM110,pDQM111,pDQM112,pDQM113,pDQM165,pDQM037,pDQM038,pDQM051,pDQM052,pDQM083,pDQM084,pDQM085,pDQM086,pDQM087,pDQM088,pDQM089,pDQM090,pDQM091,pDQM101,pDQM120,pDQM124,pDQM140,pDQM141,pDQM144,pDQM145,pDQM034,pDQM035,pDQM043,pDQM044,pDQM063,pDQM064,pDQM009,pDQM010,pDQM011,pDQM012,pDQM024,pDQM025,pDQM013,pDQM016,pDQM017"
