mount_id,date_mount,zf_female_genotype_text,zf_male_genotype_text,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
1,2025-11-12,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),nan,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",X:\abcabc\Korra_Foundation\20251112_mem-mito,
2,2025-11-12,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20251112_mem-moesin,
1,2025-11-11,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),nan,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20251107_mem-mito,
1,2025-11-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",X:\abcabc\Korra_Foundation\20251110_mem-histone,
1.1,2025-11-06,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20251106_mem-mito,
1,2025-11-05,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20251105_mem-mito,
1,2025-11-05,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Korra_Foundation\20251106_mem-mito,
1,2025-10-29,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Korra_Foundation\20251029_mem-histone,
2,2025-10-29,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251029_peroxi,
1,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20251028_mem-mito,
2,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251028_mem-peroxi,
3,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251028_mem-peroxi2,
1,2025-10-27,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251027_mem-histone,
2,2025-10-27,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251027_mem-histone,
1,2025-10-24,casper/rnf,casper/rnf,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20251025_er,
2,2025-10-24,casper/rnf,tdmScarlet3S2 (F1 of allele 325),MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20251025_lamellipodia_F-actin,
3,2025-10-24,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251024_mem-histone,
1,2025-10-23,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20251023_mem-mito,
1,2025-10-22,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251022_mem-histone,
2,2025-10-22,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20251022_mem-mito,
3,2025-10-22,MGCO35 (F1 of allele 336),casper/rnf,nan,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20251023_mScarlet3S2_2Xcox8A,
1,2025-10-21,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20251021_mem-mito,
2,2025-10-21,casper/rnf,tdmScarlet3S2 (F1 of allele 325),nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20251021_mem-mito_v2,
1,2025-10-20,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,"muscle, hindbrain, skin, blood vessel",X:\abcabc\Aang_Foundation\20251020_mem-histone,
2,2025-10-20,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,"skin, hindbrain, muscle, blood vessel",X:\abcabc\Korra_Foundation\20251020_mem-histone,
1,2025-10-17,casper/rnf,casper/rnf,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold),nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251017_microtubules,
2,2025-10-17,casper/rnf,casper/rnf,MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251017_nuclear_envelope,
1,2025-10-16,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,"skin, muscle, tail, blood vessel",X:\abcabc\Korra_Foundation\20251016_mem-histone,
2,2025-10-16,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),nan,nan,nan,blood vessel,X:\abcabc\Aang_Foundation\20251016_mem-mito_v2,
1,2025-10-15,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251015_mem-histone,
1,2025-10-14,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251015_mem-histone,
2,2025-10-14,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,nan,nan,nan,"skin, muscle",X:\abcabc\Aang_Foundation\20251016_mem-mito,
1,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251013_mem-histone,
2,2025-10-13,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251013_mem-histone,
1,2025-10-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
2,2025-10-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,X:\abcabc\Korra_Foundation\20251010_mem-histone,
1,2025-10-09,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),nan,nan,nan,nan,X:\abcabc\Aang_Foundation\20251010_mem-mito,
1,2025-10-08,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),nan,nan,nan,nan,nan,nan,
2,2025-10-08,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),nan,nan,nan,nan,nan,nan,
3,2025-10-08,casper/rnf,tdmScarlet3S2 (F1 of allele 325),nan,nan,nan,nan,nan,nan,
1,2025-10-07,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),nan,nan,nan,nan,nan,nan,
1,2025-10-06,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),nan,nan,nan,nan,nan,nan,
2,2025-10-06,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),nan,nan,nan,nan,nan,nan,
2.1,2025-10-03,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
2.2,2025-10-03,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
1.1,2025-10-03,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,MGCO28,nan,nan,nan,nan,
1.2,2025-10-03,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,MGCO28,nan,nan,nan,nan,
1,2025-10-02,casper/rnf,tdmScarlet3S2 (F1 of allele 325),nan,MGCO01,nan,nan,nan,nan,
2,2025-10-02,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,MGCO01,nan,nan,nan,nan,
3,2025-10-02,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,nan,MGCO28,nan,nan,nan,nan,
1,2025-10-01,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
2,2025-10-01,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,"skin, spinal_cord, muscle",X:\abcabc\Aang_Foundation\20251001_mem-histone,
1,2025-09-26,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250926_mem-mito,
2,2025-09-25,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250925_mem-mito,
1,2025-09-24,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250924_mem-mito,
1,2025-09-22,casper/rnf,tdmScarlet3S2 (F1 of allele 325),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250922_mem-mito,
1,2025-09-19,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250919_mem-mito,
1,2025-09-18,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, tail",X:\abcabc\Aang_Foundation\20250918_mem-mito,
top,2025-09-16,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, tail",X:\abcabc\Aang_Foundation\20250917_mem-mito,
bottom,2025-09-16,tdmScarlet3S2 (F1 of allele 325),tdmScarlet3S2 (F1 of allele 325),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, tail",X:\abcabc\Aang_Foundation\20250917_mem-mito,
1,2025-09-15,nan,ef1a:2xLynk:tdm:Halo,nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, tail",X:\abcabc\Aang_Foundation\20250915_mem-mito,
2,2025-09-12,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, tail",X:\abcabc\Aang_Foundation\20250912_mem-mito,
1,2025-09-11,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250911_mem-mito,
1,2025-09-10,ef1a:2xLynk:tdmChilada (F1 of allele 315),ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250908_mem-mito,
1,2025-09-09,nan,nan,nan,nan,nan,nan,nan,nan,
2,2025-09-09,nan,nan,nan,nan,nan,nan,nan,nan,
1,2025-09-08,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, neuromast",X:\abcabc\Aang_Foundation\20250908_mem-mito,
1,2025-09-05,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,nan,nan,
2,2025-09-05,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250905_lifeact-mSG,
3,2025-09-04,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),nan,HC-9 Lifeact:mStayGold,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250904_lifeact-mSG,
2025-W36-1,2025-09-03,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,nan,X:\abcabc\Aang_Foundation\20250903_lifeact-mSG,
2025-W36-2,2025-09-03,casper/rnf,tandem mem:mStayGold,nan,HC-2 2:NLS-mScarlet3,nan,nan,nan,nan,
2025-W35-7,2025-08-29,csp/pIGLET 14a,csp/pIGLET 14a,MGCO34(lifeact-mStayGold),nan,nan,nan,nan,X:\abcabc\Janelia_Fish\20250903_lifeact-mSG,
2025-W35-6,2025-08-28,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,Lifeact:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250828_mem_actin,
