legacy_parent_name,raw_plasmid_base_code,norm_plasmid_base_code,allele_nickname,n_matching_alleles,n_matching_fish,mapped_fish_id,mapped_fish_code
parent_fish_name,plasmid_base_code,PLASMID_BASE_CODE,allele,0,0,,
tandem mem:mStayGold,PDQM-5,PDQM-5,301,1,8,95068157-ff54-4eb2-b320-b8f6285ed7bd,FSH-3OICRDIL
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),PDQM-5,PDQM-5,302,1,9,ff20ad23-f7b7-483d-9370-7fead230e2a9,FSH-0PD22LPK
casper/rnf,nan,,nan,0,244,593fcda9-7f23-4faa-a7fd-6ab93ce5e2cb,FSH-8B73F6CM
ef1a:2xLynk:tdmChilada (F1 of allele 315),PDQM-82,PDQM-82,315,1,3,5a8c1314-20fd-4038-9bb0-a25a936cb4a7,FSH-BN0K43JT
tdmScarlet3S2 (F1 of allele 325),PDQM-136,PDQM-136,325,1,2,9b902e65-872f-4491-aeac-f16edf6d8964,FSH-1SIVHLQC
ef1a:2xLynk:tdm:mChilada,PDQM-82,PDQM-82,315,1,3,5a8c1314-20fd-4038-9bb0-a25a936cb4a7,FSH-BN0K43JT
membrane mChilada,PDQM-82,PDQM-82,315,1,3,5a8c1314-20fd-4038-9bb0-a25a936cb4a7,FSH-BN0K43JT
membrane Halo,Swinburne,SWINBURNE,Swinburne,0,0,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),PDQM-5,PDQM-5,301,1,8,95068157-ff54-4eb2-b320-b8f6285ed7bd,FSH-3OICRDIL
ef1a:H2B:Halo,Swinburne,SWINBURNE,Swinburne,0,0,,
ef1a:2xLynk:tdm:mHalo,Swinburne,SWINBURNE,Swinburne,0,0,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 302),PDQM-5,PDQM-5,302,1,9,ff20ad23-f7b7-483d-9370-7fead230e2a9,FSH-0PD22LPK
csp/pIGLET 14a,nan,,nan,0,0,,
Dennis (F2 of allele 318),PDQM-36,PDQM-36,318,1,3,7532010e-56c5-4026-a3e8-cbe2f87777fa,FSH-793J77DB
