injected_rna,rna_base_code,rna_base_code_norm,notes
injected_rna,plasmid_base_code,plasmid_base_code,
2xCox8A:mScarlet3S2,MGCO-35,MGCO-35,
2xCox8A:mSG,MGCO-01,MGCO-1,
"2xCox8A:mSG,, 2xLynk:mChilada",MGCO-35,MGCO-35,
"2xCox8A:mSG,, 2xLynk:mChilada",pDQM092,PDQM-92,
"2xLynk:mChilada,, 2xLynk:mSG",pDQM092,PDQM-92,
"2xLynk:mChilada,, 2xLynk:mSG",pDQM047,PDQM-47,
"2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo",pDQM092,PDQM-92,
"2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo",pDQM047,PDQM-47,
"2xLynk:mChilada,, 2xLynk:mSG,, Lifeact:Halo",MGCO-24,MGCO-24,
2xLynk:mSG; mChilada:H2B,pDQM047,PDQM-47,
2xLynk:mSG; mChilada:H2B,pDQM104,PDQM-104,
2xLynk:mSG; mYH:H2B,pdQM047,PDQM-47,
2xLynk:mSG; mYH:H2B,pDQM105,PDQM-105,
ef1a-extended:Halo:sec61b,MGCO-40,MGCO-40,
ef1a-extended:mScarlet3S2:sec61b,MGCO-36,MGCO-36,
HC-10 4x-Cox8:mStayGold,HC-10,HC-10,
HC-2 2:NLS-mScarlet3,HC-2,HC-2,
HC-9 Lifeact:mStayGold,HC-9,HC-9,
JF635 3uM,nan,nan,
LAMP1:mSG,MGCO-15,MGCO-15,
"LAMP1:mSG,, 2xLynk:mChilada",MGCO-15,MGCO-15,
"LAMP1:mSG,, 2xLynk:mChilada",pDQM092,PDQM-92,
"LAMP1:mSG,, 2xLynk:mScarlet3-S2",MGCO-15; pDQM136,MGCO-15; pDQM136,
"Lifeact:Halo,, 2xLynk:mSG",MGCO-24,MGCO-24,
"Lifeact:Halo,, 2xLynk:mSG",pDQM047,PDQM-47,
Lifeact:mSG,MGCO-23,MGCO-23,
mChilada:H2B (80 and 120 pg),pDQM104,PDQM-104,
mChilada:H2B (80 pg),pDQM104,PDQM-104,
MGCO01,MGCO-01,MGCO-1,
MGCO28,MGCO-28,MGCO-28,
mScarlet3-S2:H2B,pDQM117,PDQM-117,
mScarlet3S2:sec61b,MGCO-36,MGCO-36,
mSG:alpha-tub,MGCO-19,MGCO-19,
mSG:MYH10,MGCO-25,MGCO-25,
mSG:sec61b,MGCO-04,MGCO-4,
mYH:H2B,pDQM105,PDQM-105,
mYH:H2B (80 and 120 pg),pDQM105,PDQM-105,
mYH:H2B (80 pg),pDQM105,PDQM-105,
nan,nan,nan,
pDQM172 SP6-2x-cox8A-mSG,pDQM172,PDQM-172,
phiC,nan,nan,
phiC mRNA (120 pg),nan,nan,
phiC-NLS,nan,nan,
phiC-NLS mRNA (120 pg),nan,nan,
"phiC-NLS,, 2xLynk:mSG",nan,nan,
"phiC-NLS,, 2xLynk:mSG,, mChilada:H2B",pDQM047,PDQM-47,
"phiC-NLS,, 2xLynk:mSG,, mChilada:H2B",pDQM104,PDQM-104,
"phiC-NLS,, phiC",nan,nan,
"phiC,, 2xLynk:mSG",pDQM047,PDQM-47,
tdmChilada:PCNA,pDQM037,PDQM-37,
TGN:mSG,MGCO-10,MGCO-10,
tol2 mRNA (40 pg),nan,nan,
"Vimentin:Halo,, 2xLynk:mScarlet3-S2",MGCO-22,MGCO-22,
"Vimentin:Halo,, 2xLynk:mScarlet3-S2",pDQM136,PDQM-136,
