dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250131_01,2025-01-31,pDQM005_304,pDQM005,pDQM005:304,pDQM005(304),"tdmSG,tdmStayGold","",IMG_TRT_002,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"","","",,,"tdmSG,tdmStayGold",294,,,,,,,,,,,
cluster_linked,IMG_CLT_20250131_02,2025-01-31,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_002,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"","","",,,"tdmSG,tdmStayGold",293,,,,,,,,,,,
cluster_linked,IMG_CLT_20250203_01,2025-02-03,pDQM005_305,pDQM005,pDQM005:305,pDQM005(305),"tdmSG,tdmStayGold","",IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"","","",,,"tdmSG,tdmStayGold",297,,,,,,,,,,,
cluster_linked,IMG_CLT_20250203_01,2025-02-03,pDQM005_305,pDQM005,pDQM005:305,pDQM005(305),"tdmSG,tdmStayGold","",IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"","","",,,"tdmSG,tdmStayGold",298,,,,,,,,,,,
cluster_linked,IMG_CLT_20250203_01,2025-02-03,pDQM005_305,pDQM005,pDQM005:305,pDQM005(305),"tdmSG,tdmStayGold","",IMG_TRT_003,Skittles-lite (ef1a:mTFP1 / ef1a:mChilada / ef1a:miRFP670-2),"","","",,,"tdmSG,tdmStayGold",299,,,,,,,,,,,
cluster_linked,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",281,,,,2025-02-06,,20250206-plate1,20250206-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,,,
cluster_linked,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",282,,,,2025-02-06,,20250206-plate1,20250206-plate1-slot4,,,,
cluster_linked,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",285,,,,2025-02-05,,20250205-plate1,20250205-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,,,
cluster_linked,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",286,,,,2025-02-05,,20250205-plate1,20250205-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,,,
cluster_linked,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",287,,,,2025-02-05,,20250205-plate1,20250205-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,,,
