dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,birthday_filled,parent_female_filled,parent_male_filled,date_mount,mount_id,plate_id_filled,slot_id_filled,data_location_filled,roi_index,roi_name,data_path
mem_histone,IMG_CLT_20250130_01,2025-01-30,,,,,,,IMG_TRT_001,2xLynk:mSG; mChilada:H2B; mYH:H2B,"","","",,,"",291,2025-01-30,casper/rnf,casper/rnf,2025-01-31,,SYN_20250131_plate1,SYN_20250131_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,1,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada
mem_histone,IMG_CLT_20250130_01,2025-01-30,,,,,,,IMG_TRT_001,2xLynk:mSG; mChilada:H2B; mYH:H2B,"","","",,,"",292,2025-01-30,casper/rnf,casper/rnf,2025-01-31,,SYN_20250131_plate1,SYN_20250131_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",281,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-06,,SYN_20250206_plate1,SYN_20250206_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",285,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,SYN_20250205_plate1,SYN_20250205_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",286,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,SYN_20250205_plate1,SYN_20250205_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",287,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,SYN_20250205_plate1,SYN_20250205_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",288,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-05,,SYN_20250205_plate1,SYN_20250205_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",289,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-04,,SYN_20250204_plate1,SYN_20250204_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada
mem_histone,IMG_CLT_20250203_02,2025-02-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_004,mChilada:H2B (80 pg); mYH:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",290,2025-02-03,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,2025-02-04,,SYN_20250204_plate1,SYN_20250204_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,1,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH
mem_histone,IMG_CLT_20250205_01,2025-02-05,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_005,mChilada:H2B (80 pg),"","","",,,"tdmSG,tdmStayGold",283,2025-02-05,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),2025-02-06,,SYN_20250206_plate1,SYN_20250206_plate1-slot1,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,1,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada
