plasmid_code,plasmid_name,plasmid_nickname,resistance,plasmid_notes,used_for_injection_plasmid,used_for_injection_rna,used_for_injection_crispr,n_fluors_per_plasmid,fluor_code,tag_code,tag_pos
pDQM001,CMV-SP6-mSG(J) IDT opt,CMV-SP6-mSG(J) IDT opt,Amp,"IDT optimized, for mRNA production with SP6 - clone 2",FALSE,FALSE,FALSE,1,mSG,,
pDQM002,CMV-SP6-mSG(J) IDT opt,CMV-SP6-mSG(J) IDT opt,Amp,"IDT optimized, for mRNA production with SP6 - clone 5",FALSE,FALSE,FALSE,1,mSG,,
pDQM005,ef1a-tdmSG(J),ef1a-tdmSG(J),Amp,iCodon optimized for tol2 insertions - clone 4,FALSE,FALSE,FALSE,1,tdmSG,,
pDQM006,ef1a-tdmSG-syntrons(J),ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 6,FALSE,FALSE,FALSE,1,tdmSG,,
pDQM007,ef1a-tdmSG-syntrons(J),ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 3,FALSE,FALSE,FALSE,1,tdmSG,,
pDQM008,ef1a-tdmSG-syntrons(J),ef1a-tdmSG-syntrons(J),Amp,each mStayGold contains a 51bp syntron to boost expression - clone 8,FALSE,FALSE,FALSE,1,tdmSG,,
pDQM009,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,FALSE,FALSE,FALSE,5,mScarlet,,
pDQM009,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,FALSE,FALSE,FALSE,5,mKate2,,
pDQM009,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,FALSE,FALSE,FALSE,5,Electra2,,
pDQM009,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,FALSE,FALSE,FALSE,5,mKOK,,
pDQM009,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK1,FALSE,FALSE,FALSE,5,mTFP1,,
pDQM010,skittles2.0-4FP,skittles2.0-4FP,Amp,iCodon optimized - contains cryaa:mScarlet-AttP-mKate2-Electra2-mKOK-mTFP1 (missing mCitrine) - clone SK4,FALSE,FALSE,FALSE,5,mScarlet,,
