roi_dir,mount_dir_norm,date_experiment,date_mount,fish,roi_name,roi_rel,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,20250428_mem_histone,2025-04-28,fish1_72hpf,roi1_tail,roi1_tail,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,20250428_mem_histone,2025-04-28,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,20250429_mem_cytosol,2025-04-29,fish1_24hpf,roi1,roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"mGold2s,tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,20250429_mem_cytosol,2025-04-29,fish1_24hpf,roi1_test,roi1_test,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"mGold2s,tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf,20250429_mem_cytosol,2025-04-30,fish2_48hpf,roi1,roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"mGold2s,tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf,20250429_mem_cytosol,2025-04-30,fish3_mem-halo_24hpf,roi1,roi1,membrane Halo,membrane Halo,Swinburne,Swinburne:Swinburne,Halo,membrane,Halo(membrane),Halo(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"Halo(membrane),mGold2s"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf,20250429_mem_cytosol,2025-04-30,fish3_mem-halo_24hpf,roi2,roi2,membrane Halo,membrane Halo,Swinburne,Swinburne:Swinburne,Halo,membrane,Halo(membrane),Halo(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"Halo(membrane),mGold2s"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,20250429_mem_cytosol,2025-05-01,fish4_mem-halo_48hpf,roi1,roi1,membrane Halo,membrane Halo,Swinburne,Swinburne:Swinburne,Halo,membrane,Halo(membrane),Halo(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"Halo(membrane),mGold2s"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,20250429_mem_cytosol,2025-05-01,fish4_mem-halo_48hpf,roi2,roi2,membrane Halo,membrane Halo,Swinburne,Swinburne:Swinburne,Halo,membrane,Halo(membrane),Halo(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"Halo(membrane),mGold2s"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,20250429_mem_cytosol,2025-05-01,fish4_mem-halo_48hpf,roi3,roi3,membrane Halo,membrane Halo,Swinburne,Swinburne:Swinburne,Halo,membrane,Halo(membrane),Halo(membrane),pDQM140,,mGold2s,,mGold2s,mGold2s,membrane,"Halo(membrane),mGold2s"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish1,20250513_skittles,,fish1,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish1,20250513_skittles,,fish1,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1","Electra2,mCitrine,mKOK,mKate2,mTFP1",,"Electra2,mCitrine,mKOK,mKate2,mTFP1"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,/abcabc/Korra_Foundation/20250513_skittles/fish1,20250513_skittles,,fish1,roi2_2,roi2_2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish10,20250513_skittles,,fish10,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish11,20250513_skittles,,fish11,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,/abcabc/Korra_Foundation/20250513_skittles/fish11,20250513_skittles,,fish11,roi1_test,roi1_test,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi1,roi1,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi2,roi2,,,,,,,,,"pDQM034,pDQM036",,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,/abcabc/Korra_Foundation/20250513_skittles/fish12,20250513_skittles,,fish12,roi3,roi3,,,,,,,,,"pDQM034,pDQM036",,,,,,,
