date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-01-31,20250131,231,,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,fish2_24hpf_mChilada,1,1,1,20250131-plate1,20250131-plate1-slot1
2025-01-31,20250131,232,,U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,fish1_24hpf_mYH,2,1,2,20250131-plate1,20250131-plate1-slot2
2025-02-04,20250204,229,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,fish1_24hpf_mchilada,1,1,1,20250204-plate1,20250204-plate1-slot1
2025-02-04,20250204,230,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,fish2_24hpf_mYH,2,1,2,20250204-plate1,20250204-plate1-slot2
2025-02-05,20250205,225,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,fish3_48hpf_mYH,1,1,1,20250205-plate1,20250205-plate1-slot1
2025-02-05,20250205,226,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,fish4_48hpf_mYH,2,1,2,20250205-plate1,20250205-plate1-slot2
2025-02-05,20250205,227,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,roi1_mb,3,1,3,20250205-plate1,20250205-plate1-slot3
2025-02-05,20250205,228,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,roi2_mb,4,1,4,20250205-plate1,20250205-plate1-slot4
2025-02-06,20250206,222,,U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,fish6_72hpf_mYH,1,1,1,20250206-plate1,20250206-plate1-slot1
2025-02-06,20250206,223,,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,fish1_24hpf_mChilada,2,1,2,20250206-plate1,20250206-plate1-slot2
2025-02-06,20250206,224,,U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish2_24hpf_mChilada,fish2_24hpf_mChilada,3,1,3,20250206-plate1,20250206-plate1-slot3
2025-02-11,20250211,218,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish2_24hpf_mYH,fish2_24hpf_mYH,1,1,1,20250211-plate1,20250211-plate1-slot1
2025-02-11,20250211,219,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish6_48hpf_mchilada,fish6_48hpf_mchilada,2,1,2,20250211-plate1,20250211-plate1-slot2
2025-02-11,20250211,220,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish4_24hpf_mYH,fish4_24hpf_mYH,3,1,3,20250211-plate1,20250211-plate1-slot3
2025-02-11,20250211,221,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish3_24hpf_mchilada,fish3_24hpf_mchilada,4,1,4,20250211-plate1,20250211-plate1-slot4
2025-02-12,20250212,216,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish7_48hpf_mYH,fish7_48hpf_mYH,1,1,1,20250212-plate1,20250212-plate1-slot1
2025-02-12,20250212,217,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish5_48hpf_mYH,fish5_48hpf_mYH,2,1,2,20250212-plate1,20250212-plate1-slot2
2025-02-13,20250213,213,,U:\Data\20240911_Korra_Foundation\20250211_mem_histone\fish8_72hpf_mYH,fish8_72hpf_mYH,1,1,1,20250213-plate1,20250213-plate1-slot1
