roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,date_born,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish1_24hpf_mYH,casper/rnf,casper/rnf,,,,,,,,,,,2025-01-30,SYN_20250131_plate1,SYN_20250131_plate1-slot1,1,SYN_20250131_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250131_mem_histone\fish2_24hpf_mChilada,casper/rnf,casper/rnf,,,,,,,,,,,2025-01-30,SYN_20250131_plate1,SYN_20250131_plate1-slot1,1,SYN_20250131_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish1_24hpf_mchilada,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250204_plate1,SYN_20250204_plate1-slot1,1,SYN_20250204_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish2_24hpf_mYH,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250204_plate1,SYN_20250204_plate1-slot1,1,SYN_20250204_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish3_48hpf_mYH,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250205_plate1,SYN_20250205_plate1-slot1,1,SYN_20250205_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish4_48hpf_mYH,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250205_plate1,SYN_20250205_plate1-slot1,1,SYN_20250205_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi1_mb,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250205_plate1,SYN_20250205_plate1-slot1,1,SYN_20250205_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish5_48hpf_mYH\roi2_mb,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250205_plate1,SYN_20250205_plate1-slot1,1,SYN_20250205_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250204_mem_histone\fish6_72hpf_mYH,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-03,SYN_20250206_plate1,SYN_20250206_plate1-slot1,1,SYN_20250206_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250206_mem_histone\fish1_24hpf_mChilada,casper/rnf,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-02-05,SYN_20250206_plate1,SYN_20250206_plate1-slot1,1,SYN_20250206_plate1-slot1-roi01
