roi_dir,date_experiment,date_mount,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,20250428_mem_histone,2025-11-12,casper,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-01,,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"histone,membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,20250428_mem_histone,2025-11-12,casper,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-60,,,Factin,,,"Factin,histone,membrane",tdmScarlet3(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,20250429_mem_cytosol,2025-11-11,casper,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-01,,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,20250429_mem_cytosol,2025-11-10,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,20250429_mem_cytosol,2025-11-06,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,20250429_mem_cytosol,2025-11-05,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,20250429_mem_cytosol,2025-11-05,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,20250429_mem_cytosol,2025-10-29,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmSG(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,20250429_mem_cytosol,2025-10-29,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-49,,,Peroxisome,,,"Peroxisome,membrane",tdmScarlet3(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,20250429_mem_cytosol,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,20250513_skittles,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-49,,,Peroxisome,,,"Peroxisome,membrane",tdmScarlet3(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,20250513_skittles,2025-10-28,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-52,,,Peroxisome,,,"Peroxisome,membrane",tdmScarlet3(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,20250513_skittles,2025-10-27,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,20250513_skittles,2025-10-27,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,20250513_skittles,2025-10-24,casper/rnf,casper/rnf,,,,,,,MGCO-53,,,ER,,,ER,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,20250513_skittles,2025-10-24,casper/rnf,tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),MGCO-51,,,Lamellipodia,,,"Lamellipodia,membrane",tdmScarlet3(membrane)
