Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
X:\abcabc\Korra_Foundation\20251112_mem-mito,2025-11-10,2025-11-12,,,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",DH,,10:00:00,,,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,korra,20250428_mem_histone,2025-11-12,fish1_72hpf,pDQM136:325,pDQM136,1,casper,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,roi1_tail,roi1_tail,3206,MGCO-01,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"histone,membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
X:\abcabc\Exploratory_fish\20251112_mem-moesin,2025-11-10,2025-11-12,,,,DH,,10:00:00,,,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,,,korra,20250428_mem_histone,2025-11-12,fish1_72hpf,pDQM136:325,pDQM136,2,casper,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,MGCO-60,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,Factin,,,"Factin,histone,membrane",tdmScarlet3(membrane)
X:\abcabc\Aang_Foundation\20251107_mem-mito,2025-11-08,2025-11-11,,,"skin, spinal_cord, hindbrain, brain, muscle",DH,,13:00:00,,,,casper,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,korra,20250429_mem_cytosol,2025-11-11,fish1_24hpf,pDQM136:325,pDQM136,1,casper,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,roi1,roi1,6873,MGCO-01,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20251110_mem-histone,2025-11-08,2025-11-10,,,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",DH,,11:00:00,,,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,korra,20250429_mem_cytosol,2025-11-10,fish1_24hpf,pDQM005:301,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,roi1_test,roi1_test,46,,,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,"histone,membrane",tdmSG(membrane)
X:\abcabc\Aang_Foundation\20251106_mem-mito,2025-11-04,2025-11-06,,,"skin, spinal_cord, hindbrain, brain, muscle",DH,,11:00:00,,,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2xCox8A:mSG,,,,korra,20250429_mem_cytosol,2025-11-06,fish2_48hpf,pDQM082:315,pDQM082,1.1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,roi1,roi1,3180,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Aang_Foundation\20251105_mem-mito,2025-11-04,2025-11-05,purposefully mixed orientations,,"skin, spinal_cord, hindbrain, brain, muscle",DH,,11:00:00,,,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2xCox8A:mSG,,,,korra,20250429_mem_cytosol,2025-11-05,fish3_mem-halo_24hpf,pDQM082:315,pDQM082,1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,roi1,roi1,18,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20251106_mem-mito,2025-11-04,2025-11-05,purposefully mixed orientations,,"skin, spinal_cord, hindbrain, brain, muscle",DH,,11:00:00,,,,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2xCox8A:mSG,,,,korra,20250429_mem_cytosol,2025-11-05,fish3_mem-halo_24hpf,pDQM082:315,pDQM082,1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,roi2,roi2,5120,,MGCO-01,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
X:\abcabc\Korra_Foundation\20251029_mem-histone,2025-10-28,2025-10-29,,,,DH,,10:00:00,,,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2xCox8A:mSG,,,,korra,20250429_mem_cytosol,2025-10-29,fish4_mem-halo_48hpf,pDQM005:302,pDQM005,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,roi1,roi1,3328,,MGCO-01,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"histone,membrane,mitochondria","tdmSG(membrane),mStayGold(mitochondria)"
X:\abcabc\Aang_Foundation\20251029_peroxi,2025-10-27,2025-10-30,,,,DH,,10:00:00,,,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,korra,20250429_mem_cytosol,2025-10-29,fish4_mem-halo_48hpf,pDQM136:325,pDQM136,2,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,roi2,roi2,4608,MGCO-49,,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,Peroxisome,,,"Peroxisome,membrane,peroxisome",tdmScarlet3(membrane)
X:\abcabc\Aang_Foundation\20251028_mem-mito,2025-10-27,2025-10-28,,,,LHR,,11:00:00,,,,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2xCox8A:mSG,,,,korra,20250429_mem_cytosol,2025-10-28,fish4_mem-halo_48hpf,pDQM136:325,pDQM136,1,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,roi3,roi3,6056,,MGCO-01,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
