date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,mount_dir_norm,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,parent_female,parent_male,roi_dir_norm,mother_fish_manual,father_fish_manual,injection plasmid,manual_injection_plasmid_codes,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_rna_mapping_ambiguous,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,genotype_marker_localizations_norm,treatment_marker_localizations_norm,all_unique_organelles,all_fluor_organelles,n_genotype_fusions,n_treatment_fusions,n_total_fusions,n_total_fluor_locs,n_unique_organelles,n_genotype_tags,n_treatment_tags,n_total_tags,fusion_labels_inferred_from_folder
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,,DT,2025-04-27 00:00:00,2025-04-28,12:30:00,14:30:00,,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,,,,,pDQM005,pDQM005:301,,pDQM117,False,tdmSG,2xLynk,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),['membrane'],['histone'],"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)",1,1,2,2,2,1,1,2,
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,,DT,2025-04-27 00:00:00,2025-04-28,12:30:00,14:30:00,,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,,,,,pDQM005,pDQM005:301,,pDQM117,False,tdmSG,2xLynk,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mScarlet3S2,H2B,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),['membrane'],['histone'],"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)",1,1,2,2,2,1,1,2,
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,,VHUHD,2025-04-29 00:00:00,2025-04-29,12:45:00,13:00:00,10:20 AM (day+1),brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,,,,,pDQM005,pDQM005:301,pDQM140,,False,tdmSG,2xLynk,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"mGold2s,tdmSG(membrane)",1,1,2,2,1,1,0,1,
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,,VHUHD,2025-04-29 00:00:00,2025-04-29,12:45:00,13:00:00,10:20 AM (day+1),brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,,,,,pDQM005,pDQM005:301,pDQM140,,False,tdmSG,2xLynk,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"mGold2s,tdmSG(membrane)",1,1,2,2,1,1,0,1,
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf,2025-04-30,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,,DH,2025-04-29 00:00:00,2025-04-30,23:30:00,12:00:00,17:00:00,"hindbrain, spinal_cord, skin, muscle",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish2_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,,,,,pDQM005,pDQM005:301,pDQM140,,False,tdmSG,2xLynk,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"mGold2s,tdmSG(membrane)",1,1,2,2,1,1,0,1,
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf,2025-04-30,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DH,2025-04-30 00:00:00,2025-04-30,17:30:00,18:30:00,,"spinal_cord, skin, muscle, notochord, hindbrain",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,membrane Halo,membrane Halo,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,,,,,Swinburne,Swinburne:Swinburne,pDQM140,,False,,,Halo,membrane,Halo(membrane),Halo(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"Halo(membrane),mGold2s",0,1,1,1,0,0,0,0,
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf,2025-04-30,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DH,2025-04-30 00:00:00,2025-04-30,17:30:00,18:30:00,,"spinal_cord, skin, muscle, notochord, hindbrain",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,membrane Halo,membrane Halo,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,,,,,Swinburne,Swinburne:Swinburne,pDQM140,,False,,,Halo,membrane,Halo(membrane),Halo(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"Halo(membrane),mGold2s",0,1,1,1,0,0,0,0,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,,,,,Swinburne,Swinburne:Swinburne,pDQM140,,False,,,Halo,membrane,Halo(membrane),Halo(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"Halo(membrane),mGold2s",0,1,1,1,0,0,0,0,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,,,,,Swinburne,Swinburne:Swinburne,pDQM140,,False,,,Halo,membrane,Halo(membrane),Halo(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"Halo(membrane),mGold2s",0,1,1,1,0,0,0,0,
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf,2025-05-01,,membrane Halo,membrane Halo,ef1a:mGold2s,,,,2025-04-29,,DT,2025-04-30 00:00:00,2025-05-01,,,,"hindbrain, spinal_cord, skin, muscle, notochord, blood vessel",cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,membrane Halo,membrane Halo,/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,,,,,Swinburne,Swinburne:Swinburne,pDQM140,,False,,,Halo,membrane,Halo(membrane),Halo(membrane),mGold2s,,mGold2s,,mGold2s,mGold2s,['membrane'],[],membrane,"Halo(membrane),mGold2s",0,1,1,1,0,0,0,0,
