date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,date_mount,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Time mounted,Mounting Orientation,Date screened/Initial feedback,Date imaged,Time placed in scope,Start of imaging time,End of imaging time,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,2025-11-12,1,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,,2025-11-10,10:00:00,DH,,2025-11-12,,,,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",,,X:\abcabc\Korra_Foundation\20251112_mem-mito
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,2025-11-12,2,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-60-Factin-A2UCOE-attb_entire+PDQM148-mStayGold-C4-moesin,,,,2025-11-10,10:00:00,DH,,2025-11-12,,,,,,,X:\abcabc\Exploratory_fish\20251112_mem-moesin
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,2025-11-11,1,casper,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-01(ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,,2025-11-08,13:00:00,DH,,2025-11-11,,,,"skin, spinal_cord, hindbrain, brain, muscle",,,X:\abcabc\Aang_Foundation\20251107_mem-mito
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,2025-11-10,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-11-08,11:00:00,DH,,2025-11-10,,,,"skin, spinal_cord, hindbrain, brain, muscle, blood vessel, tail",,,X:\abcabc\Korra_Foundation\20251110_mem-histone
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,2025-11-06,1.1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),,2xCox8A:mSG,,,2025-11-04,11:00:00,DH,,2025-11-06,,,,"skin, spinal_cord, hindbrain, brain, muscle",,,X:\abcabc\Aang_Foundation\20251106_mem-mito
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,2025-11-05,1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),,2xCox8A:mSG,,,2025-11-04,11:00:00,DH,purposefully mixed orientations,2025-11-05,,,,"skin, spinal_cord, hindbrain, brain, muscle",,,X:\abcabc\Aang_Foundation\20251105_mem-mito
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,2025-11-05,1,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),,2xCox8A:mSG,,,2025-11-04,11:00:00,DH,purposefully mixed orientations,2025-11-05,,,,"skin, spinal_cord, hindbrain, brain, muscle",,,X:\abcabc\Korra_Foundation\20251106_mem-mito
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,2025-10-29,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,2xCox8A:mSG,,,2025-10-28,10:00:00,DH,,2025-10-29,,,,,,,X:\abcabc\Korra_Foundation\20251029_mem-histone
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,2025-10-29,2,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,,2025-10-27,10:00:00,DH,,2025-10-30,,,,,,,X:\abcabc\Aang_Foundation\20251029_peroxi
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,2025-10-28,1,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),,2xCox8A:mSG,,,2025-10-27,11:00:00,LHR,,2025-10-28,,,,,,,X:\abcabc\Aang_Foundation\20251028_mem-mito
20250513_skittles,fish1,roi1,roi1,42,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,korra,2025-10-28,2,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-49_peroxisome-A2UCOE-ef1aextra-mStayGold-SKL,,,,2025-10-27,11:00:00,LHR,,2025-10-28,,,,,,,X:\abcabc\Aang_Foundation\20251028_mem-peroxi
20250513_skittles,fish1,roi2,roi2,38,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,korra,2025-10-28,3,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),MGCO-52-peroxisome-A2UCOE-attb_entire+pDQM147-ABCDpmp70-mStayGold,,,,2025-10-27,11:00:00,LHR,,2025-10-29,,,,,,,X:\abcabc\Aang_Foundation\20251028_mem-peroxi2
20250513_skittles,fish1,roi2_2,roi2_2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,korra,2025-10-27,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-21,12:00:00,DH,,2025-10-27,,,,,,,X:\abcabc\Korra_Foundation\20251027_mem-histone
20250513_skittles,fish10,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,korra,2025-10-27,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-21,12:00:00,DH,,2025-10-27,,,,,,,X:\abcabc\Aang_Foundation\20251027_mem-histone
20250513_skittles,fish11,roi1,roi1,240,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,korra,2025-10-24,1,casper/rnf,casper/rnf,MGCO-53-ER-A2UCOE-attb_entire+pDQM147-calnexin-mStayGold,,,,2025-10-22,10:00:00,DH,,2025-10-26,,,,,,,X:\abcabc\Exploratory_fish\20251025_er
20250513_skittles,fish11,roi1_test,roi1_test,4,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,korra,2025-10-24,2,casper/rnf,tdmScarlet3S2 (F1 of allele 325),MGCO-51-lamellipodia-A2UCOE-attb_entire+PDQM148-mStayGold-C4-cortactin,,,,2025-10-22,10:00:00,DH,,2025-10-25,,,,,"membrane, lamellipodia, actin",,X:\abcabc\Exploratory_fish\20251025_lamellipodia_F-actin
20250513_skittles,fish12,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,korra,2025-10-24,3,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-21,10:00:00,DH,,2025-10-24,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251024_mem-histone
20250513_skittles,fish12,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,korra,2025-10-23,1,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),,2xCox8A:mSG,,,2025-10-22,10:00:00,DH,,2025-10-24,,,,,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251023_mem-mito
20250513_skittles,fish12,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,korra,2025-10-22,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-21,10:00:00,DH,,2025-10-22,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251022_mem-histone
20250513_skittles,fish13,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,korra,2025-10-22,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,2xCox8A:mSG,,,2025-10-20,10:00:00,DH,,2025-10-23,,,,,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251022_mem-mito
20250513_skittles,fish13,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,2025-10-22,3,MGCO35 (F1 of allele 336),casper/rnf,,,,,2025-10-21,10:00:00,DH,,2025-10-23,,,,,,,X:\abcabc\Exploratory_fish\20251023_mScarlet3S2_2Xcox8A
20250513_skittles,fish13,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,2025-10-21,1,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,2xCox8A:mSG,,,2025-10-20,10:00:00,DH,,2025-10-21,,,,,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251021_mem-mito
20250513_skittles,fish13,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,2025-10-21,2,casper/rnf,tdmScarlet3S2 (F1 of allele 325),,2xCox8A:mSG,,,2025-10-20,10:00:00,DH,,2025-10-22,,,,,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251021_mem-mito_v2
20250513_skittles,fish14,roi1_brain,roi1_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,2025-10-20,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-17,10:00:00,DH,,2025-10-20,,,,"muscle, hindbrain, skin, blood vessel","membrane, nuclei",,X:\abcabc\Aang_Foundation\20251020_mem-histone
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,2025-10-20,2,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-17,10:00:00,DH,,2025-10-20,,,,"skin, hindbrain, muscle, blood vessel","membrane, nuclei",,X:\abcabc\Korra_Foundation\20251020_mem-histone
20250513_skittles,fish15,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,2025-10-17,1,casper/rnf,casper/rnf,MGCO50(microtubule-A2UCOE-attb_entire+pDQM147-EB3-mStayGold),,,,2025-10-16,10:00:00,DH,,2025-10-17,,,,,,,X:\abcabc\Korra_Foundation\20251017_microtubules
20250513_skittles,fish15,roi2,roi2,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,2025-10-17,2,casper/rnf,casper/rnf,MGCO54(nuclearenvelope-A2UCOE-attb_entire+pDQM147-LEMD2-mStayGold),,,,2025-10-16,10:00:00,DH,,2025-10-17,,,,,,,X:\abcabc\Aang_Foundation\20251017_nuclear_envelope
20250513_skittles,fish15,roi3,roi3,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,2025-10-16,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-16,,,,"skin, muscle, tail, blood vessel","membrane, nuclei",,X:\abcabc\Korra_Foundation\20251016_mem-histone
20250513_skittles,fish15,roi4,roi4,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,2025-10-16,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,MGCO-28(ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2),,,,2025-10-08,11:00:00,DH,,2025-10-16,,,,blood vessel,"membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251016_mem-mito_v2
20250513_skittles,fish16,roi1_brain,roi1_brain,18,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,2025-10-15,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-15,,,,,"membrane, nuclei",,X:\abcabc\Korra_Foundation\20251015_mem-histone
20250513_skittles,fish2,roi1,roi1,17,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,2025-10-14,1,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,,,2025-10-13,10:00:00,DH,,2025-10-15,,,,,"membrane, nuclei",,X:\abcabc\Aang_Foundation\20251015_mem-histone
20250513_skittles,fish2,roi2,roi2,10,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,2025-10-14,2,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,,,,,2025-10-13,10:00:00,DH,,2025-10-16,,,,"skin, muscle","membrane, mitochondria",,X:\abcabc\Aang_Foundation\20251016_mem-mito
