roi_dir,date_experiment,fish,roi_name,date_born,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi1,20250513_skittles,fish1,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2,20250513_skittles,fish1,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish1/roi2_2,20250513_skittles,fish1,roi2_2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish10/roi1,20250513_skittles,fish10,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1,20250513_skittles,fish11,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish11/roi1_test,20250513_skittles,fish11,roi1_test,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi1,20250513_skittles,fish12,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi2,20250513_skittles,fish12,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish12/roi3,20250513_skittles,fish12,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi1,20250513_skittles,fish13,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,20250513_skittles,fish13,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,20250513_skittles,fish13,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,20250513_skittles,fish13,roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,20250513_skittles,fish14,roi1_brain,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,20250513_skittles,fish14,roi2_tailbud,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,20250513_skittles,fish15,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,20250513_skittles,fish15,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,20250513_skittles,fish15,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,20250513_skittles,fish15,roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,20250513_skittles,fish16,roi1_brain,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,20250513_skittles,fish2,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,20250513_skittles,fish2,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,20250513_skittles,fish3,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,20250513_skittles,fish3,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,20250513_skittles,fish3,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,20250513_skittles,fish3,roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,20250513_skittles,fish4,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,20250513_skittles,fish4,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,20250513_skittles,fish4,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,20250513_skittles,fish5,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi2,20250513_skittles,fish5,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi3,20250513_skittles,fish5,roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,20250513_skittles,fish5,roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,20250513_skittles,fish5,roi5,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,20250513_skittles,fish5,roi6,,,,,,,,,,,,,,,,,,,,,
