roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,ZF female genotype,ZF male genotype,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,link_source,treatment_plasmid_names_sheet,treatment_rna_names_sheet,treatment_protein_names_sheet,treatment_dye_names_sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,20250428-plate1-slot1-roi1,20250428,1,1,1,20250428_mem_histone,20250428_mem_histone,fish1,1.0,72.0,tail,3206,20250428_mem_histone,2025-04-28,2025-04-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,20250428-plate1-slot1-roi2,20250428,1,1,2,20250428_mem_histone,20250428_mem_histone,fish1,1.0,72.0,hindbrain|spine,9760,20250428_mem_histone,2025-04-28,2025-04-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),sheet,,mScarlet3-S2:H2B,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,20250429-plate2-slot1-roi1,20250429,2,1,1,20250429_mem_cytosol,20250429_mem_cytosol,fish1,1.0,24.0,,6873,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,20250429-plate2-slot1-roi2,20250429,2,1,2,20250429_mem_cytosol,20250429_mem_cytosol,fish1,1.0,24.0,test,46,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,20250429-plate2-slot2-roi1,20250429,2,2,1,20250429_mem_cytosol,20250429_mem_cytosol,fish2,2.0,48.0,,3180,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,20250429-plate2-slot3-roi1,20250429,2,3,1,20250429_mem_cytosol,20250429_mem_cytosol,fish3,3.0,24.0,,18,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,20250429-plate2-slot3-roi2,20250429,2,3,2,20250429_mem_cytosol,20250429_mem_cytosol,fish3,3.0,24.0,,5120,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,20250429-plate2-slot4-roi1,20250429,2,4,1,20250429_mem_cytosol,20250429_mem_cytosol,fish4,4.0,48.0,,3328,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,20250429-plate2-slot4-roi2,20250429,2,4,2,20250429_mem_cytosol,20250429_mem_cytosol,fish4,4.0,48.0,,4608,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,20250429-plate2-slot4-roi3,20250429,2,4,3,20250429_mem_cytosol,20250429_mem_cytosol,fish4,4.0,48.0,,6056,20250429_mem_cytosol,2025-04-29,2025-04-29,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),sheet,ef1a:mGold2s,,,
