parent_fish_name,plasmid_base_code,allele,injected_rna,injected_plasmid
tandem mem:mStayGold,pDQM005,301,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 302),pDQM005,302,,
casper/rnf,n/a,n/a,,
ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,315,,
tdmScarlet3S2 (F1 of allele 325),pDQM136,325,,
ef1a:2xLynk:tdm:mChilada,pDQM082,315,,
membrane mChilada,pDQM082,315,,
membrane Halo,pSWIN01,is01,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,301,,
ef1a:H2B:Halo,pSWIN02,is02,,
ef1a:2xLynk:tdm:mHalo,pSWIN03,is03,,
ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,302,,
csp/pIGLET 14a,n/a,n/a,,
Dennis (F2 of allele 318),pDQM036,318,,
Jim (F2 of allele 316),pDQM059,316,,
Ben (F2 of allele 310),pDQM034,310,,
Ken (F2 of allele 320),pDQM059,320,,
Liam (F2 of allele 321),pDQM059,321,,
MGCO35 (F1 of allele 336),MGCO-35,336,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 301),pDQM005,301,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 310),pDQM034,310,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),pDQM034,309,,
heatshock PhiC,pDQM112,n/a,,
tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM133,324,,
membrane tdmScarlet3S2 (F1 of allele 325),pDQM136,325,,
from Swinburne lab - tank ID 344 (F1 of allele 45385),pSWIN04,is04,,
ef1a:2xLynk:tdm:Halo,pSWIN05,is05,,
tdmScarlet3S2 (F2 of allele 325),pDQM136,325,,
mem:tdmChilada,pDQM082,315,,
ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),pDQM136,325,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 305),pDQM005,305,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 308),pDQM005,308,,
membrane tdmScarlet3S2 (F1 of allele 327),pDQM136,327,,
ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM036,318,,
Abe (F2 of allele 309),pDQM034,309,,
Isaac (F2 of allele 314),pDQM064,314,,
Chris (F1 of allele 317),pDQM034,317,,
ef1a:2xLynk:tdmSG(J) (F1 of allele 304),pDQM005,304,,
ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 317),pDQM034,317,,
tandem mem:mStayGold; tdmChilada:Histone,"pDQM005,pDQM104","301,324",pDQM104,
tandem mem:mStayGold; tdmChilada(MAGPV):Histone,"pDQM005,pDQM104","301,324",pDQM104,
mem-mito,pDQM082,315,MGCO-01,
mem-histone,"pDQM005,pDQM133","302,324",,
skittlez,pDQM034,309,,
skittles,pDQM034,309,,
mitomSG,pDQM005,301,MGCO-01,
er-mSG_mem-mChilada,pDQM082,315,"MGCO-04,MGCO-01",
mem-mchilada_er-mSG,pDQM082,315,"MGCO-01,MGCO-04",
mem_tester,pDQM082,315,MGCO-01,
mrna_mSG_organelle_LLS-SIM/er_roi1,csp,n/a,"MGCO-04,MGCO-01",
peroxi,pDQM136,325,MGCO-49,
mem-kinetocore,pDQM082,315,MGCO-57,
