dataset_slug,genotype_base_codes,genotype_allele_codes,treatment_rna_base_codes,treatment_plasmid_base_codes
20251028_mem-peroxi,pdqm-136,325,mgco-49,
20251028_mem-peroxi2,pdqm-136,325,mgco-52,
20250521_skittles_no-membrane,pdqm-34,309,,
20250602_mem,,,mgco-39,
20250624_skittlez_Chris_x_Liam,pdqm-34,309,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,mgco-4|mgco-1,
20250805_lifeact_mem-halo,,,mgco-24|mgco-39,
20250624_skittlez_Issac_x_Ken,pdqm-34,309,,
20251016_mem-mito_v2,pdqm-82,315,mgco-1,
20251017_nuclear_envelope,,,mgco-54,
20251107_mem-kinectocore,pdqm-82,315,mgco-57,
20250602_mem,pdqm-82,315,mgco-39,
20251017_microtubules,,,mgco-50,
20250513_skittles,pdqm-34,309,,
20250522_skittlez,pdqm-34,309,,
20250528_skittlez,pdqm-34,309,,
20251009_skittlez,pdqm-34,309,,
